b43	b32	b21	b10	syl
-	-	t	e	false
-	-	t	e	true
-	-	t	h	false
-	-	t	i	false
-	-	t	i	true
-	-	t	m	false
-	-	t	o	false
-	-	t	o	true
-	-	t	r	false
-	-	t	u	false
-	-	t	u	true
-	-	t	v	false
-	-	t	â	false
-	-	t	â	true
-	-	t	ă	false
-	-	t	ă	true
-	-	u	b	false
-	-	u	c	false
-	-	u	d	false
-	-	u	f	false
-	-	u	g	false
-	-	u	h	false
-	-	u	i	false
-	-	u	i	true
-	-	u	j	false
-	-	u	j	true
-	-	u	l	false
-	-	u	l	true
-	-	u	m	false
-	-	u	m	true
-	-	u	n	false
-	-	u	n	true
-	-	u	p	false
-	-	u	r	false
-	-	u	r	true
-	-	u	s	false
-	-	u	s	true
-	-	u	t	false
-	-	u	v	false
-	-	u	x	false
-	-	u	z	false
-	-	u	z	true
-	-	u	ș	false
-	-	u	ș	true
-	-	v	a	false
-	-	v	a	true
-	-	v	e	false
-	-	v	e	true
-	-	v	i	false
-	-	v	i	true
-	-	v	l	false
-	-	v	o	false
-	-	v	o	true
-	-	v	r	false
-	-	v	t	false
-	-	v	u	false
-	-	v	u	true
-	-	v	â	false
-	-	v	â	true
-	-	v	ă	false
-	-	v	ă	true
-	-	w	a	false
-	-	w	a	true
-	-	w	e	false
-	-	w	e	true
-	-	w	i	false
-	-	w	i	true
-	-	w	o	false
-	-	w	o	true
-	-	w	r	false
-	-	w	u	false
-	-	x	a	false
-	-	x	e	false
-	-	x	e	true
-	-	x	i	true
-	-	x	o	true
-	-	y	a	false
-	-	y	a	true
-	-	y	e	false
-	-	y	e	true
-	-	y	i	false
-	-	y	o	false
-	-	y	o	true
-	-	y	p	false
-	-	y	t	false
-	-	y	u	false
-	-	z	a	false
-	-	z	a	true
-	-	z	b	false
-	-	z	d	false
-	-	z	e	false
-	-	z	e	true
-	-	z	g	false
-	-	z	i	false
-	-	z	i	true
-	-	z	l	false
-	-	z	m	false
-	-	z	n	false
-	-	z	o	false
-	-	z	o	true
-	-	z	u	false
-	-	z	u	true
-	-	z	v	false
-	-	z	â	false
-	-	z	â	true
-	-	z	ă	false
-	-	z	ă	true
-	-	î	h	false
-	-	î	m	false
-	-	î	m	true
-	-	î	n	false
-	-	î	n	true
-	-	î	r	false
-	-	î	ș	false
-	-	î	ț	false
-	-	ă	i	false
-	-	ă	i	true
-	-	ă	l	false
-	-	ă	s	false
-	-	ă	s	true
-	-	ă	z	true
-	-	ă	ș	false
-	-	ă	ș	true
-	-	ș	a	false
-	-	ș	a	true
-	-	ș	c	false
-	-	ș	e	false
-	-	ș	e	true
-	-	ș	f	false
-	-	ș	i	false
-	-	ș	i	true
-	-	ș	l	false
-	-	ș	m	false
-	-	ș	n	false
-	-	ș	o	false
-	-	ș	o	true
-	-	ș	p	false
-	-	ș	r	false
-	-	ș	t	false
-	-	ș	u	false
-	-	ș	u	true
-	-	ș	v	false
-	-	ș	â	true
-	-	ș	ă	false
-	-	ș	ă	true
-	-	ș	ș	false
-	-	ț	a	false
-	-	ț	a	true
-	-	ț	e	false
-	-	ț	e	true
-	-	ț	i	false
-	-	ț	i	true
-	-	ț	o	false
-	-	ț	o	true
-	-	ț	s	false
-	-	ț	u	false
-	-	ț	u	true
-	-	ț	â	false
-	-	ț	â	true
-	-	ț	ă	false
-	-	ț	ă	true
-	-	﻿	a	true
-	a	a	l	false
-	a	b	a	false
-	a	b	a	true
-	a	b	c	false
-	a	b	d	false
-	a	b	e	true
-	a	b	h	false
-	a	b	i	false
-	a	b	i	true
-	a	b	j	false
-	a	b	l	false
-	a	b	n	false
-	a	b	o	false
-	a	b	o	true
-	a	b	r	false
-	a	b	s	false
-	a	b	s	true
-	a	b	u	false
-	a	b	u	true
-	a	b	z	false
-	a	b	ă	true
-	a	b	ț	false
-	a	c	a	false
-	a	c	a	true
-	a	c	c	false
-	a	c	d	false
-	a	c	e	false
-	a	c	e	true
-	a	c	h	false
-	a	c	i	false
-	a	c	i	true
-	a	c	l	false
-	a	c	m	false
-	a	c	n	false
-	a	c	o	false
-	a	c	o	true
-	a	c	r	false
-	a	c	t	false
-	a	c	u	false
-	a	c	u	true
-	a	c	v	false
-	a	c	ă	true
-	a	c	ț	false
-	a	d	a	false
-	a	d	a	true
-	a	d	d	false
-	a	d	e	false
-	a	d	e	true
-	a	d	h	false
-	a	d	i	false
-	a	d	i	true
-	a	d	j	false
-	a	d	m	false
-	a	d	n	false
-	a	d	o	false
-	a	d	o	true
-	a	d	p	false
-	a	d	r	false
-	a	d	s	false
-	a	d	u	false
-	a	d	u	true
-	a	d	v	false
-	a	d	â	false
-	a	d	ă	false
-	a	d	ă	true
-	a	e	d	false
-	a	e	r	false
-	a	e	r	true
-	a	e	z	false
-	a	f	a	true
-	a	f	e	false
-	a	f	e	true
-	a	f	g	false
-	a	f	i	false
-	a	f	i	true
-	a	f	l	false
-	a	f	o	false
-	a	f	o	true
-	a	f	r	false
-	a	f	t	false
-	a	f	u	false
-	a	f	u	true
-	a	f	â	true
-	a	g	a	false
-	a	g	a	true
-	a	g	e	false
-	a	g	e	true
-	a	g	f	false
-	a	g	h	false
-	a	g	i	false
-	a	g	i	true
-	a	g	l	false
-	a	g	m	false
-	a	g	n	false
-	a	g	o	true
-	a	g	r	false
-	a	g	u	false
-	a	g	u	true
-	a	g	ă	false
-	a	g	ă	true
-	a	h	a	false
-	a	h	e	false
-	a	h	e	true
-	a	h	o	false
-	a	h	t	false
-	a	h	u	false
-	a	h	u	true
-	a	i	a	false
-	a	i	b	false
-	a	i	c	false
-	a	i	d	false
-	a	i	e	false
-	a	i	e	true
-	a	i	k	false
-	a	i	l	false
-	a	i	s	false
-	a	i	s	true
-	a	i	u	false
-	a	i	u	true
-	a	i	ș	false
-	a	i	ș	true
-	a	j	u	false
-	a	j	u	true
-	a	k	k	false
-	a	k	â	false
-	a	k	â	true
-	a	l	a	false
-	a	l	a	true
-	a	l	b	false
-	a	l	b	true
-	a	l	c	false
-	a	l	d	false
-	a	l	e	false
-	a	l	e	true
-	a	l	f	false
-	a	l	g	false
-	a	l	i	false
-	a	l	i	true
-	a	l	l	false
-	a	l	m	false
-	a	l	o	false
-	a	l	o	true
-	a	l	p	false
-	a	l	s	false
-	a	l	t	false
-	a	l	t	true
-	a	l	u	false
-	a	l	u	true
-	a	l	v	false
-	a	l	ă	false
-	a	l	ă	true
-	a	l	ț	false
-	a	m	a	false
-	a	m	a	true
-	a	m	b	false
-	a	m	e	false
-	a	m	e	true
-	a	m	f	false
-	a	m	h	false
-	a	m	i	false
-	a	m	i	true
-	a	m	l	false
-	a	m	n	false
-	a	m	o	false
-	a	m	o	true
-	a	m	p	false
-	a	m	u	false
-	a	m	u	true
-	a	m	v	false
-	a	m	â	false
-	a	m	â	true
-	a	m	ă	true
-	a	n	a	false
-	a	n	a	true
-	a	n	c	false
-	a	n	d	false
-	a	n	e	false
-	a	n	e	true
-	a	n	f	false
-	a	n	g	false
-	a	n	g	true
-	a	n	h	false
-	a	n	i	false
-	a	n	i	true
-	a	n	l	false
-	a	n	o	false
-	a	n	o	true
-	a	n	r	false
-	a	n	s	false
-	a	n	t	false
-	a	n	t	true
-	a	n	u	false
-	a	n	u	true
-	a	n	v	false
-	a	n	x	false
-	a	n	ș	false
-	a	n	ț	false
-	a	o	l	false
-	a	o	r	false
-	a	o	r	true
-	a	p	a	false
-	a	p	a	true
-	a	p	e	false
-	a	p	e	true
-	a	p	i	false
-	a	p	i	true
-	a	p	l	false
-	a	p	n	false
-	a	p	o	false
-	a	p	o	true
-	a	p	p	false
-	a	p	r	false
-	a	p	s	false
-	a	p	t	false
-	a	p	u	false
-	a	p	u	true
-	a	p	ă	false
-	a	p	ă	true
-	a	p	ș	false
-	a	p	ț	false
-	a	r	a	false
-	a	r	a	true
-	a	r	b	false
-	a	r	c	false
-	a	r	c	true
-	a	r	d	false
-	a	r	e	false
-	a	r	e	true
-	a	r	g	false
-	a	r	h	false
-	a	r	i	false
-	a	r	i	true
-	a	r	l	false
-	a	r	m	false
-	a	r	n	false
-	a	r	o	false
-	a	r	o	true
-	a	r	p	false
-	a	r	s	false
-	a	r	t	false
-	a	r	u	false
-	a	r	u	true
-	a	r	v	false
-	a	r	z	false
-	a	r	z	true
-	a	r	â	false
-	a	r	ă	false
-	a	r	ă	true
-	a	r	ș	false
-	a	r	ț	false
-	a	s	a	false
-	a	s	a	true
-	a	s	c	false
-	a	s	e	false
-	a	s	e	true
-	a	s	f	false
-	a	s	i	false
-	a	s	i	true
-	a	s	m	false
-	a	s	o	false
-	a	s	o	true
-	a	s	p	false
-	a	s	s	false
-	a	s	t	false
-	a	s	t	true
-	a	s	u	false
-	a	s	u	true
-	a	t	a	false
-	a	t	a	true
-	a	t	e	false
-	a	t	e	true
-	a	t	i	false
-	a	t	i	true
-	a	t	l	false
-	a	t	m	false
-	a	t	o	false
-	a	t	o	true
-	a	t	r	false
-	a	t	u	false
-	a	t	u	true
-	a	t	â	false
-	a	t	â	true
-	a	u	c	true
-	a	u	d	false
-	a	u	g	false
-	a	u	g	true
-	a	u	i	false
-	a	u	i	true
-	a	u	l	false
-	a	u	r	false
-	a	u	s	true
-	a	u	t	false
-	a	u	t	true
-	a	u	v	false
-	a	u	x	false
-	a	u	z	false
-	a	u	ș	false
-	a	v	a	false
-	a	v	a	true
-	a	v	e	false
-	a	v	e	true
-	a	v	i	false
-	a	v	i	true
-	a	v	o	false
-	a	v	o	true
-	a	v	r	false
-	a	v	u	false
-	a	v	u	true
-	a	v	â	false
-	a	v	ă	false
-	a	v	ă	true
-	a	x	a	false
-	a	x	a	true
-	a	x	e	false
-	a	x	e	true
-	a	x	i	false
-	a	x	i	true
-	a	x	o	false
-	a	x	o	true
-	a	x	u	false
-	a	x	u	true
-	a	x	â	false
-	a	x	ă	false
-	a	x	ă	true
-	a	y	a	true
-	a	z	a	true
-	a	z	b	false
-	a	z	e	false
-	a	z	e	true
-	a	z	i	false
-	a	z	i	true
-	a	z	o	false
-	a	z	o	true
-	a	z	t	false
-	a	z	u	false
-	a	z	u	true
-	a	z	v	false
-	a	ș	a	false
-	a	ș	a	true
-	a	ș	c	false
-	a	ș	e	false
-	a	ș	e	true
-	a	ș	i	false
-	a	ș	i	true
-	a	ș	t	false
-	a	ț	a	true
-	a	ț	e	false
-	a	ț	e	true
-	a	ț	i	false
-	a	ț	i	true
-	a	ț	o	false
-	a	ț	â	false
-	a	ț	â	true
-	a	ț	ă	true
-	b	a	b	false
-	b	a	b	true
-	b	a	c	false
-	b	a	c	true
-	b	a	d	false
-	b	a	d	true
-	b	a	f	true
-	b	a	g	false
-	b	a	g	true
-	b	a	h	false
-	b	a	h	true
-	b	a	i	false
-	b	a	i	true
-	b	a	j	false
-	b	a	l	false
-	b	a	l	true
-	b	a	m	false
-	b	a	m	true
-	b	a	n	false
-	b	a	n	true
-	b	a	o	true
-	b	a	p	true
-	b	a	r	false
-	b	a	r	true
-	b	a	s	false
-	b	a	s	true
-	b	a	t	false
-	b	a	t	true
-	b	a	u	false
-	b	a	u	true
-	b	a	v	false
-	b	a	x	false
-	b	a	z	false
-	b	a	ș	false
-	b	a	ș	true
-	b	a	ț	false
-	b	e	a	false
-	b	e	a	true
-	b	e	b	false
-	b	e	c	false
-	b	e	c	true
-	b	e	d	false
-	b	e	e	true
-	b	e	g	false
-	b	e	h	false
-	b	e	i	false
-	b	e	i	true
-	b	e	l	false
-	b	e	l	true
-	b	e	m	false
-	b	e	m	true
-	b	e	n	false
-	b	e	n	true
-	b	e	o	true
-	b	e	r	false
-	b	e	r	true
-	b	e	s	false
-	b	e	s	true
-	b	e	t	false
-	b	e	u	false
-	b	e	u	true
-	b	e	v	false
-	b	e	z	false
-	b	e	z	true
-	b	e	ș	false
-	b	e	ș	true
-	b	e	ț	false
-	b	i	a	false
-	b	i	a	true
-	b	i	b	false
-	b	i	c	false
-	b	i	d	false
-	b	i	e	false
-	b	i	e	true
-	b	i	f	false
-	b	i	f	true
-	b	i	g	false
-	b	i	h	false
-	b	i	j	false
-	b	i	k	false
-	b	i	l	false
-	b	i	l	true
-	b	i	m	false
-	b	i	m	true
-	b	i	n	false
-	b	i	n	true
-	b	i	o	false
-	b	i	o	true
-	b	i	p	false
-	b	i	r	false
-	b	i	r	true
-	b	i	s	false
-	b	i	s	true
-	b	i	t	false
-	b	i	u	true
-	b	i	v	false
-	b	i	z	false
-	b	i	ș	true
-	b	i	ț	false
-	b	l	a	false
-	b	l	a	true
-	b	l	e	false
-	b	l	e	true
-	b	l	i	false
-	b	l	i	true
-	b	l	o	false
-	b	l	o	true
-	b	l	u	false
-	b	l	u	true
-	b	l	â	false
-	b	l	ă	false
-	b	l	ă	true
-	b	o	a	false
-	b	o	a	true
-	b	o	b	false
-	b	o	b	true
-	b	o	c	false
-	b	o	c	true
-	b	o	d	false
-	b	o	e	false
-	b	o	e	true
-	b	o	g	false
-	b	o	g	true
-	b	o	h	false
-	b	o	i	false
-	b	o	i	true
-	b	o	j	false
-	b	o	j	true
-	b	o	l	false
-	b	o	l	true
-	b	o	m	true
-	b	o	n	false
-	b	o	n	true
-	b	o	r	false
-	b	o	r	true
-	b	o	s	false
-	b	o	s	true
-	b	o	t	false
-	b	o	t	true
-	b	o	u	false
-	b	o	u	true
-	b	o	v	false
-	b	o	x	false
-	b	o	z	false
-	b	o	ș	false
-	b	o	ș	true
-	b	o	ț	false
-	b	o	ț	true
-	b	r	a	false
-	b	r	a	true
-	b	r	e	false
-	b	r	e	true
-	b	r	i	false
-	b	r	i	true
-	b	r	o	false
-	b	r	o	true
-	b	r	u	false
-	b	r	u	true
-	b	r	â	false
-	b	r	â	true
-	b	r	ă	false
-	b	r	ă	true
-	b	u	b	false
-	b	u	c	false
-	b	u	c	true
-	b	u	d	false
-	b	u	f	false
-	b	u	f	true
-	b	u	g	false
-	b	u	h	false
-	b	u	i	false
-	b	u	i	true
-	b	u	j	false
-	b	u	j	true
-	b	u	l	false
-	b	u	l	true
-	b	u	m	false
-	b	u	m	true
-	b	u	n	false
-	b	u	n	true
-	b	u	r	false
-	b	u	r	true
-	b	u	s	false
-	b	u	s	true
-	b	u	t	false
-	b	u	t	true
-	b	u	u	true
-	b	u	v	false
-	b	u	x	false
-	b	u	z	false
-	b	u	z	true
-	b	u	ș	false
-	b	u	ș	true
-	b	u	ț	false
-	b	y	r	false
-	b	â	c	false
-	b	â	c	true
-	b	â	h	false
-	b	â	i	true
-	b	â	j	true
-	b	â	l	false
-	b	â	l	true
-	b	â	n	false
-	b	â	n	true
-	b	â	r	false
-	b	â	r	true
-	b	â	t	false
-	b	â	z	false
-	b	â	z	true
-	b	â	ț	false
-	b	ă	b	false
-	b	ă	c	false
-	b	ă	d	false
-	b	ă	g	false
-	b	ă	h	true
-	b	ă	i	false
-	b	ă	i	true
-	b	ă	j	false
-	b	ă	l	false
-	b	ă	l	true
-	b	ă	n	false
-	b	ă	n	true
-	b	ă	r	false
-	b	ă	r	true
-	b	ă	s	true
-	b	ă	t	false
-	b	ă	u	false
-	b	ă	u	true
-	b	ă	ș	false
-	b	ă	ș	true
-	b	ă	ț	false
-	c	a	b	false
-	c	a	c	false
-	c	a	c	true
-	c	a	d	false
-	c	a	d	true
-	c	a	f	false
-	c	a	f	true
-	c	a	g	false
-	c	a	h	false
-	c	a	i	false
-	c	a	i	true
-	c	a	j	false
-	c	a	l	false
-	c	a	l	true
-	c	a	m	false
-	c	a	m	true
-	c	a	n	false
-	c	a	n	true
-	c	a	o	true
-	c	a	p	false
-	c	a	p	true
-	c	a	r	false
-	c	a	r	true
-	c	a	s	false
-	c	a	s	true
-	c	a	t	false
-	c	a	t	true
-	c	a	u	false
-	c	a	u	true
-	c	a	v	false
-	c	a	z	false
-	c	a	z	true
-	c	a	ș	false
-	c	a	ș	true
-	c	a	ț	false
-	c	e	a	false
-	c	e	a	true
-	c	e	b	false
-	c	e	c	false
-	c	e	c	true
-	c	e	d	false
-	c	e	e	false
-	c	e	f	false
-	c	e	g	false
-	c	e	h	false
-	c	e	i	false
-	c	e	i	true
-	c	e	l	false
-	c	e	l	true
-	c	e	m	false
-	c	e	m	true
-	c	e	n	false
-	c	e	n	true
-	c	e	p	false
-	c	e	p	true
-	c	e	r	false
-	c	e	r	true
-	c	e	s	false
-	c	e	s	true
-	c	e	t	false
-	c	e	t	true
-	c	e	u	false
-	c	e	u	true
-	c	e	v	false
-	c	e	y	true
-	c	e	z	false
-	c	e	ș	false
-	c	e	ș	true
-	c	e	ț	false
-	c	h	a	true
-	c	h	e	false
-	c	h	e	true
-	c	h	i	false
-	c	h	i	true
-	c	h	u	true
-	c	i	a	false
-	c	i	a	true
-	c	i	b	false
-	c	i	c	false
-	c	i	d	false
-	c	i	f	false
-	c	i	g	false
-	c	i	h	false
-	c	i	l	false
-	c	i	m	false
-	c	i	m	true
-	c	i	n	false
-	c	i	n	true
-	c	i	o	false
-	c	i	o	true
-	c	i	p	false
-	c	i	p	true
-	c	i	r	false
-	c	i	r	true
-	c	i	s	false
-	c	i	s	true
-	c	i	t	false
-	c	i	u	false
-	c	i	u	true
-	c	i	v	false
-	c	i	z	false
-	c	i	z	true
-	c	i	ș	false
-	c	i	ș	true
-	c	l	a	false
-	c	l	a	true
-	c	l	e	false
-	c	l	e	true
-	c	l	i	false
-	c	l	i	true
-	c	l	o	false
-	c	l	o	true
-	c	l	u	false
-	c	l	u	true
-	c	l	ă	false
-	c	l	ă	true
-	c	n	e	false
-	c	n	e	true
-	c	n	i	true
-	c	n	o	false
-	c	n	o	true
-	c	n	u	false
-	c	n	u	true
-	c	o	a	false
-	c	o	a	true
-	c	o	b	false
-	c	o	b	true
-	c	o	c	false
-	c	o	c	true
-	c	o	d	false
-	c	o	d	true
-	c	o	e	false
-	c	o	e	true
-	c	o	f	false
-	c	o	g	false
-	c	o	g	true
-	c	o	h	false
-	c	o	i	false
-	c	o	i	true
-	c	o	j	false
-	c	o	l	false
-	c	o	l	true
-	c	o	m	false
-	c	o	m	true
-	c	o	n	false
-	c	o	n	true
-	c	o	o	false
-	c	o	o	true
-	c	o	p	false
-	c	o	p	true
-	c	o	r	false
-	c	o	r	true
-	c	o	s	false
-	c	o	s	true
-	c	o	t	false
-	c	o	t	true
-	c	o	u	true
-	c	o	v	false
-	c	o	x	false
-	c	o	x	true
-	c	o	z	false
-	c	o	ș	false
-	c	o	ș	true
-	c	o	ț	false
-	c	o	ț	true
-	c	r	a	false
-	c	r	a	true
-	c	r	e	false
-	c	r	e	true
-	c	r	i	false
-	c	r	i	true
-	c	r	o	false
-	c	r	o	true
-	c	r	u	false
-	c	r	u	true
-	c	r	â	false
-	c	r	ă	false
-	c	r	ă	true
