b20	a03	syl
--	ari	true
--	arl	true
--	arm	true
--	arn	true
--	aro	true
--	arp	true
--	ars	true
--	art	true
--	aru	true
--	arv	true
--	arz	true
--	arâ	true
--	ară	true
--	arș	true
--	arț	true
--	as-	true
--	asa	true
--	asc	true
--	ase	true
--	asf	true
--	asi	true
--	asm	true
--	aso	true
--	asp	true
--	ass	true
--	ast	true
--	asu	true
--	ata	true
--	ate	true
--	ati	true
--	atl	true
--	atm	true
--	ato	true
--	atr	true
--	atu	true
--	atâ	true
--	au-	true
--	auc	true
--	aud	true
--	aug	true
--	aui	true
--	aul	true
--	aur	true
--	aus	true
--	aut	true
--	auv	true
--	aux	true
--	auz	true
--	auș	true
--	ava	true
--	ave	true
--	avi	true
--	avo	true
--	avr	true
--	avu	true
--	avâ	true
--	avă	true
--	ax-	true
--	axa	true
--	axe	true
--	axi	true
--	axo	true
--	axu	true
--	axâ	true
--	axă	true
--	aya	true
--	az-	true
--	aza	true
--	azb	true
--	aze	true
--	azi	true
--	azo	true
--	azt	true
--	azu	true
--	azv	true
--	aș-	true
--	așa	true
--	așc	true
--	așe	true
--	ași	true
--	așt	true
--	ața	true
--	ațe	true
--	ați	true
--	ațo	true
--	ațâ	true
--	ață	true
--	ba-	true
--	bab	true
--	bac	true
--	bad	true
--	baf	true
--	bag	true
--	bah	true
--	bai	true
--	baj	true
--	bal	true
--	bam	true
--	ban	true
--	bao	true
--	bap	true
--	bar	true
--	bas	true
--	bat	true
--	bau	true
--	bav	true
--	bax	true
--	baz	true
--	baș	true
--	baț	true
--	bea	true
--	beb	true
--	bec	true
--	bed	true
--	bee	true
--	beg	true
--	beh	true
--	bei	true
--	bej	true
--	bel	true
--	bem	true
--	ben	true
--	beo	true
--	ber	true
--	bes	true
--	bet	true
--	beu	true
--	bev	true
--	bez	true
--	beș	true
--	beț	true
--	bia	true
--	bib	true
--	bic	true
--	bid	true
--	bie	true
--	bif	true
--	big	true
--	bih	true
--	bij	true
--	bik	true
--	bil	true
--	bim	true
--	bin	true
--	bio	true
--	bip	true
--	bir	true
--	bis	true
--	bit	true
--	biu	true
--	biv	true
--	biz	true
--	biș	true
--	biț	true
--	bla	true
--	ble	true
--	bli	true
--	blo	true
--	blu	true
--	blâ	true
--	blă	true
--	boa	true
--	bob	true
--	boc	true
--	bod	true
--	boe	true
--	bog	true
--	boh	true
--	boi	true
--	boj	true
--	bol	true
--	bom	true
--	bon	true
--	bor	true
--	bos	true
--	bot	true
--	bou	true
--	bov	true
--	box	true
--	boz	true
--	boș	true
--	boț	true
--	bra	true
--	bre	true
--	bri	true
--	bro	true
--	brr	true
--	bru	true
--	brâ	true
--	bră	true
--	bu-	true
--	bub	true
--	buc	true
--	bud	true
--	buf	true
--	bug	true
--	buh	true
--	bui	true
--	buj	true
--	bul	true
--	bum	true
--	bun	true
--	bur	true
--	bus	true
--	but	true
--	buu	true
--	buv	true
--	bux	true
--	buz	true
--	buș	true
--	buț	true
--	byr	true
--	bâc	true
--	bâh	true
--	bâi	true
--	bâj	true
--	bâl	true
--	bân	true
--	bâr	true
--	bât	true
--	bâz	true
--	bâț	true
--	bă-	true
--	băb	true
--	băc	true
--	băd	true
--	băg	true
--	băh	true
--	băi	true
--	băj	true
--	băl	true
--	băn	true
--	băr	true
--	băs	true
--	băt	true
--	bău	true
--	băș	true
--	băț	true
--	c--	true
--	ca-	true
--	cab	true
--	cac	true
--	cad	true
--	caf	true
--	cag	true
--	cah	true
--	cai	true
--	caj	true
--	cal	true
--	cam	true
--	can	true
--	cao	true
--	cap	true
--	car	true
--	cas	true
--	cat	true
--	cau	true
--	cav	true
--	caz	true
--	caș	true
--	caț	true
--	ce-	true
--	cea	true
--	ceb	true
--	cec	true
--	ced	true
--	cee	true
--	cef	true
--	ceg	true
--	ceh	true
--	cei	true
--	cel	true
--	cem	true
--	cen	true
--	cep	true
--	cer	true
--	ces	true
--	cet	true
--	ceu	true
--	cev	true
--	cey	true
--	cez	true
--	ceș	true
--	ceț	true
--	cha	true
--	che	true
--	chi	true
--	chu	true
--	cia	true
--	cib	true
--	cic	true
--	cid	true
--	cif	true
--	cig	true
--	cih	true
--	cil	true
--	cim	true
--	cin	true
--	cio	true
--	cip	true
--	cir	true
--	cis	true
--	cit	true
--	ciu	true
--	civ	true
--	ciz	true
--	ciș	true
--	cla	true
--	cle	true
--	cli	true
--	clo	true
--	clu	true
--	clă	true
--	cne	true
--	cni	true
--	cno	true
--	cnu	true
--	coa	true
--	cob	true
--	coc	true
--	cod	true
--	coe	true
--	cof	true
--	cog	true
--	coh	true
--	coi	true
--	coj	true
--	col	true
--	com	true
--	con	true
--	coo	true
--	cop	true
--	cor	true
--	cos	true
--	cot	true
--	cou	true
--	cov	true
--	cox	true
--	coz	true
--	coș	true
--	coț	true
--	cra	true
--	cre	true
--	cri	true
--	cro	true
--	cru	true
--	crâ	true
--	cră	true
--	cte	true
--	cti	true
--	cu-	true
--	cua	true
--	cub	true
--	cuc	true
--	cue	true
--	cuf	true
--	cug	true
--	cuh	true
--	cui	true
--	cuj	true
--	cul	true
--	cum	true
--	cun	true
--	cup	true
--	cur	true
--	cus	true
--	cut	true
--	cuv	true
--	cuz	true
--	cuș	true
--	cuț	true
--	cva	true
--	cve	true
--	cvi	true
--	cvo	true
--	câc	true
--	câi	true
--	câl	true
--	câm	true
--	cân	true
--	câr	true
--	cât	true
--	câș	true
--	câț	true
--	că-	true
--	căc	true
--	căd	true
--	căf	true
--	căi	true
--	căl	true
--	căm	true
--	căn	true
--	căp	true
--	căr	true
--	căs	true
--	căt	true
--	cău	true
--	căv	true
--	căz	true
--	căș	true
--	căț	true
--	da-	true
--	dab	true
--	dac	true
--	dad	true
--	daf	true
--	dag	true
--	dai	true
--	daj	true
--	dak	true
--	dal	true
--	dam	true
--	dan	true
--	dap	true
--	dar	true
--	das	true
--	dat	true
--	dau	true
--	daț	true
--	de-	true
--	dea	true
--	deb	true
--	dec	true
--	ded	true
--	dee	true
--	def	true
--	deg	true
--	deh	true
--	dei	true
--	dej	true
--	del	true
--	dem	true
--	den	true
--	deo	true
--	dep	true
--	der	true
--	des	true
--	det	true
--	deu	true
--	dev	true
--	dex	true
--	dez	true
--	deî	true
--	deș	true
--	deț	true
--	dia	true
--	dib	true
--	dic	true
--	did	true
--	die	true
--	dif	true
--	dig	true
--	dih	true
--	dii	true
--	dij	true
--	dil	true
--	dim	true
--	din	true
--	dio	true
--	dip	true
--	dir	true
--	dis	true
--	dit	true
--	diu	true
--	div	true
--	dix	true
--	diz	true
--	do-	true
--	doa	true
--	dob	true
--	doc	true
--	dod	true
--	dof	true
--	dog	true
--	doh	true
--	doi	true
--	doj	true
--	dol	true
--	dom	true
--	don	true
--	dop	true
--	dor	true
--	dos	true
--	dot	true
--	dou	true
--	dov	true
--	dox	true
--	doz	true
--	dra	true
--	dre	true
--	dri	true
--	dro	true
--	dru	true
--	drâ	true
--	dră	true
--	du-	true
--	dua	true
--	dub	true
--	duc	true
--	dud	true
--	due	true
--	dug	true
--	duh	true
--	dui	true
--	dul	true
--	dum	true
--	dun	true
--	duo	true
--	dup	true
--	dur	true
--	dus	true
--	dut	true
--	duu	true
--	duz	true
--	duș	true
--	dvo	true
--	dâc	true
--	dâl	true
--	dâm	true
--	dân	true
--	dâr	true
--	dă-	true
--	dăb	true
--	dăd	true
--	dăg	true
--	dăi	true
--	dăj	true
--	dăl	true
--	dăm	true
--	dăn	true
--	dăp	true
--	dăr	true
--	dăs	true
--	dăt	true
--	dău	true
--	dăț	true
--	e--	true
--	ea-	true
--	eba	true
--	ebe	true
--	ebl	true
--	ebo	true
--	ebr	true
--	ebu	true
--	eca	true
--	ech	true
--	ecl	true
--	eco	true
--	ecp	true
--	ecr	true
--	ect	true
--	ecu	true
--	ecv	true
--	ecz	true
--	eda	true
--	ede	true
--	edi	true
--	edo	true
--	edu	true
--	ee-	true
--	efe	true
--	efi	true
--	efl	true
--	efo	true
--	efr	true
--	efu	true
--	ega	true
--	ege	true
--	egh	true
--	egi	true
--	egl	true
--	ego	true
--	egr	true
--	egu	true
--	eh-	true
--	ehe	true
--	eho	true
--	ei-	true
--	eic	true
--	eid	true
--	eif	true
--	ein	true
--	eja	true
--	eje	true
--	el-	true
--	ela	true
--	elc	true
--	ele	true
--	elf	true
--	eli	true
--	elo	true
--	elu	true
--	elv	true
--	elz	true
--	ema	true
--	emb	true
--	eme	true
--	emf	true
--	emi	true
--	emo	true
--	emp	true
--	emu	true
--	ena	true
--	enc	true
--	end	true
--	ene	true
--	enf	true
--	eng	true
--	eni	true
--	enj	true
--	eno	true
--	ens	true
--	ent	true
--	enu	true
--	enz	true
--	eoa	true
--	eob	true
--	eoc	true
--	eol	true
--	eon	true
--	eoz	true
--	epa	true
--	epe	true
--	epi	true
--	epo	true
--	epr	true
--	eps	true
--	epu	true
--	era	true
--	erb	true
--	erd	true
--	ere	true
--	erg	true
--	eri	true
--	erm	true
--	ero	true
--	erp	true
--	eru	true
--	erz	true
--	eră	true
--	esa	true
--	esc	true
--	ese	true
--	esh	true
--	esk	true
--	eso	true
--	esp	true
--	est	true
--	eta	true
--	etc	true
--	ete	true
--	eti	true
--	etm	true
--	etn	true
--	eto	true
--	etr	true
--	etu	true
--	etă	true
--	eu-	true
--	euc	true
--	eud	true
--	euf	true
--	eug	true
--	euh	true
--	eum	true
--	eun	true
--	eup	true
--	eur	true
--	eus	true
--	eut	true
--	ev-	true
--	eva	true
--	eve	true
--	evg	true
--	evi	true
--	evl	true
--	evo	true
--	evr	true
--	evu	true
--	exa	true
--	exc	true
--	exe	true
--	exf	true
--	exh	true
--	exi	true
--	exm	true
--	exo	true
--	exp	true
--	exs	true
--	ext	true
--	exu	true
--	exî	true
--	eze	true
--	ezi	true
--	ezo	true
--	eșa	true
--	eșe	true
--	eși	true
--	eșt	true
--	eșu	true
--	fa-	true
--	fab	true
--	fac	true
--	fad	true
--	fae	true
--	fag	true
--	fai	true
--	fal	true
--	fam	true
--	fan	true
--	fap	true
--	far	true
--	fas	true
--	fat	true
--	fau	true
--	fav	true
--	fax	true
--	faz	true
--	faș	true
--	faț	true
--	feb	true
--	fec	true
--	fed	true
--	fee	true
--	fel	true
--	fem	true
--	fen	true
--	fer	true
--	fes	true
--	fet	true
--	feu	true
--	fez	true
--	feș	true
--	feț	true
--	fia	true
--	fib	true
--	fic	true
--	fid	true
--	fie	true
--	fig	true
--	fii	true
--	fij	true
--	fil	true
--	fim	true
--	fin	true
--	fio	true
--	fir	true
--	fis	true
--	fit	true
--	fiu	true
--	fix	true
--	fiz	true
--	fiș	true
--	fiț	true
--	fla	true
--	fle	true
--	fli	true
--	flo	true
--	flu	true
--	flă	true
--	foa	true
--	fob	true
--	foc	true
--	fod	true
--	fof	true
--	foi	true
--	foj	true
--	fol	true
--	fom	true
--	fon	true
--	for	true
--	fos	true
--	fot	true
--	fou	true
--	fov	true
--	fox	true
--	foș	true
--	foț	true
--	fra	true
--	fre	true
--	fri	true
--	fro	true
--	fru	true
--	frâ	true
--	fră	true
--	fta	true
--	fti	true
--	fto	true
--	fu-	true
--	fuc	true
--	fud	true
--	fue	true
--	fuf	true
--	fug	true
--	fui	true
--	ful	true
--	fum	true
--	fun	true
--	fur	true
--	fus	true
--	fut	true
--	fux	true
--	fuz	true
--	fuș	true
--	fuț	true
--	fâl	true
--	fân	true
--	fâr	true
--	fâs	true
--	fâș	true
--	fâț	true
--	fă-	true
--	făc	true
--	făg	true
--	făi	true
--	făl	true
--	făp	true
--	făr	true
--	făt	true
--	fău	true
--	făz	true
--	făț	true
--	ga-	true
--	gab	true
--	gac	true
--	gad	true
--	gae	true
--	gaf	true
--	gag	true
--	gai	true
--	gaj	true
--	gal	true
--	gam	true
--	gan	true
--	gao	true
--	gap	true
--	gar	true
--	gas	true
--	gat	true
--	gau	true
--	gav	true
--	gaz	true
--	gaș	true
--	gea	true
--	geb	true
--	gec	true
--	gef	true
--	gel	true
--	gem	true
--	gen	true
--	geo	true
--	gep	true
--	ger	true
--	ges	true
--	get	true
--	gev	true
--	geț	true
--	gha	true
--	ghe	true
--	ghi	true
--	gia	true
--	gib	true
--	gig	true
--	gil	true
--	gim	true
--	gin	true
--	gio	true
--	gip	true
--	gir	true
--	gis	true
--	giu	true
--	gla	true
--	gle	true
--	gli	true
--	glo	true
--	glu	true
--	glă	true
--	gna	true
--	gno	true
--	gnu	true
--	goa	true
--	gob	true
--	god	true
--	goe	true
--	gof	true
--	gog	true
--	goi	true
--	gol	true
--	gom	true
--	gon	true
--	gop	true
--	gor	true
--	gos	true
--	got	true
--	goz	true
--	goș	true
--	goț	true
--	gra	true
--	gre	true
--	gri	true
--	gro	true
--	gru	true
--	grâ	true
--	gră	true
--	gua	true
--	gub	true
--	gud	true
--	gue	true
--	gug	true
--	gui	true
--	guj	true
--	gul	true
--	gum	true
--	gun	true
--	gup	true
--	gur	true
--	gus	true
--	gut	true
--	guv	true
--	guz	true
--	guș	true
--	gâd	true
--	gâf	true
--	gâg	true
--	gâj	true
--	gâl	true
--	gân	true
--	gâr	true
--	gâs	true
--	gât	true
--	gâz	true
--	gâș	true
--	găb	true
--	găg	true
--	găi	true
--	găl	true
--	găm	true
--	găo	true
--	găr	true
--	găs	true
--	găt	true
--	gău	true
--	găv	true
--	găz	true
--	găș	true
--	ha-	true
--	hab	true
--	hac	true
--	had	true
--	haf	true
--	hag	true
--	hah	true
--	hai	true
--	hal	true
--	ham	true
--	han	true
--	hao	true
--	hap	true
--	har	true
--	has	true
--	hat	true
--	hau	true
--	hav	true
--	hay	true
--	haz	true
--	haș	true
--	haț	true
--	he-	true
--	hea	true
--	heb	true
--	hec	true
--	hed	true
--	heg	true
--	heh	true
--	hei	true
--	hel	true
--	hem	true
--	hen	true
--	hep	true
--	her	true
--	hes	true
--	het	true
--	hev	true
--	hex	true
--	hia	true
--	hib	true
--	hic	true
--	hid	true
--	hie	true
--	hif	true
--	hig	true
--	hil	true
--	him	true
--	hin	true
--	hio	true
--	hip	true
--	hir	true
--	his	true
--	hit	true
--	hla	true
--	hle	true
--	hli	true
--	hlu	true
--	hm-	true
--	ho-	true
--	hoa	true
--	hob	true
--	hoc	true
--	hod	true
--	hog	true
--	hoh	true
--	hoi	true
--	hoj	true
--	hol	true
--	hom	true
--	hon	true
--	hop	true
--	hor	true
--	hos	true
--	hot	true
--	hov	true
--	hoț	true
--	hra	true
--	hrc	true
--	hre	true
--	hri	true
--	hro	true
--	hru	true
--	hră	true
--	hto	true
--	hub	true
--	huc	true
--	hud	true
--	hug	true
--	huh	true
--	hui	true
--	hul	true
--	hum	true
--	hun	true
--	huo	true
--	hur	true
--	hus	true
--	hut	true
--	huz	true
--	huș	true
--	huț	true
--	hâc	true
--	hâd	true
--	hâi	true
--	hân	true
--	hâr	true
--	hât	true
--	hâz	true
--	hâș	true
--	hâț	true
--	hă-	true
--	hăb	true
--	hăc	true
--	hăd	true
--	hăh	true
--	hăi	true
--	hăl	true
--	hăm	true
--	hăp	true
--	hăr	true
--	hăt	true
--	hău	true
--	hăz	true
--	hăș	true
--	hăț	true
--	i--	true
--	ia-	true
--	iac	true
--	iad	true
--	iah	true
--	ial	true
--	iam	true
--	ian	true
--	iap	true
--	iar	true
--	ias	true
--	iat	true
--	iau	true
--	iav	true
--	iaz	true
--	iaș	true
--	ibe	true
--	ibi	true
--	ibo	true
--	ibr	true
--	ibu	true
--	ibâ	true
--	ic-	true
--	ica	true
--	ich	true
--	ici	true
--	icn	true
--	ico	true
--	icr	true
--	ict	true
--	icu	true
--	ide	true
--	idi	true
--	ido	true
--	ie-	true
--	ied	true
--	ief	true
--	iei	true
--	iel	true
--	ien	true
--	iep	true
--	ier	true
--	ies	true
--	iet	true
--	iez	true
--	ieș	true
--	ifi	true
--	ifo	true
--	igh	true
--	igi	true
--	igl	true
--	ign	true
--	igr	true
--	igu	true
--	iha	true
--	ihn	true
--	iht	true
--	ii-	true
--	iii	true
--	iil	true
--	iiș	true
--	ijd	true
--	ije	true
--	ike	true
--	ila	true
--	ile	true
--	ilf	true
--	ili	true
--	ill	true
--	ilm	true
--	ilo	true
--	ilu	true
--	ilă	true
--	im-	true
--	ima	true
--	imb	true
--	ime	true
--	imi	true
--	imn	true
--	imo	true
--	imp	true
--	imu	true
--	in-	true
--	ina	true
--	inc	true
--	ind	true
--	ine	true
--	inf	true
--	ing	true
--	inh	true
--	ini	true
--	inj	true
--	inn	true
--	ino	true
--	inp	true
--	ins	true
--	int	true
--	inu	true
--	inv	true
--	ină	true
--	inș	true
--	ioa	true
--	iob	true
--	ioc	true
--	iod	true
--	iof	true
--	iol	true
--	ion	true
--	ior	true
--	iot	true
--	iov	true
--	ipa	true
--	ipe	true
--	ipi	true
--	ipo	true
--	ips	true
--	ir-	true
--	ira	true
--	irb	true
--	ire	true
--	iri	true
--	irl	true
--	irm	true
--	iro	true
--	iru	true
--	isa	true
--	isc	true
--	isi	true
--	isl	true
--	ism	true
--	isn	true
--	iso	true
--	isp	true
--	ist	true
--	ita	true
--	ite	true
--	iti	true
--	iu-	true
--	iub	true
--	iud	true
--	iuf	true
--	iug	true
--	iui	true
--	iul	true
--	iun	true
--	iur	true
--	ius	true
--	iut	true
--	iuz	true
--	iuș	true
--	iuț	true
--	ive	true
--	ivi	true
--	ivo	true
--	ivă	true
--	iz-	true
--	iza	true
--	izb	true
--	izd	true
--	ize	true
--	izg	true
--	izi	true
--	izl	true
--	izm	true
--	izn	true
--	izo	true
--	izr	true
--	izu	true
--	izv	true
--	ișa	true
--	ișl	true
--	ișt	true
--	ița	true
--	ițe	true
--	iți	true
--	iță	true
--	jab	true
--	jac	true
--	jad	true
--	jaf	true
--	jag	true
--	jai	true
--	jal	true
--	jam	true
--	jan	true
--	jap	true
--	jar	true
--	jas	true
--	jav	true
--	jaz	true
--	jde	true
--	jeb	true
--	jec	true
--	jef	true
--	jeg	true
--	jej	true
--	jel	true
--	jem	true
--	jen	true
--	jep	true
--	jer	true
--	jet	true
--	jeț	true
--	jgh	true
--	jia	true
--	jic	true
--	jid	true
--	jie	true
--	jig	true
--	jih	true
--	jil	true
--	jim	true
--	jin	true
--	jip	true
--	jir	true
--	jit	true
--	jiv	true
--	jna	true
--	jne	true
--	jnă	true
--	joa	true
--	job	true
--	joc	true
--	jof	true
--	jog	true
--	joi	true
--	joj	true
--	jon	true
--	jor	true
--	jos	true
--	jot	true
--	jou	true
--	jov	true
--	joș	true
--	jub	true
--	juc	true
--	jud	true
--	jug	true
--	jui	true
--	juj	true
--	jul	true
--	jum	true
--	jun	true
--	jup	true
--	jur	true
--	jus	true
--	juv	true
--	jux	true
--	juz	true
--	juș	true
--	jăc	true
--	jăl	true
--	jăp	true
--	jăr	true
--	kab	true
--	kai	true
--	kak	true
--	kal	true
--	kam	true
--	kan	true
--	kao	true
--	kap	true
--	kar	true
--	kas	true
--	kav	true
--	kaz	true
--	ked	true
--	kel	true
--	ken	true
--	ker	true
--	ket	true
--	key	true
--	khm	true
--	kid	true
--	kie	true
--	kil	true
--	kim	true
--	kin	true
--	kir	true
--	kis	true
--	kit	true
--	kiw	true
--	kiș	true
--	kli	true
--	koa	true
--	kob	true
--	kod	true
--	koi	true
--	kov	true
--	kra	true
--	kre	true
--	kri	true
--	kro	true
--	kun	true
--	kur	true
--	kuw	true
--	l--	true
--	la-	true
--	lab	true
--	lac	true
--	lad	true
--	laf	true
--	lag	true
--	lah	true
--	lai	true
--	lal	true
--	lam	true
--	lan	true
--	lao	true
--	lap	true
--	lar	true
--	las	true
--	lat	true
--	lau	true
--	lav	true
--	lax	true
--	laz	true
--	laș	true
--	laț	true
--	le-	true
--	lea	true
--	leb	true
--	lec	true
--	led	true
--	lef	true
--	leg	true
--	leh	true
--	lei	true
--	lej	true
--	lek	true
--	lel	true
--	lem	true
--	len	true
--	leo	true
--	lep	true
--	ler	true
--	les	true
--	let	true
--	leu	true
--	lev	true
--	lex	true
--	lez	true
--	leș	true
--	leț	true
--	lia	true
--	lib	true
--	lic	true
--	lid	true
--	lie	true
--	lif	true
--	lig	true
--	lih	true
--	lil	true
--	lim	true
--	lin	true
--	lio	true
--	lip	true
--	lir	true
--	lis	true
--	lit	true
--	liu	true
--	liv	true
--	liz	true
--	liș	true
--	liț	true
--	loa	true
--	lob	true
--	loc	true
--	lod	true
--	log	true
--	loh	true
--	loi	true
--	loj	true
--	lol	true
--	lom	true
--	lon	true
--	lop	true
--	lor	true
--	los	true
--	lot	true
--	lov	true
--	lox	true
--	loz	true
--	loț	true
--	lua	true
--	lub	true
--	luc	true
--	lud	true
--	lue	true
--	luf	true
--	lug	true
--	lui	true
--	luj	true
--	lul	true
--	lum	true
--	lun	true
--	lup	true
--	lur	true
--	lus	true
--	lut	true
--	lux	true
--	luz	true
--	luâ	true
--	luă	true
--	luș	true
--	lân	true
--	lăb	true
--	lăc	true
--	lăd	true
--	lăf	true
--	lăi	true
--	lăl	true
--	lăm	true
--	lăn	true
--	lăo	true
--	lăp	true
--	lăr	true
--	lăs	true
--	lăt	true
--	lău	true
--	lăv	true
--	lăz	true
--	lăț	true
--	maa	true
--	mac	true
--	mad	true
--	mae	true
--	maf	true
--	mag	true
--	mah	true
--	mai	true
--	maj	true
--	mak	true
--	mal	true
--	mam	true
--	man	true
--	mao	true
--	map	true
--	maq	true
--	mar	true
--	mas	true
--	mat	true
--	mau	true
--	mav	true
--	max	true
--	maz	true
--	maș	true
--	maț	true
--	mda	true
--	mde	true
--	mea	true
--	mec	true
--	med	true
--	mef	true
--	meg	true
--	meh	true
--	mei	true
--	mej	true
--	mel	true
--	mem	true
--	men	true
--	meo	true
--	mep	true
--	mer	true
--	mes	true
--	met	true
--	meu	true
--	mex	true
--	mez	true
--	meș	true
--	mia	true
--	mic	true
--	mid	true
--	mie	true
--	mig	true
--	mih	true
--	mii	true
--	mij	true
--	mik	true
--	mil	true
--	mim	true
--	min	true
--	mio	true
--	mir	true
--	mis	true
--	mit	true
--	miu	true
--	mix	true
--	miz	true
--	miș	true
--	miț	true
--	mla	true
--	mle	true
--	mlă	true
--	mne	true
--	moa	true
--	mob	true
--	moc	true
--	mod	true
--	mof	true
--	mog	true
--	moh	true
--	moi	true
--	moj	true
--	mol	true
--	mom	true
--	mon	true
--	mop	true
--	mor	true
--	mos	true
--	mot	true
--	mov	true
--	moz	true
--	moș	true
--	moț	true
--	mra	true
--	mre	true
--	mră	true
--	mu-	true
--	mua	true
--	muc	true
--	mud	true
--	mue	true
--	muf	true
--	mug	true
--	muh	true
--	mui	true
--	muj	true
--	mul	true
--	mum	true
--	mun	true
--	mur	true
--	mus	true
--	mut	true
--	muz	true
--	muș	true
--	muț	true
--	mâg	true
--	mâh	true
--	mâi	true
--	mâl	true
--	mân	true
--	mâr	true
--	mât	true
--	mâz	true
--	mâș	true
--	mâț	true
--	mă-	true
--	măc	true
--	măd	true
--	măg	true
--	măi	true
--	măj	true
--	măl	true
--	măm	true
--	măn	true
--	măr	true
--	măs	true
--	măt	true
--	măz	true
--	măș	true
--	măț	true
--	na-	true
--	nab	true
--	nac	true
--	nad	true
--	naf	true
--	nag	true
--	nah	true
--	nai	true
--	nal	true
--	nam	true
--	nan	true
--	nao	true
--	nap	true
--	nar	true
--	nas	true
--	nat	true
--	nau	true
--	nav	true
--	naz	true
--	naș	true
--	naț	true
--	nea	true
--	neb	true
--	nec	true
--	ned	true
--	nee	true
--	nef	true
--	neg	true
--	neh	true
--	nei	true
--	nej	true
--	nel	true
--	nem	true
--	nen	true
--	neo	true
--	nep	true
--	ner	true
--	nes	true
--	net	true
--	neu	true
--	nev	true
--	new	true
--	nex	true
--	nez	true
--	neî	true
--	neș	true
--	neț	true
--	nia	true
--	nic	true
--	nid	true
--	nie	true
--	nif	true
--	nig	true
--	nih	true
--	nil	true
--	nim	true
--	nin	true
--	nio	true
--	nip	true
--	nir	true
--	nis	true
--	nit	true
--	niv	true
--	nix	true
--	niz	true
--	niș	true
--	niț	true
--	no-	true
--	noa	true
--	nob	true
--	noc	true
--	nod	true
--	noe	true
--	nog	true
--	noi	true
--	noj	true
--	nom	true
--	non	true
--	noo	true
--	nop	true
--	nor	true
--	nos	true
--	not	true
--	nou	true
--	nov	true
--	nox	true
--	noș	true
--	noț	true
--	nua	true
--	nub	true
--	nuc	true
--	nud	true
--	nuf	true
--	nug	true
--	nui	true
--	nul	true
--	num	true
--	nun	true
--	nup	true
--	nur	true
--	nut	true
--	nuv	true
--	nuz	true
--	nuș	true
--	năb	true
--	năc	true
--	năd	true
--	năf	true
--	năg	true
--	năi	true
--	năj	true
--	năl	true
--	năm	true
--	năn	true
--	năp	true
--	năr	true
--	năs	true
--	năt	true
--	nău	true
--	năv	true
--	năz	true
--	năș	true
--	o--	true
--	oab	true
--	oac	true
--	oai	true
--	oal	true
--	oam	true
--	oar	true
--	oas	true
--	oaz	true
--	oba	true
--	obc	true
--	obd	true
--	obe	true
--	obi	true
--	obl	true
--	obn	true
--	obo	true
--	obr	true
--	obs	true
--	obt	true
--	obu	true
--	obv	true
--	obâ	true
--	obă	true
--	obș	true
--	obț	true
--	oca	true
--	occ	true
--	oce	true
--	och	true
--	oci	true
--	ocl	true
--	ocn	true
--	oco	true
--	ocr	true
--	oct	true
--	ocu	true
--	ocâ	true
--	ocă	true
--	oda	true
--	ode	true
