a01	a12	a23	a34	a45	syl
a	b	e	t	u	true
a	b	e	t	ă	false
a	b	e	u	-	false
a	b	e	u	l	false
a	b	e	z	-	false
a	b	e	z	e	false
a	b	e	z	i	false
a	b	e	ș	t	false
a	b	e	ț	i	false
a	b	f	e	r	false
a	b	h	o	r	true
a	b	i	-	-	false
a	b	i	a	-	false
a	b	i	a	-	true
a	b	i	a	c	false
a	b	i	a	l	false
a	b	i	a	n	false
a	b	i	a	t	false
a	b	i	a	ț	false
a	b	i	c	-	false
a	b	i	c	a	false
a	b	i	c	e	false
a	b	i	c	i	false
a	b	i	c	u	false
a	b	i	c	ă	false
a	b	i	d	a	false
a	b	i	d	e	false
a	b	i	d	ă	false
a	b	i	e	-	false
a	b	i	e	i	false
a	b	i	e	n	false
a	b	i	e	n	true
a	b	i	e	r	false
a	b	i	e	t	false
a	b	i	e	t	true
a	b	i	e	u	false
a	b	i	i	-	false
a	b	i	i	l	false
a	b	i	l	-	false
a	b	i	l	-	true
a	b	i	l	a	false
a	b	i	l	a	true
a	b	i	l	e	false
a	b	i	l	e	true
a	b	i	l	i	false
a	b	i	l	i	true
a	b	i	l	o	false
a	b	i	l	u	false
a	b	i	l	u	true
a	b	i	l	ă	false
a	b	i	l	ă	true
a	b	i	n	-	false
a	b	i	n	a	false
a	b	i	n	e	false
a	b	i	n	i	false
a	b	i	n	o	false
a	b	i	n	u	false
a	b	i	n	ă	false
a	b	i	o	a	false
a	b	i	o	d	false
a	b	i	o	f	false
a	b	i	o	g	true
a	b	i	o	l	false
a	b	i	o	l	true
a	b	i	o	n	false
a	b	i	o	p	false
a	b	i	o	s	false
a	b	i	o	t	false
a	b	i	o	t	true
a	b	i	o	v	false
a	b	i	o	z	false
a	b	i	o	z	true
a	b	i	o	ș	false
a	b	i	r	-	false
a	b	i	r	i	false
a	b	i	r	u	false
a	b	i	s	-	false
a	b	i	s	-	true
a	b	i	s	a	true
a	b	i	s	c	false
a	b	i	s	e	false
a	b	i	s	i	false
a	b	i	s	i	true
a	b	i	s	m	false
a	b	i	s	t	false
a	b	i	s	u	false
a	b	i	s	u	true
a	b	i	t	-	false
a	b	i	t	a	false
a	b	i	t	a	true
a	b	i	t	e	false
a	b	i	t	e	true
a	b	i	t	i	true
a	b	i	t	u	false
a	b	i	t	â	true
a	b	i	t	ă	true
a	b	i	u	-	false
a	b	i	u	l	false
a	b	i	u	m	false
a	b	i	v	o	false
a	b	i	z	a	false
a	b	i	z	e	false
a	b	i	z	â	false
a	b	i	z	ă	false
a	b	i	ș	t	false
a	b	i	ț	-	false
a	b	i	ț	a	false
a	b	i	ț	e	false
a	b	i	ț	i	false
a	b	i	ț	u	false
a	b	i	ț	ă	false
a	b	j	e	c	true
a	b	j	u	d	true
a	b	j	u	r	true
a	b	l	a	-	false
a	b	l	a	b	false
a	b	l	a	c	true
a	b	l	a	g	false
a	b	l	a	i	false
a	b	l	a	j	false
a	b	l	a	l	false
a	b	l	a	m	false
a	b	l	a	n	false
a	b	l	a	r	false
a	b	l	a	s	false
a	b	l	a	t	false
a	b	l	a	t	true
a	b	l	a	u	false
a	b	l	a	u	true
a	b	l	a	ș	false
a	b	l	a	ț	false
a	b	l	a	ț	true
a	b	l	e	-	false
a	b	l	e	a	false
a	b	l	e	a	true
a	b	l	e	f	true
a	b	l	e	g	true
a	b	l	e	i	false
a	b	l	e	l	false
a	b	l	e	p	true
a	b	l	e	t	false
a	b	l	e	z	false
a	b	l	i	e	false
a	b	l	i	o	false
a	b	l	o	a	false
a	b	l	o	g	false
a	b	l	o	i	false
a	b	l	o	n	false
a	b	l	o	r	false
a	b	l	o	u	false
a	b	l	o	z	false
a	b	l	u	-	false
a	b	l	u	l	false
a	b	l	u	r	false
a	b	l	u	t	true
a	b	l	u	ț	true
a	b	l	â	n	false
a	b	l	ă	-	false
a	b	l	ă	m	false
a	b	l	ă	r	false
a	b	n	e	a	true
a	b	n	e	g	true
a	b	n	i	c	false
a	b	n	o	r	true
a	b	o	-	-	false
a	b	o	a	n	false
a	b	o	c	a	false
a	b	o	f	i	false
a	b	o	f	o	false
a	b	o	g	a	false
a	b	o	i	-	false
a	b	o	i	a	false
a	b	o	i	i	false
a	b	o	i	l	false
a	b	o	i	u	false
a	b	o	l	a	false
a	b	o	l	e	false
a	b	o	l	e	true
a	b	o	l	i	false
a	b	o	l	i	true
a	b	o	l	l	true
a	b	o	l	o	false
a	b	o	l	z	false
a	b	o	l	ă	false
a	b	o	m	e	false
a	b	o	m	i	true
a	b	o	n	a	false
a	b	o	n	a	true
a	b	o	n	d	false
a	b	o	n	e	false
a	b	o	n	e	true
a	b	o	n	z	false
a	b	o	n	â	false
a	b	o	n	â	true
a	b	o	n	ă	false
a	b	o	n	ă	true
a	b	o	r	a	false
a	b	o	r	a	true
a	b	o	r	d	false
a	b	o	r	d	true
a	b	o	r	e	false
a	b	o	r	i	false
a	b	o	r	i	true
a	b	o	r	n	false
a	b	o	r	t	true
a	b	o	r	â	false
a	b	o	r	ă	false
a	b	o	s	t	false
a	b	o	t	-	false
a	b	o	t	a	false
a	b	o	t	e	false
a	b	o	t	i	false
a	b	o	t	n	false
a	b	o	t	o	false
a	b	o	t	u	false
a	b	o	t	â	false
a	b	o	t	ă	false
a	b	o	u	-	false
a	b	o	u	l	false
a	b	o	u	r	false
a	b	o	ș	-	false
a	b	o	ș	a	false
a	b	o	ș	e	false
a	b	o	ș	i	false
a	b	o	ș	o	false
a	b	o	ș	u	false
a	b	o	ș	ă	false
a	b	o	ț	i	false
a	b	r	a	-	false
a	b	r	a	c	false
a	b	r	a	c	true
a	b	r	a	d	false
a	b	r	a	h	true
a	b	r	a	i	false
a	b	r	a	j	false
a	b	r	a	m	false
a	b	r	a	n	false
a	b	r	a	n	true
a	b	r	a	r	false
a	b	r	a	s	false
a	b	r	a	s	true
a	b	r	a	t	false
a	b	r	a	u	false
a	b	r	a	z	false
a	b	r	a	z	true
a	b	r	a	ș	false
a	b	r	a	ș	true
a	b	r	a	ț	false
a	b	r	e	-	false
a	b	r	e	a	false
a	b	r	e	a	true
a	b	r	e	c	false
a	b	r	e	i	false
a	b	r	e	l	false
a	b	r	e	r	false
a	b	r	e	t	false
a	b	r	e	v	true
a	b	r	e	z	false
a	b	r	i	-	false
a	b	r	i	a	false
a	b	r	i	c	false
a	b	r	i	d	false
a	b	r	i	e	false
a	b	r	i	o	false
a	b	r	i	t	false
a	b	r	o	-	false
a	b	r	o	a	false
a	b	r	o	g	true
a	b	r	o	n	false
a	b	r	o	s	false
a	b	r	o	u	false
a	b	r	o	v	false
a	b	r	o	z	false
a	b	r	o	ș	false
a	b	r	u	-	false
a	b	r	u	d	true
a	b	r	u	l	false
a	b	r	u	m	false
a	b	r	u	p	true
a	b	r	u	t	true
a	b	r	â	n	false
a	b	r	ă	-	false
a	b	r	ă	m	false
a	b	r	ă	r	false
a	b	s	-	-	false
a	b	s	c	i	true
a	b	s	c	o	true
a	b	s	e	n	true
a	b	s	i	d	true
a	b	s	i	n	true
a	b	s	o	a	true
a	b	s	o	l	true
a	b	s	o	r	false
a	b	s	o	r	true
a	b	s	t	e	true
a	b	s	t	i	true
a	b	s	t	r	true
a	b	s	u	l	false
a	b	s	u	r	false
a	b	s	u	r	true
a	b	u	-	-	false
a	b	u	c	-	false
a	b	u	c	u	false
a	b	u	g	e	false
a	b	u	i	n	false
a	b	u	i	s	false
a	b	u	i	z	false
a	b	u	l	-	false
a	b	u	l	-	true
a	b	u	l	a	false
a	b	u	l	e	false
a	b	u	l	e	true
a	b	u	l	h	false
a	b	u	l	i	false
a	b	u	l	i	true
a	b	u	l	o	false
a	b	u	l	u	false
a	b	u	l	u	true
a	b	u	l	â	false
a	b	u	l	ă	false
a	b	u	n	-	false
a	b	u	n	d	false
a	b	u	n	d	true
a	b	u	n	e	false
a	b	u	n	g	false
a	b	u	n	i	false
a	b	u	n	u	false
a	b	u	n	z	false
a	b	u	n	z	true
a	b	u	n	ă	false
a	b	u	r	-	false
a	b	u	r	-	true
a	b	u	r	a	false
a	b	u	r	c	true
a	b	u	r	e	false
a	b	u	r	e	true
a	b	u	r	i	false
a	b	u	r	i	true
a	b	u	r	o	false
a	b	u	r	o	true
a	b	u	r	u	false
a	b	u	r	u	true
a	b	u	r	ă	false
a	b	u	s	t	false
a	b	u	u	l	false
a	b	u	u	r	false
a	b	u	v	i	false
a	b	u	z	-	true
a	b	u	z	a	false
a	b	u	z	a	true
a	b	u	z	e	false
a	b	u	z	e	true
a	b	u	z	i	true
a	b	u	z	u	true
a	b	u	z	â	false
a	b	u	z	â	true
a	b	u	z	ă	false
a	b	u	z	ă	true
a	b	u	ș	c	false
a	b	u	ș	t	false
a	b	z	i	-	false
a	b	z	i	-	true
a	b	z	i	c	true
a	b	z	i	s	true
a	b	z	i	ș	true
a	b	â	n	d	false
a	b	ă	-	-	false
a	b	ă	d	e	false
a	b	ă	m	-	false
a	b	ă	n	-	false
a	b	ă	n	u	false
a	b	ă	r	-	false
a	b	ă	r	a	false
a	b	ă	r	e	false
a	b	ă	r	i	false
a	b	ă	r	u	false
a	b	ă	r	ă	false
a	b	ă	t	e	true
a	b	ă	t	u	true
a	b	ă	t	â	true
a	b	ă	ț	-	false
a	b	ă	ț	u	false
a	b	ț	i	b	true
a	b	ț	i	g	true
a	b	ț	i	i	true
a	b	ț	i	n	true
a	c	-	-	-	false
a	c	-	-	-	true
a	c	a	-	-	false
a	c	a	-	-	true
a	c	a	b	e	false
a	c	a	b	i	false
a	c	a	b	r	false
a	c	a	c	-	false
a	c	a	c	e	false
a	c	a	c	i	false
a	c	a	c	i	true
a	c	a	c	u	false
a	c	a	d	a	false
a	c	a	d	e	false
a	c	a	d	e	true
a	c	a	d	i	true
a	c	a	d	o	false
a	c	a	d	u	false
a	c	a	d	â	false
a	c	a	d	ă	false
a	c	a	f	a	false
a	c	a	g	i	false
a	c	a	g	l	false
a	c	a	i	-	false
a	c	a	i	-	true
a	c	a	i	r	false
a	c	a	j	-	false
a	c	a	j	e	false
a	c	a	j	i	false
a	c	a	j	u	false
a	c	a	j	u	true
a	c	a	l	-	false
a	c	a	l	-	true
a	c	a	l	a	false
a	c	a	l	c	true
a	c	a	l	e	false
a	c	a	l	e	true
a	c	a	l	i	false
a	c	a	l	i	true
a	c	a	l	m	true
a	c	a	l	o	false
a	c	a	l	o	true
a	c	a	l	u	false
a	c	a	l	ă	false
a	c	a	l	ă	true
a	c	a	m	-	false
a	c	a	m	-	true
a	c	a	m	a	false
a	c	a	m	e	false
a	c	a	m	i	false
a	c	a	m	u	false
a	c	a	m	ă	false
a	c	a	n	-	false
a	c	a	n	a	false
a	c	a	n	d	false
a	c	a	n	e	false
a	c	a	n	i	false
a	c	a	n	t	false
a	c	a	n	t	true
a	c	a	n	u	false
a	c	a	n	ă	false
a	c	a	n	ț	false
a	c	a	n	ț	true
a	c	a	o	-	false
a	c	a	o	t	false
a	c	a	p	a	false
a	c	a	p	a	true
a	c	a	p	r	false
a	c	a	r	-	false
a	c	a	r	-	true
a	c	a	r	a	false
a	c	a	r	d	false
a	c	a	r	e	false
a	c	a	r	e	true
a	c	a	r	i	false
a	c	a	r	i	true
a	c	a	r	m	false
a	c	a	r	n	true
a	c	a	r	o	false
a	c	a	r	o	true
a	c	a	r	p	false
a	c	a	r	p	true
a	c	a	r	u	false
a	c	a	r	u	true
a	c	a	r	â	false
a	c	a	r	ă	false
a	c	a	r	ă	true
a	c	a	s	-	false
a	c	a	s	a	false
a	c	a	s	e	false
a	c	a	s	e	true
a	c	a	s	u	false
a	c	a	s	â	false
a	c	a	s	ă	false
a	c	a	s	ă	true
a	c	a	t	-	false
a	c	a	t	-	true
a	c	a	t	a	true
a	c	a	t	e	false
a	c	a	t	e	true
a	c	a	t	i	false
a	c	a	t	i	true
a	c	a	t	o	false
a	c	a	t	u	false
a	c	a	t	ă	false
a	c	a	t	ă	true
a	c	a	u	-	false
a	c	a	u	-	true
a	c	a	u	a	false
a	c	a	u	s	true
a	c	a	u	z	true
a	c	a	z	-	false
a	c	a	z	a	false
a	c	a	z	e	false
a	c	a	z	u	false
a	c	a	z	u	true
a	c	a	z	ă	false
a	c	a	ș	-	false
a	c	a	ș	i	false
a	c	a	ș	i	true
a	c	a	ș	u	false
a	c	a	ț	-	true
a	c	a	ț	i	false
a	c	a	ț	i	true
a	c	a	ț	u	true
a	c	c	a	t	false
a	c	c	e	a	false
a	c	c	e	a	true
a	c	c	e	d	true
a	c	c	e	e	false
a	c	c	e	l	false
a	c	c	e	l	true
a	c	c	e	n	true
a	c	c	e	p	false
a	c	c	e	p	true
a	c	c	e	s	false
a	c	c	e	s	true
a	c	c	e	z	true
a	c	c	i	d	false
a	c	c	i	d	true
a	c	c	i	i	false
a	c	c	i	n	false
a	c	c	i	u	false
a	c	c	i	z	true
a	c	c	o	r	false
a	c	d	e	m	false
a	c	d	e	m	true
a	c	e	-	-	false
a	c	e	-	-	true
a	c	e	a	-	false
a	c	e	a	-	true
a	c	e	a	i	false
a	c	e	a	l	false
a	c	e	a	m	false
a	c	e	a	s	true
a	c	e	a	u	false
a	c	e	a	ț	false
a	c	e	d	e	true
a	c	e	d	o	false
a	c	e	e	-	false
a	c	e	e	-	true
a	c	e	e	a	false
a	c	e	e	a	true
a	c	e	e	i	false
a	c	e	e	i	true
a	c	e	e	l	false
a	c	e	e	l	true
a	c	e	f	a	false
a	c	e	f	a	true
a	c	e	i	-	false
a	c	e	i	-	true
a	c	e	i	a	true
a	c	e	i	d	false
a	c	e	i	i	false
a	c	e	i	i	true
a	c	e	l	-	false
a	c	e	l	-	true
a	c	e	l	a	false
a	c	e	l	a	true
a	c	e	l	e	false
a	c	e	l	e	true
a	c	e	l	i	false
a	c	e	l	o	false
a	c	e	l	o	true
a	c	e	l	u	false
a	c	e	l	u	true
a	c	e	l	ă	false
a	c	e	m	-	false
a	c	e	m	a	false
a	c	e	m	e	false
a	c	e	m	i	false
a	c	e	m	o	false
a	c	e	m	u	false
a	c	e	n	-	false
a	c	e	n	g	false
a	c	e	n	i	false
a	c	e	n	t	false
a	c	e	n	t	true
a	c	e	n	u	false
a	c	e	n	ț	false
a	c	e	n	ț	true
a	c	e	p	t	false
a	c	e	p	ț	false
a	c	e	r	-	false
a	c	e	r	a	false
a	c	e	r	a	true
a	c	e	r	b	false
a	c	e	r	b	true
a	c	e	r	d	false
a	c	e	r	e	false
a	c	e	r	e	true
a	c	e	r	i	false
a	c	e	r	t	false
a	c	e	r	u	false
a	c	e	r	v	true
a	c	e	r	â	false
a	c	e	r	ă	false
a	c	e	r	ă	true
a	c	e	s	t	true
a	c	e	t	-	false
a	c	e	t	a	false
a	c	e	t	a	true
a	c	e	t	e	false
a	c	e	t	i	false
a	c	e	t	i	true
a	c	e	t	o	true
a	c	e	t	u	false
a	c	e	t	ă	false
a	c	e	u	-	false
a	c	e	u	-	true
a	c	e	u	l	false
a	c	e	u	l	true
a	c	e	u	m	false
a	c	e	u	t	false
a	c	e	ș	t	true
a	c	e	ț	i	false
a	c	f	e	r	false
a	c	f	o	n	false
a	c	h	a	i	false
a	c	h	e	-	false
a	c	h	e	a	false
a	c	h	e	a	true
a	c	h	e	b	false
a	c	h	e	i	false
a	c	h	e	l	false
a	c	h	e	n	false
a	c	h	e	n	true
a	c	h	e	r	false
a	c	h	e	r	true
a	c	h	e	t	false
a	c	h	e	u	false
a	c	h	e	z	false
a	c	h	e	z	true
a	c	h	e	ș	false
a	c	h	e	ț	false
a	c	h	i	a	false
a	c	h	i	d	false
a	c	h	i	e	false
a	c	h	i	e	true
a	c	h	i	i	false
a	c	h	i	i	true
a	c	h	i	l	true
a	c	h	i	n	false
a	c	h	i	n	true
a	c	h	i	o	false
a	c	h	i	r	false
a	c	h	i	r	true
a	c	h	i	s	false
a	c	h	i	t	false
a	c	h	i	t	true
a	c	h	i	u	false
a	c	h	i	u	true
a	c	h	i	z	true
a	c	h	i	ș	false
a	c	h	i	ț	false
a	c	h	i	ț	true
a	c	h	m	e	false
a	c	h	o	-	false
a	c	h	o	r	false
a	c	h	o	u	false
a	c	h	r	i	false
a	c	i	-	-	false
a	c	i	-	-	true
a	c	i	a	-	false
a	c	i	a	d	false
a	c	i	a	i	false
a	c	i	a	l	false
a	c	i	a	m	false
a	c	i	a	n	false
a	c	i	a	n	true
a	c	i	a	r	false
a	c	i	a	s	false
a	c	i	a	t	false
a	c	i	a	u	false
a	c	i	a	z	false
a	c	i	a	ș	false
a	c	i	a	ț	false
a	c	i	c	-	false
a	c	i	c	e	false
a	c	i	c	i	false
a	c	i	c	l	false
a	c	i	c	l	true
a	c	i	c	o	true
a	c	i	c	u	false
a	c	i	c	u	true
a	c	i	c	ă	false
a	c	i	d	-	false
a	c	i	d	-	true
a	c	i	d	a	true
a	c	i	d	e	false
a	c	i	d	e	true
a	c	i	d	i	false
a	c	i	d	i	true
a	c	i	d	o	true
a	c	i	d	u	false
a	c	i	d	u	true
a	c	i	d	ă	false
a	c	i	d	ă	true
a	c	i	e	-	false
a	c	i	e	a	false
a	c	i	e	i	false
a	c	i	e	m	false
a	c	i	e	n	false
a	c	i	e	r	false
a	c	i	e	s	false
a	c	i	e	z	false
a	c	i	f	e	false
a	c	i	f	i	false
a	c	i	f	o	false
a	c	i	i	-	false
a	c	i	i	-	true
a	c	i	i	d	false
a	c	i	i	i	false
a	c	i	i	l	false
a	c	i	i	n	false
a	c	i	l	-	false
a	c	i	l	-	true
a	c	i	l	a	false
a	c	i	l	a	true
a	c	i	l	e	false
a	c	i	l	e	true
a	c	i	l	i	false
a	c	i	l	i	true
a	c	i	l	o	false
a	c	i	l	o	true
a	c	i	l	u	false
a	c	i	l	u	true
a	c	i	l	â	true
a	c	i	l	ă	false
a	c	i	l	ă	true
a	c	i	m	e	false
a	c	i	n	-	false
a	c	i	n	-	true
a	c	i	n	a	false
a	c	i	n	c	false
a	c	i	n	e	false
a	c	i	n	e	true
a	c	i	n	i	false
a	c	i	n	o	true
a	c	i	n	t	false
a	c	i	n	t	true
a	c	i	n	u	true
a	c	i	n	ă	false
a	c	i	n	ț	false
a	c	i	o	a	false
a	c	i	o	a	true
a	c	i	o	b	false
a	c	i	o	c	false
a	c	i	o	d	false
a	c	i	o	l	false
a	c	i	o	l	true
a	c	i	o	m	false
a	c	i	o	r	false
a	c	i	p	e	true
a	c	i	r	-	true
a	c	i	r	a	true
a	c	i	r	e	true
a	c	i	r	i	true
a	c	i	r	â	true
a	c	i	r	ă	true
a	c	i	s	-	false
a	c	i	s	m	false
a	c	i	s	s	false
a	c	i	s	t	false
a	c	i	s	u	false
a	c	i	t	-	false
a	c	i	t	a	false
a	c	i	t	e	false
a	c	i	t	i	false
a	c	i	t	o	false
a	c	i	t	u	false
a	c	i	t	â	false
a	c	i	t	ă	false
a	c	i	u	a	true
a	c	i	u	e	true
a	c	i	u	l	false
a	c	i	u	m	false
a	c	i	u	r	false
a	c	i	u	t	false
a	c	i	u	â	true
a	c	i	u	ă	true
a	c	i	v	a	false
a	c	i	v	i	false
a	c	i	v	o	false
a	c	i	z	a	false
a	c	i	z	e	false
a	c	i	z	i	false
a	c	i	z	i	true
a	c	i	z	â	false
a	c	i	z	ă	false
a	c	i	ș	a	false
a	c	i	ș	e	false
a	c	i	ș	i	false
a	c	i	ș	t	false
a	c	i	ș	ă	false
a	c	i	ț	i	false
a	c	l	a	-	false
a	c	l	a	i	false
a	c	l	a	j	false
a	c	l	a	l	false
a	c	l	a	m	false
a	c	l	a	m	true
a	c	l	a	r	false
a	c	l	a	s	false
a	c	l	a	t	false
a	c	l	a	u	false
a	c	l	a	v	false
a	c	l	a	z	false
a	c	l	a	z	true
a	c	l	a	ș	false
a	c	l	a	ț	false
a	c	l	e	-	false
a	c	l	e	a	false
a	c	l	e	i	false
a	c	l	e	l	false
a	c	l	e	t	false
a	c	l	e	z	false
a	c	l	i	i	false
a	c	l	i	m	false
a	c	l	i	m	true
a	c	l	i	n	false
a	c	l	i	n	true
a	c	l	i	s	false
a	c	l	i	t	false
a	c	l	i	u	false
a	c	l	i	ș	false
a	c	l	o	a	false
a	c	l	o	r	false
a	c	l	u	-	false
a	c	l	u	l	false
a	c	l	u	o	true
a	c	l	u	r	false
a	c	l	â	c	false
a	c	l	â	n	false
a	c	l	ă	-	false
a	c	l	ă	m	false
a	c	l	ă	r	false
a	c	m	a	c	false
a	c	m	a	h	false
a	c	m	a	r	false
a	c	m	e	e	true
a	c	m	o	l	true
a	c	n	a	s	false
a	c	n	e	e	true
a	c	n	e	g	false
a	c	n	e	i	true
a	c	n	o	m	false
a	c	n	o	z	false
a	c	o	-	-	false
a	c	o	-	-	true
a	c	o	a	d	false
a	c	o	a	f	false
a	c	o	a	i	true
a	c	o	a	n	false
a	c	o	b	i	false
a	c	o	c	e	false
a	c	o	c	i	false
a	c	o	c	o	false
a	c	o	c	u	false
a	c	o	d	-	false
a	c	o	d	a	false
a	c	o	d	e	false
a	c	o	d	i	false
a	c	o	d	o	false
a	c	o	d	r	false
a	c	o	d	u	false
a	c	o	f	-	false
a	c	o	f	a	false
a	c	o	f	i	false
a	c	o	f	o	false
a	c	o	f	u	false
a	c	o	g	e	false
a	c	o	g	n	false
a	c	o	g	r	false
a	c	o	i	-	true
a	c	o	i	d	false
a	c	o	i	u	true
a	c	o	i	z	false
a	c	o	j	-	false
a	c	o	j	i	false
a	c	o	j	u	false
a	c	o	l	-	false
a	c	o	l	a	false
a	c	o	l	a	true
a	c	o	l	e	false
a	c	o	l	e	true
a	c	o	l	i	false
a	c	o	l	i	true
a	c	o	l	o	false
a	c	o	l	o	true
a	c	o	l	u	false
a	c	o	l	â	false
a	c	o	l	ă	false
a	c	o	l	ă	true
a	c	o	m	-	false
a	c	o	m	a	false
a	c	o	m	b	false
a	c	o	m	e	false
a	c	o	m	e	true
a	c	o	m	i	false
a	c	o	m	o	false
a	c	o	m	o	true
a	c	o	m	p	true
a	c	o	m	u	false
a	c	o	m	ă	false
a	c	o	n	-	false
a	c	o	n	-	true
a	c	o	n	a	false
a	c	o	n	d	false
a	c	o	n	d	true
a	c	o	n	e	false
a	c	o	n	f	false
a	c	o	n	i	false
a	c	o	n	i	true
a	c	o	n	j	false
a	c	o	n	s	false
a	c	o	n	t	false
a	c	o	n	t	true
a	c	o	n	u	false
a	c	o	n	u	true
a	c	o	n	â	false
a	c	o	n	ă	false
a	c	o	p	-	false
a	c	o	p	e	false
a	c	o	p	e	true
a	c	o	p	i	false
a	c	o	p	l	false
a	c	o	p	u	false
a	c	o	p	ă	false
a	c	o	p	ă	true
a	c	o	r	a	false
a	c	o	r	d	false
a	c	o	r	d	true
a	c	o	r	i	true
a	c	o	r	o	false
a	c	o	r	p	false
a	c	o	r	p	true
a	c	o	r	z	false
a	c	o	r	z	true
