b10	a01	a12	a23	a34	syl
-	a	d	m	i	true
-	a	d	m	o	true
-	a	d	n	a	true
-	a	d	n	o	true
-	a	d	o	a	true
-	a	d	o	g	true
-	a	d	o	l	true
-	a	d	o	n	true
-	a	d	o	p	true
-	a	d	o	r	true
-	a	d	o	s	true
-	a	d	p	r	true
-	a	d	r	a	true
-	a	d	r	e	true
-	a	d	s	o	true
-	a	d	s	t	true
-	a	d	u	-	true
-	a	d	u	c	true
-	a	d	u	l	true
-	a	d	u	m	true
-	a	d	u	n	true
-	a	d	u	s	true
-	a	d	u	ș	true
-	a	d	v	e	true
-	a	d	v	o	true
-	a	d	â	n	true
-	a	d	ă	p	true
-	a	d	ă	s	true
-	a	d	ă	u	true
-	a	d	ă	ș	true
-	a	e	d	-	true
-	a	e	d	u	true
-	a	e	r	-	true
-	a	e	r	a	true
-	a	e	r	e	true
-	a	e	r	i	true
-	a	e	r	l	true
-	a	e	r	o	true
-	a	e	r	u	true
-	a	e	r	â	true
-	a	e	r	ă	true
-	a	e	z	i	true
-	a	f	a	b	true
-	a	f	a	c	true
-	a	f	a	g	true
-	a	f	a	n	true
-	a	f	a	r	true
-	a	f	a	z	true
-	a	f	e	b	true
-	a	f	e	c	true
-	a	f	e	l	true
-	a	f	e	m	true
-	a	f	e	r	true
-	a	f	e	t	true
-	a	f	g	a	true
-	a	f	i	d	true
-	a	f	i	e	true
-	a	f	i	f	true
-	a	f	i	l	true
-	a	f	i	n	true
-	a	f	i	o	true
-	a	f	i	r	true
-	a	f	i	x	true
-	a	f	i	ș	true
-	a	f	l	a	true
-	a	f	l	e	true
-	a	f	l	i	true
-	a	f	l	o	true
-	a	f	l	u	true
-	a	f	l	â	true
-	a	f	l	ă	true
-	a	f	o	c	true
-	a	f	o	n	true
-	a	f	o	r	true
-	a	f	o	t	true
-	a	f	r	a	true
-	a	f	r	e	true
-	a	f	r	i	true
-	a	f	r	o	true
-	a	f	r	u	true
-	a	f	t	a	true
-	a	f	t	e	true
-	a	f	t	o	true
-	a	f	t	ă	true
-	a	f	u	i	true
-	a	f	u	m	true
-	a	f	u	n	true
-	a	f	u	r	true
-	a	f	u	z	true
-	a	f	â	n	true
-	a	g	a	-	true
-	a	g	a	b	true
-	a	g	a	l	true
-	a	g	a	m	true
-	a	g	a	p	true
-	a	g	a	r	true
-	a	g	a	s	true
-	a	g	a	t	true
-	a	g	a	u	true
-	a	g	a	v	true
-	a	g	a	ț	true
-	a	g	e	a	true
-	a	g	e	n	true
-	a	g	e	r	true
-	a	g	e	s	true
-	a	g	f	a	true
-	a	g	h	e	true
-	a	g	h	i	true
-	a	g	i	-	true
-	a	g	i	a	true
-	a	g	i	e	true
-	a	g	i	i	true
-	a	g	i	l	true
-	a	g	i	o	true
-	a	g	i	t	true
-	a	g	i	ț	true
-	a	g	l	a	true
-	a	g	l	i	true
-	a	g	l	o	true
-	a	g	l	u	true
-	a	g	m	a	true
-	a	g	n	a	true
-	a	g	n	e	true
-	a	g	n	o	true
-	a	g	o	g	true
-	a	g	o	n	true
-	a	g	o	r	true
-	a	g	r	a	true
-	a	g	r	e	true
-	a	g	r	i	true
-	a	g	r	o	true
-	a	g	r	u	true
-	a	g	r	ă	true
-	a	g	u	d	true
-	a	g	u	r	true
-	a	g	u	z	true
-	a	g	ă	-	true
-	a	g	ă	i	true
-	a	g	ă	n	true
-	a	g	ă	r	true
-	a	g	ă	ț	true
-	a	h	-	-	true
-	a	h	a	-	true
-	a	h	a	s	true
-	a	h	e	e	true
-	a	h	e	i	true
-	a	h	e	u	true
-	a	h	o	-	true
-	a	h	o	t	true
-	a	h	t	-	true
-	a	h	t	i	true
-	a	h	t	u	true
-	a	h	u	l	true
-	a	h	u	r	true
-	a	i	-	-	true
-	a	i	a	-	true
-	a	i	a	p	true
-	a	i	a	s	true
-	a	i	b	ă	true
-	a	i	c	e	true
-	a	i	c	i	true
-	a	i	d	o	true
-	a	i	e	p	true
-	a	i	e	s	true
-	a	i	e	v	true
-	a	i	e	ș	true
-	a	i	i	-	true
-	a	i	k	i	true
-	a	i	l	a	true
-	a	i	l	o	true
-	a	i	s	b	true
-	a	i	s	t	true
-	a	i	u	l	true
-	a	i	u	r	true
-	a	i	ș	o	true
-	a	i	ș	t	true
-	a	j	u	n	true
-	a	j	u	r	true
-	a	j	u	s	true
-	a	j	u	t	true
-	a	j	u	ț	true
-	a	k	k	a	true
-	a	k	â	n	true
-	a	l	-	-	true
-	a	l	a	-	true
-	a	l	a	b	true
-	a	l	a	c	true
-	a	l	a	g	true
-	a	l	a	h	true
-	a	l	a	i	true
-	a	l	a	l	true
-	a	l	a	m	true
-	a	l	a	n	true
-	a	l	a	r	true
-	a	l	a	u	true
-	a	l	b	-	true
-	a	l	b	a	true
-	a	l	b	e	true
-	a	l	b	g	true
-	a	l	b	i	true
-	a	l	b	o	true
-	a	l	b	u	true
-	a	l	b	ă	true
-	a	l	c	a	true
-	a	l	c	h	true
-	a	l	c	i	true
-	a	l	c	o	true
-	a	l	c	ă	true
-	a	l	d	a	true
-	a	l	d	e	true
-	a	l	d	i	true
-	a	l	d	o	true
-	a	l	d	ă	true
-	a	l	e	-	true
-	a	l	e	a	true
-	a	l	e	e	true
-	a	l	e	g	true
-	a	l	e	i	true
-	a	l	e	j	true
-	a	l	e	l	true
-	a	l	e	m	true
-	a	l	e	n	true
-	a	l	e	r	true
-	a	l	e	s	true
-	a	l	e	u	true
-	a	l	e	v	true
-	a	l	e	x	true
-	a	l	e	z	true
-	a	l	e	ș	true
-	a	l	f	a	true
-	a	l	g	a	true
-	a	l	g	e	true
-	a	l	g	i	true
-	a	l	g	o	true
-	a	l	g	r	true
-	a	l	g	u	true
-	a	l	g	ă	true
-	a	l	i	a	true
-	a	l	i	b	true
-	a	l	i	c	true
-	a	l	i	d	true
-	a	l	i	e	true
-	a	l	i	f	true
-	a	l	i	g	true
-	a	l	i	i	true
-	a	l	i	m	true
-	a	l	i	n	true
-	a	l	i	o	true
-	a	l	i	p	true
-	a	l	i	s	true
-	a	l	i	t	true
-	a	l	i	v	true
-	a	l	i	z	true
-	a	l	i	ș	true
-	a	l	l	e	true
-	a	l	m	a	true
-	a	l	m	e	true
-	a	l	m	i	true
-	a	l	o	-	true
-	a	l	o	b	true
-	a	l	o	c	true
-	a	l	o	d	true
-	a	l	o	e	true
-	a	l	o	f	true
-	a	l	o	g	true
-	a	l	o	h	true
-	a	l	o	l	true
-	a	l	o	m	true
-	a	l	o	n	true
-	a	l	o	p	true
-	a	l	o	r	true
-	a	l	o	t	true
-	a	l	o	v	true
-	a	l	o	x	true
-	a	l	o	z	true
-	a	l	p	a	true
-	a	l	p	e	true
-	a	l	p	i	true
-	a	l	s	a	true
-	a	l	t	-	true
-	a	l	t	a	true
-	a	l	t	c	true
-	a	l	t	e	true
-	a	l	t	f	true
-	a	l	t	h	true
-	a	l	t	i	true
-	a	l	t	m	true
-	a	l	t	o	true
-	a	l	t	r	true
-	a	l	t	u	true
-	a	l	t	î	true
-	a	l	t	ă	true
-	a	l	u	a	true
-	a	l	u	m	true
-	a	l	u	n	true
-	a	l	u	r	true
-	a	l	u	v	true
-	a	l	u	z	true
-	a	l	v	e	true
-	a	l	v	i	true
-	a	l	ă	-	true
-	a	l	ă	m	true
-	a	l	ă	p	true
-	a	l	ă	t	true
-	a	l	ț	i	true
-	a	m	-	-	true
-	a	m	a	-	true
-	a	m	a	b	true
-	a	m	a	l	true
-	a	m	a	n	true
-	a	m	a	r	true
-	a	m	a	t	true
-	a	m	a	u	true
-	a	m	a	z	true
-	a	m	b	a	true
-	a	m	b	e	true
-	a	m	b	i	true
-	a	m	b	l	true
-	a	m	b	o	true
-	a	m	b	r	true
-	a	m	b	u	true
-	a	m	e	l	true
-	a	m	e	n	true
-	a	m	e	r	true
-	a	m	e	s	true
-	a	m	e	t	true
-	a	m	e	ț	true
-	a	m	f	e	true
-	a	m	f	i	true
-	a	m	f	o	true
-	a	m	h	a	true
-	a	m	i	a	true
-	a	m	i	b	true
-	a	m	i	c	true
-	a	m	i	d	true
-	a	m	i	e	true
-	a	m	i	g	true
-	a	m	i	l	true
-	a	m	i	m	true
-	a	m	i	n	true
-	a	m	i	o	true
-	a	m	i	r	true
-	a	m	i	t	true
-	a	m	l	g	true
-	a	m	n	a	true
-	a	m	n	e	true
-	a	m	n	i	true
-	a	m	n	ă	true
-	a	m	o	a	true
-	a	m	o	c	true
-	a	m	o	f	true
-	a	m	o	n	true
-	a	m	o	r	true
-	a	m	o	v	true
-	a	m	p	a	true
-	a	m	p	e	true
-	a	m	p	i	true
-	a	m	p	l	true
-	a	m	p	o	true
-	a	m	p	r	true
-	a	m	p	u	true
-	a	m	u	-	true
-	a	m	u	l	true
-	a	m	u	r	true
-	a	m	u	z	true
-	a	m	u	ș	true
-	a	m	u	ț	true
-	a	m	v	o	true
-	a	m	â	n	true
-	a	m	ă	g	true
-	a	m	ă	n	true
-	a	m	ă	r	true
-	a	n	-	-	true
-	a	n	a	-	true
-	a	n	a	b	true
-	a	n	a	c	true
-	a	n	a	d	true
-	a	n	a	e	true
-	a	n	a	f	true
-	a	n	a	g	true
-	a	n	a	h	true
-	a	n	a	l	true
-	a	n	a	m	true
-	a	n	a	n	true
-	a	n	a	p	true
-	a	n	a	r	true
-	a	n	a	s	true
-	a	n	a	t	true
-	a	n	a	u	true
-	a	n	c	a	true
-	a	n	c	e	true
-	a	n	c	h	true
-	a	n	c	i	true
-	a	n	c	l	true
-	a	n	c	o	true
-	a	n	c	r	true
-	a	n	d	a	true
-	a	n	d	e	true
-	a	n	d	i	true
-	a	n	d	o	true
-	a	n	d	r	true
-	a	n	d	u	true
-	a	n	e	a	true
-	a	n	e	c	true
-	a	n	e	l	true
-	a	n	e	m	true
-	a	n	e	n	true
-	a	n	e	p	true
-	a	n	e	r	true
-	a	n	e	s	true
-	a	n	e	t	true
-	a	n	e	u	true
-	a	n	e	v	true
-	a	n	e	x	true
-	a	n	f	i	true
-	a	n	f	r	true
-	a	n	g	a	true
-	a	n	g	e	true
-	a	n	g	h	true
-	a	n	g	i	true
-	a	n	g	l	true
-	a	n	g	o	true
-	a	n	g	r	true
-	a	n	g	s	true
-	a	n	g	u	true
-	a	n	h	i	true
-	a	n	i	-	true
-	a	n	i	c	true
-	a	n	i	h	true
-	a	n	i	i	true
-	a	n	i	l	true
-	a	n	i	m	true
-	a	n	i	n	true
-	a	n	i	o	true
-	a	n	i	s	true
-	a	n	i	v	true
-	a	n	i	z	true
-	a	n	i	ș	true
-	a	n	l	u	true
-	a	n	o	d	true
-	a	n	o	f	true
-	a	n	o	m	true
-	a	n	o	n	true
-	a	n	o	r	true
-	a	n	o	s	true
-	a	n	o	t	true
-	a	n	o	v	true
-	a	n	o	x	true
-	a	n	o	z	true
-	a	n	o	ș	true
-	a	n	r	o	true
-	a	n	r	t	true
-	a	n	s	a	true
-	a	n	s	e	true
-	a	n	s	i	true
-	a	n	s	ă	true
-	a	n	t	a	true
-	a	n	t	e	true
-	a	n	t	i	true
-	a	n	t	o	true
-	a	n	t	r	true
-	a	n	t	u	true
-	a	n	t	ă	true
-	a	n	u	a	true
-	a	n	u	c	true
-	a	n	u	i	true
-	a	n	u	l	true
-	a	n	u	m	true
-	a	n	u	n	true
-	a	n	u	r	true
-	a	n	u	s	true
-	a	n	v	a	true
-	a	n	v	e	true
-	a	n	v	i	true
-	a	n	x	i	true
-	a	n	ș	e	true
-	a	n	ș	o	true
-	a	n	ț	ă	true
-	a	o	l	e	true
-	a	o	l	i	true
-	a	o	r	i	true
-	a	o	r	t	true
-	a	p	a	-	true
-	a	p	a	g	true
-	a	p	a	n	true
-	a	p	a	r	true
-	a	p	a	s	true
-	a	p	a	t	true
-	a	p	a	ș	true
-	a	p	e	-	true
-	a	p	e	d	true
-	a	p	e	i	true
-	a	p	e	l	true
-	a	p	e	n	true
-	a	p	e	p	true
-	a	p	e	r	true
-	a	p	e	s	true
-	a	p	e	t	true
-	a	p	e	x	true
-	a	p	e	ș	true
-	a	p	i	c	true
-	a	p	i	d	true
-	a	p	i	f	true
-	a	p	i	o	true
-	a	p	i	r	true
-	a	p	i	t	true
-	a	p	l	a	true
-	a	p	l	e	true
-	a	p	l	i	true
-	a	p	l	o	true
-	a	p	n	e	true
-	a	p	o	a	true
-	a	p	o	c	true
-	a	p	o	d	true
-	a	p	o	e	true
-	a	p	o	f	true
-	a	p	o	g	true
-	a	p	o	i	true
-	a	p	o	l	true
-	a	p	o	m	true
-	a	p	o	n	true
-	a	p	o	p	true
-	a	p	o	r	true
-	a	p	o	s	true
-	a	p	o	t	true
-	a	p	o	z	true
-	a	p	o	ș	true
-	a	p	p	a	true
-	a	p	r	a	true
-	a	p	r	e	true
-	a	p	r	i	true
-	a	p	r	o	true
-	a	p	s	i	true
-	a	p	t	-	true
-	a	p	t	e	true
-	a	p	t	i	true
-	a	p	t	ă	true
-	a	p	u	c	true
-	a	p	u	d	true
-	a	p	u	n	true
-	a	p	u	p	true
-	a	p	u	s	true
-	a	p	u	ș	true
-	a	p	ă	-	true
-	a	p	ă	g	true
-	a	p	ă	n	true
-	a	p	ă	r	true
-	a	p	ă	s	true
-	a	p	ă	t	true
-	a	p	ș	o	true
-	a	p	ț	i	true
-	a	r	-	-	true
-	a	r	a	-	true
-	a	r	a	b	true
-	a	r	a	c	true
-	a	r	a	g	true
-	a	r	a	h	true
-	a	r	a	i	true
-	a	r	a	l	true
-	a	r	a	m	true
-	a	r	a	n	true
-	a	r	a	p	true
-	a	r	a	r	true
-	a	r	a	s	true
-	a	r	a	t	true
-	a	r	a	u	true
-	a	r	a	ș	true
-	a	r	a	ț	true
-	a	r	b	a	true
-	a	r	b	i	true
-	a	r	b	o	true
-	a	r	b	u	true
-	a	r	b	ă	true
-	a	r	c	-	true
-	a	r	c	a	true
-	a	r	c	e	true
-	a	r	c	h	true
-	a	r	c	i	true
-	a	r	c	o	true
-	a	r	c	t	true
-	a	r	c	u	true
-	a	r	c	â	true
-	a	r	c	ă	true
-	a	r	d	-	true
-	a	r	d	e	true
-	a	r	d	o	true
-	a	r	d	ă	true
-	a	r	e	-	true
-	a	r	e	a	true
-	a	r	e	c	true
-	a	r	e	f	true
-	a	r	e	i	true
-	a	r	e	n	true
-	a	r	e	o	true
-	a	r	e	s	true
-	a	r	e	t	true
-	a	r	e	ț	true
-	a	r	g	a	true
-	a	r	g	e	true
-	a	r	g	h	true
-	a	r	g	i	true
-	a	r	g	o	true
-	a	r	g	u	true
-	a	r	g	ă	true
-	a	r	h	a	true
-	a	r	h	e	true
-	a	r	h	i	true
-	a	r	h	o	true
-	a	r	i	-	true
-	a	r	i	a	true
-	a	r	i	c	true
-	a	r	i	d	true
-	a	r	i	e	true
-	a	r	i	i	true
-	a	r	i	l	true
-	a	r	i	m	true
-	a	r	i	n	true
-	a	r	i	o	true
-	a	r	i	p	true
-	a	r	i	s	true
-	a	r	i	t	true
-	a	r	i	v	true
-	a	r	i	z	true
-	a	r	l	e	true
-	a	r	m	-	true
-	a	r	m	a	true
-	a	r	m	e	true
-	a	r	m	i	true
-	a	r	m	o	true
-	a	r	m	u	true
-	a	r	m	â	true
-	a	r	m	ă	true
-	a	r	n	i	true
-	a	r	n	ă	true
-	a	r	o	g	true
-	a	r	o	m	true
-	a	r	o	n	true
-	a	r	p	a	true
-	a	r	p	e	true
-	a	r	s	-	true
-	a	r	s	e	true
-	a	r	s	i	true
-	a	r	s	u	true
-	a	r	s	ă	true
-	a	r	t	a	true
-	a	r	t	e	true
-	a	r	t	i	true
-	a	r	t	n	true
-	a	r	t	o	true
-	a	r	t	r	true
-	a	r	t	ă	true
-	a	r	u	l	true
-	a	r	u	n	true
-	a	r	v	a	true
-	a	r	v	i	true
-	a	r	v	u	true
-	a	r	z	-	true
-	a	r	z	i	true
-	a	r	z	m	true
-	a	r	z	u	true
-	a	r	z	â	true
-	a	r	z	ă	true
-	a	r	â	n	true
-	a	r	ă	-	true
-	a	r	ă	b	true
-	a	r	ă	c	true
-	a	r	ă	d	true
-	a	r	ă	m	true
-	a	r	ă	p	true
-	a	r	ă	r	true
-	a	r	ă	t	true
-	a	r	ă	ț	true
-	a	r	ș	i	true
-	a	r	ț	a	true
-	a	r	ț	ă	true
-	a	s	-	-	true
-	a	s	a	b	true
-	a	s	a	l	true
-	a	s	a	m	true
-	a	s	a	n	true
-	a	s	a	s	true
-	a	s	c	a	true
-	a	s	c	e	true
-	a	s	c	h	true
-	a	s	c	i	true
-	a	s	c	l	true
-	a	s	c	o	true
-	a	s	c	u	true
-	a	s	c	ă	true
-	a	s	e	a	true
-	a	s	e	c	true
-	a	s	e	d	true
-	a	s	e	i	true
-	a	s	e	l	true
-	a	s	e	m	true
-	a	s	e	n	true
-	a	s	e	p	true
-	a	s	e	r	true
-	a	s	e	s	true
-	a	s	e	x	true
-	a	s	e	z	true
-	a	s	f	a	true
-	a	s	f	e	true
-	a	s	f	i	true
-	a	s	f	o	true
-	a	s	i	a	true
-	a	s	i	b	true
-	a	s	i	d	true
-	a	s	i	e	true
-	a	s	i	g	true
-	a	s	i	l	true
-	a	s	i	m	true
-	a	s	i	n	true
-	a	s	i	r	true
-	a	s	i	s	true
-	a	s	i	z	true
-	a	s	i	ș	true
-	a	s	m	u	true
-	a	s	o	c	true
-	a	s	o	l	true
-	a	s	o	m	true
-	a	s	o	n	true
-	a	s	o	r	true
-	a	s	p	a	true
-	a	s	p	e	true
-	a	s	p	i	true
-	a	s	p	r	true
-	a	s	s	a	true
-	a	s	t	a	true
-	a	s	t	e	true
-	a	s	t	f	true
-	a	s	t	i	true
-	a	s	t	m	true
-	a	s	t	r	true
-	a	s	t	u	true
-	a	s	t	â	true
-	a	s	t	ă	true
-	a	s	u	d	true
-	a	s	u	l	true
-	a	s	u	m	true
-	a	s	u	p	true
-	a	s	u	r	true
-	a	s	u	s	true
-	a	s	u	z	true
-	a	t	a	c	true
-	a	t	a	m	true
-	a	t	a	r	true
-	a	t	a	v	true
-	a	t	a	x	true
-	a	t	a	ș	true
-	a	t	e	b	true
-	a	t	e	e	true
-	a	t	e	f	true
-	a	t	e	h	true
-	a	t	e	i	true
-	a	t	e	l	true
-	a	t	e	m	true
-	a	t	e	n	true
-	a	t	e	r	true
-	a	t	e	s	true
-	a	t	e	t	true
-	a	t	e	u	true
-	a	t	e	x	true
-	a	t	e	ș	true
-	a	t	i	c	true
-	a	t	i	n	true
-	a	t	i	p	true
-	a	t	i	s	true
-	a	t	i	t	true
-	a	t	l	a	true
-	a	t	l	e	true
-	a	t	m	i	true
-	a	t	m	o	true
-	a	t	o	l	true
-	a	t	o	m	true
-	a	t	o	n	true
-	a	t	o	t	true
-	a	t	o	x	true
-	a	t	r	a	true
-	a	t	r	e	true
-	a	t	r	i	true
-	a	t	r	o	true
-	a	t	r	u	true
-	a	t	r	ă	true
-	a	t	u	-	true
-	a	t	u	n	true
-	a	t	u	u	true
-	a	t	â	r	true
-	a	t	â	t	true
-	a	t	â	ț	true
-	a	u	-	-	true
-	a	u	c	t	true
-	a	u	c	ț	true
-	a	u	d	-	true
-	a	u	d	e	true
-	a	u	d	i	true
-	a	u	d	ă	true
-	a	u	g	i	true
-	a	u	g	m	true
-	a	u	g	u	true
-	a	u	i	-	true
-	a	u	i	a	true
-	a	u	i	e	true
-	a	u	i	i	true
-	a	u	i	m	true
-	a	u	i	n	true
-	a	u	i	r	true
-	a	u	i	s	true
-	a	u	i	t	true
-	a	u	i	ș	true
-	a	u	i	ț	true
-	a	u	l	-	true
-	a	u	l	a	true
-	a	u	l	e	true
-	a	u	l	i	true
-	a	u	l	u	true
-	a	u	l	ă	true
-	a	u	r	-	true
-	a	u	r	a	true
-	a	u	r	e	true
-	a	u	r	i	true
-	a	u	r	o	true
-	a	u	r	u	true
-	a	u	r	ă	true
-	a	u	s	c	true
-	a	u	s	p	true
-	a	u	s	t	true
-	a	u	t	-	true
-	a	u	t	a	true
-	a	u	t	e	true
-	a	u	t	i	true
-	a	u	t	o	true
-	a	u	t	u	true
-	a	u	v	e	true
-	a	u	x	i	true
-	a	u	x	o	true
-	a	u	z	-	true
-	a	u	z	e	true
-	a	u	z	i	true
-	a	u	z	u	true
-	a	u	ș	e	true
-	a	v	a	-	true
-	a	v	a	e	true
-	a	v	a	l	true
-	a	v	a	n	true
-	a	v	a	r	true
-	a	v	a	t	true
-	a	v	a	ț	true
-	a	v	e	-	true
-	a	v	e	a	true
-	a	v	e	i	true
-	a	v	e	l	true
-	a	v	e	m	true
-	a	v	e	n	true
-	a	v	e	r	true
-	a	v	e	ț	true
-	a	v	i	a	true
-	a	v	i	c	true
-	a	v	i	d	true
-	a	v	i	f	true
-	a	v	i	o	true
-	a	v	i	r	true
-	a	v	i	t	true
-	a	v	i	v	true
-	a	v	i	z	true
-	a	v	o	c	true
-	a	v	o	r	true
-	a	v	r	a	true
-	a	v	r	ă	true
-	a	v	u	-	true
-	a	v	u	a	true
-	a	v	u	e	true
-	a	v	u	i	true
-	a	v	u	l	true
-	a	v	u	r	true
-	a	v	u	s	true
-	a	v	u	t	true
-	a	v	u	â	true
-	a	v	u	ă	true
-	a	v	u	ș	true
-	a	v	u	ț	true
-	a	v	â	n	true
-	a	v	ă	-	true
-	a	v	ă	l	true
-	a	x	-	-	true
-	a	x	a	-	true
-	a	x	a	i	true
-	a	x	a	m	true
-	a	x	a	r	true
-	a	x	a	s	true
-	a	x	a	t	true
-	a	x	a	u	true
-	a	x	a	ș	true
-	a	x	a	ț	true
-	a	x	e	-	true
-	a	x	e	a	true
-	a	x	e	i	true
-	a	x	e	l	true
-	a	x	e	z	true
-	a	x	i	a	true
-	a	x	i	l	true
-	a	x	i	o	true
-	a	x	i	s	true
-	a	x	o	g	true
-	a	x	o	l	true
-	a	x	o	m	true
-	a	x	o	n	true
-	a	x	u	l	true
-	a	x	u	r	true
-	a	x	â	n	true
-	a	x	ă	-	true
-	a	x	ă	m	true
-	a	x	ă	r	true
-	a	y	a	t	true
-	a	z	-	-	true
-	a	z	a	l	true
-	a	z	b	e	true
-	a	z	b	o	true
-	a	z	b	u	true
-	a	z	e	o	true
-	a	z	e	r	true
-	a	z	i	-	true
-	a	z	i	d	true
-	a	z	i	l	true
-	a	z	i	m	true
-	a	z	o	d	true
-	a	z	o	i	true
-	a	z	o	n	true
-	a	z	o	o	true
-	a	z	o	t	true
-	a	z	t	e	true
-	a	z	u	l	true
-	a	z	u	r	true
-	a	z	v	â	true
-	a	ș	-	-	true
-	a	ș	a	-	true
-	a	ș	a	d	true
-	a	ș	a	n	true
-	a	ș	a	r	true
-	a	ș	a	z	true
-	a	ș	a	ș	true
-	a	ș	c	h	true
-	a	ș	e	z	true
-	a	ș	i	-	true
-	a	ș	i	i	true
-	a	ș	i	j	true
-	a	ș	i	l	true
-	a	ș	t	e	true
-	a	ș	t	r	true
-	a	ț	a	-	true
-	a	ț	a	d	true
-	a	ț	e	-	true
-	a	ț	e	d	true
-	a	ț	e	i	true
-	a	ț	e	l	true
-	a	ț	i	c	true
-	a	ț	i	i	true
-	a	ț	i	n	true
-	a	ț	i	p	true
-	a	ț	i	ș	true
-	a	ț	o	a	true
-	a	ț	o	s	true
-	a	ț	o	ș	true
-	a	ț	â	ț	true
-	a	ț	ă	-	true
-	a	ț	ă	d	true
-	b	a	-	-	true
-	b	a	b	a	true
-	b	a	b	b	true
-	b	a	b	e	true
-	b	a	b	i	true
-	b	a	b	o	true
-	b	a	b	u	true
-	b	a	b	ă	true
-	b	a	c	-	true
-	b	a	c	a	true
-	b	a	c	c	true
