b32	b21	b10	a01	a12	syl
-	-	-	ă	ș	true
-	-	-	ș	-	true
-	-	-	ș	a	true
-	-	-	ș	c	true
-	-	-	ș	e	true
-	-	-	ș	f	true
-	-	-	ș	i	true
-	-	-	ș	l	true
-	-	-	ș	m	true
-	-	-	ș	n	true
-	-	-	ș	o	true
-	-	-	ș	p	true
-	-	-	ș	r	true
-	-	-	ș	t	true
-	-	-	ș	u	true
-	-	-	ș	v	true
-	-	-	ș	â	true
-	-	-	ș	ă	true
-	-	-	ș	ș	true
-	-	-	ț	a	true
-	-	-	ț	e	true
-	-	-	ț	i	true
-	-	-	ț	o	true
-	-	-	ț	s	true
-	-	-	ț	u	true
-	-	-	ț	â	true
-	-	-	ț	ă	true
-	-	-	﻿	a	true
-	-	a	a	l	true
-	-	a	b	a	true
-	-	a	b	c	false
-	-	a	b	d	false
-	-	a	b	e	true
-	-	a	b	h	false
-	-	a	b	i	true
-	-	a	b	j	false
-	-	a	b	l	false
-	-	a	b	l	true
-	-	a	b	n	false
-	-	a	b	o	false
-	-	a	b	o	true
-	-	a	b	r	false
-	-	a	b	r	true
-	-	a	b	s	false
-	-	a	b	u	true
-	-	a	b	z	false
-	-	a	b	ă	true
-	-	a	b	ț	false
-	-	a	c	-	false
-	-	a	c	a	true
-	-	a	c	c	false
-	-	a	c	d	false
-	-	a	c	e	true
-	-	a	c	h	true
-	-	a	c	i	true
-	-	a	c	l	true
-	-	a	c	m	false
-	-	a	c	n	false
-	-	a	c	o	true
-	-	a	c	r	true
-	-	a	c	t	false
-	-	a	c	u	true
-	-	a	c	v	false
-	-	a	c	ă	true
-	-	a	c	ț	false
-	-	a	d	a	true
-	-	a	d	d	false
-	-	a	d	e	true
-	-	a	d	h	false
-	-	a	d	i	false
-	-	a	d	i	true
-	-	a	d	j	false
-	-	a	d	m	false
-	-	a	d	n	false
-	-	a	d	o	true
-	-	a	d	p	false
-	-	a	d	r	true
-	-	a	d	s	false
-	-	a	d	u	false
-	-	a	d	u	true
-	-	a	d	v	false
-	-	a	d	â	true
-	-	a	d	ă	true
-	-	a	e	d	true
-	-	a	e	r	true
-	-	a	e	z	true
-	-	a	f	a	true
-	-	a	f	e	true
-	-	a	f	g	false
-	-	a	f	i	true
-	-	a	f	l	true
-	-	a	f	o	true
-	-	a	f	r	true
-	-	a	f	t	false
-	-	a	f	u	true
-	-	a	f	â	true
-	-	a	g	a	true
-	-	a	g	e	true
-	-	a	g	f	false
-	-	a	g	h	true
-	-	a	g	i	false
-	-	a	g	i	true
-	-	a	g	l	true
-	-	a	g	m	false
-	-	a	g	n	false
-	-	a	g	n	true
-	-	a	g	o	true
-	-	a	g	r	true
-	-	a	g	u	true
-	-	a	g	ă	true
-	-	a	h	-	false
-	-	a	h	a	true
-	-	a	h	e	true
-	-	a	h	o	true
-	-	a	h	t	false
-	-	a	h	u	true
-	-	a	i	-	false
-	-	a	i	a	true
-	-	a	i	b	false
-	-	a	i	c	false
-	-	a	i	c	true
-	-	a	i	d	true
-	-	a	i	e	true
-	-	a	i	i	true
-	-	a	i	k	false
-	-	a	i	l	false
-	-	a	i	s	false
-	-	a	i	s	true
-	-	a	i	u	true
-	-	a	i	ș	false
-	-	a	i	ș	true
-	-	a	j	u	true
-	-	a	k	k	false
-	-	a	k	â	true
-	-	a	l	-	false
-	-	a	l	a	true
-	-	a	l	b	false
-	-	a	l	c	false
-	-	a	l	d	false
-	-	a	l	e	true
-	-	a	l	f	false
-	-	a	l	g	false
-	-	a	l	i	true
-	-	a	l	l	false
-	-	a	l	m	false
-	-	a	l	o	true
-	-	a	l	p	false
-	-	a	l	s	false
-	-	a	l	t	false
-	-	a	l	u	true
-	-	a	l	v	false
-	-	a	l	ă	true
-	-	a	l	ț	false
-	-	a	m	-	false
-	-	a	m	a	true
-	-	a	m	b	false
-	-	a	m	e	true
-	-	a	m	f	false
-	-	a	m	h	false
-	-	a	m	i	true
-	-	a	m	l	false
-	-	a	m	n	false
-	-	a	m	n	true
-	-	a	m	o	true
-	-	a	m	p	false
-	-	a	m	u	true
-	-	a	m	v	false
-	-	a	m	â	true
-	-	a	m	ă	true
-	-	a	n	-	false
-	-	a	n	a	false
-	-	a	n	a	true
-	-	a	n	c	false
-	-	a	n	d	false
-	-	a	n	e	false
-	-	a	n	e	true
-	-	a	n	f	false
-	-	a	n	g	false
-	-	a	n	h	false
-	-	a	n	i	false
-	-	a	n	i	true
-	-	a	n	l	false
-	-	a	n	o	false
-	-	a	n	o	true
-	-	a	n	r	false
-	-	a	n	s	false
-	-	a	n	t	false
-	-	a	n	u	false
-	-	a	n	u	true
-	-	a	n	v	false
-	-	a	n	x	false
-	-	a	n	ș	false
-	-	a	n	ț	false
-	-	a	o	l	true
-	-	a	o	r	true
-	-	a	p	a	true
-	-	a	p	e	true
-	-	a	p	i	true
-	-	a	p	l	true
-	-	a	p	n	false
-	-	a	p	n	true
-	-	a	p	o	true
-	-	a	p	p	false
-	-	a	p	r	true
-	-	a	p	s	false
-	-	a	p	t	false
-	-	a	p	u	true
-	-	a	p	ă	true
-	-	a	p	ș	false
-	-	a	p	ț	false
-	-	a	r	-	false
-	-	a	r	a	true
-	-	a	r	b	false
-	-	a	r	c	false
-	-	a	r	d	false
-	-	a	r	e	true
-	-	a	r	g	false
-	-	a	r	h	false
-	-	a	r	i	false
-	-	a	r	i	true
-	-	a	r	l	false
-	-	a	r	m	false
-	-	a	r	n	false
-	-	a	r	o	true
-	-	a	r	p	false
-	-	a	r	s	false
-	-	a	r	t	false
-	-	a	r	u	true
-	-	a	r	v	false
-	-	a	r	z	false
-	-	a	r	â	true
-	-	a	r	ă	true
-	-	a	r	ș	false
-	-	a	r	ț	false
-	-	a	s	-	false
-	-	a	s	a	true
-	-	a	s	c	false
-	-	a	s	c	true
-	-	a	s	e	true
-	-	a	s	f	false
-	-	a	s	i	true
-	-	a	s	m	false
-	-	a	s	o	true
-	-	a	s	p	false
-	-	a	s	p	true
-	-	a	s	s	false
-	-	a	s	t	false
-	-	a	s	t	true
-	-	a	s	u	true
-	-	a	t	a	true
-	-	a	t	e	true
-	-	a	t	i	true
-	-	a	t	l	true
-	-	a	t	m	false
-	-	a	t	o	true
-	-	a	t	r	true
-	-	a	t	u	true
-	-	a	t	â	true
-	-	a	u	-	false
-	-	a	u	c	true
-	-	a	u	d	true
-	-	a	u	g	false
-	-	a	u	i	true
-	-	a	u	l	false
-	-	a	u	l	true
-	-	a	u	r	false
-	-	a	u	r	true
-	-	a	u	s	false
-	-	a	u	s	true
-	-	a	u	t	false
-	-	a	u	t	true
-	-	a	u	v	false
-	-	a	u	x	false
-	-	a	u	x	true
-	-	a	u	z	true
-	-	a	u	ș	true
-	-	a	v	a	true
-	-	a	v	e	true
-	-	a	v	i	true
-	-	a	v	o	true
-	-	a	v	r	true
-	-	a	v	u	true
-	-	a	v	â	true
-	-	a	v	ă	true
-	-	a	x	-	false
-	-	a	x	a	true
-	-	a	x	e	true
-	-	a	x	i	true
-	-	a	x	o	true
-	-	a	x	u	true
-	-	a	x	â	true
-	-	a	x	ă	true
-	-	a	y	a	true
-	-	a	z	-	false
-	-	a	z	a	true
-	-	a	z	b	false
-	-	a	z	e	true
-	-	a	z	i	false
-	-	a	z	i	true
-	-	a	z	o	true
-	-	a	z	t	false
-	-	a	z	u	true
-	-	a	z	v	false
-	-	a	ș	-	false
-	-	a	ș	a	true
-	-	a	ș	c	false
-	-	a	ș	c	true
-	-	a	ș	e	true
-	-	a	ș	i	false
-	-	a	ș	i	true
-	-	a	ș	t	false
-	-	a	ț	a	true
-	-	a	ț	e	true
-	-	a	ț	i	true
-	-	a	ț	o	true
-	-	a	ț	â	true
-	-	a	ț	ă	true
-	-	b	a	-	false
-	-	b	a	b	false
-	-	b	a	c	false
-	-	b	a	d	false
-	-	b	a	f	false
-	-	b	a	g	false
-	-	b	a	h	false
-	-	b	a	i	false
-	-	b	a	j	false
-	-	b	a	l	false
-	-	b	a	m	false
-	-	b	a	n	false
-	-	b	a	o	false
-	-	b	a	p	false
-	-	b	a	r	false
-	-	b	a	s	false
-	-	b	a	t	false
-	-	b	a	u	false
-	-	b	a	v	false
-	-	b	a	x	false
-	-	b	a	z	false
-	-	b	a	ș	false
-	-	b	a	ț	false
-	-	b	e	a	false
-	-	b	e	b	false
-	-	b	e	c	false
-	-	b	e	d	false
-	-	b	e	e	false
-	-	b	e	g	false
-	-	b	e	h	false
-	-	b	e	i	false
-	-	b	e	j	false
-	-	b	e	l	false
-	-	b	e	m	false
-	-	b	e	n	false
-	-	b	e	o	false
-	-	b	e	r	false
-	-	b	e	s	false
-	-	b	e	t	false
-	-	b	e	u	false
-	-	b	e	v	false
-	-	b	e	z	false
-	-	b	e	ș	false
-	-	b	e	ț	false
-	-	b	i	a	false
-	-	b	i	b	false
-	-	b	i	c	false
-	-	b	i	d	false
-	-	b	i	e	false
-	-	b	i	f	false
-	-	b	i	g	false
-	-	b	i	h	false
-	-	b	i	j	false
-	-	b	i	k	false
-	-	b	i	l	false
-	-	b	i	m	false
-	-	b	i	n	false
-	-	b	i	o	false
-	-	b	i	p	false
-	-	b	i	r	false
-	-	b	i	s	false
-	-	b	i	t	false
-	-	b	i	u	false
-	-	b	i	v	false
-	-	b	i	z	false
-	-	b	i	ș	false
-	-	b	i	ț	false
-	-	b	l	a	false
-	-	b	l	e	false
-	-	b	l	i	false
-	-	b	l	o	false
-	-	b	l	u	false
-	-	b	l	â	false
-	-	b	l	ă	false
-	-	b	o	a	false
-	-	b	o	b	false
-	-	b	o	c	false
-	-	b	o	d	false
-	-	b	o	e	false
-	-	b	o	g	false
-	-	b	o	h	false
-	-	b	o	i	false
-	-	b	o	j	false
-	-	b	o	l	false
-	-	b	o	m	false
-	-	b	o	n	false
-	-	b	o	r	false
-	-	b	o	s	false
-	-	b	o	t	false
-	-	b	o	u	false
-	-	b	o	v	false
-	-	b	o	x	false
-	-	b	o	z	false
-	-	b	o	ș	false
-	-	b	o	ț	false
-	-	b	r	a	false
-	-	b	r	e	false
-	-	b	r	i	false
-	-	b	r	o	false
-	-	b	r	r	false
-	-	b	r	u	false
-	-	b	r	â	false
-	-	b	r	ă	false
-	-	b	u	-	false
-	-	b	u	b	false
-	-	b	u	c	false
-	-	b	u	d	false
-	-	b	u	f	false
-	-	b	u	g	false
-	-	b	u	h	false
-	-	b	u	i	false
-	-	b	u	j	false
-	-	b	u	l	false
-	-	b	u	m	false
-	-	b	u	n	false
-	-	b	u	r	false
-	-	b	u	s	false
-	-	b	u	t	false
-	-	b	u	u	false
-	-	b	u	v	false
-	-	b	u	x	false
-	-	b	u	z	false
-	-	b	u	ș	false
-	-	b	u	ț	false
-	-	b	y	r	false
-	-	b	â	c	false
-	-	b	â	h	false
-	-	b	â	i	false
-	-	b	â	j	false
-	-	b	â	l	false
-	-	b	â	n	false
-	-	b	â	r	false
-	-	b	â	t	false
-	-	b	â	z	false
-	-	b	â	ț	false
-	-	b	ă	-	false
-	-	b	ă	b	false
-	-	b	ă	c	false
-	-	b	ă	d	false
-	-	b	ă	g	false
-	-	b	ă	h	false
-	-	b	ă	i	false
-	-	b	ă	j	false
-	-	b	ă	l	false
-	-	b	ă	n	false
-	-	b	ă	r	false
-	-	b	ă	s	false
-	-	b	ă	t	false
-	-	b	ă	u	false
-	-	b	ă	ș	false
-	-	b	ă	ț	false
-	-	c	a	-	false
-	-	c	a	b	false
-	-	c	a	c	false
-	-	c	a	d	false
-	-	c	a	f	false
-	-	c	a	g	false
-	-	c	a	h	false
-	-	c	a	i	false
-	-	c	a	j	false
-	-	c	a	l	false
-	-	c	a	m	false
-	-	c	a	n	false
-	-	c	a	o	false
-	-	c	a	p	false
-	-	c	a	r	false
-	-	c	a	s	false
-	-	c	a	t	false
-	-	c	a	u	false
-	-	c	a	v	false
-	-	c	a	z	false
-	-	c	a	ș	false
-	-	c	a	ț	false
-	-	c	e	-	false
-	-	c	e	a	false
-	-	c	e	b	false
-	-	c	e	c	false
-	-	c	e	d	false
-	-	c	e	e	false
-	-	c	e	f	false
-	-	c	e	g	false
-	-	c	e	h	false
-	-	c	e	i	false
-	-	c	e	l	false
-	-	c	e	m	false
-	-	c	e	n	false
-	-	c	e	p	false
-	-	c	e	r	false
-	-	c	e	s	false
-	-	c	e	t	false
-	-	c	e	u	false
-	-	c	e	v	false
-	-	c	e	y	false
-	-	c	e	z	false
-	-	c	e	ș	false
-	-	c	e	ț	false
-	-	c	h	a	false
-	-	c	h	e	false
-	-	c	h	i	false
-	-	c	h	u	false
-	-	c	i	a	false
-	-	c	i	b	false
-	-	c	i	c	false
-	-	c	i	d	false
-	-	c	i	f	false
-	-	c	i	g	false
-	-	c	i	h	false
-	-	c	i	l	false
-	-	c	i	m	false
-	-	c	i	n	false
-	-	c	i	o	false
-	-	c	i	p	false
-	-	c	i	r	false
-	-	c	i	s	false
-	-	c	i	t	false
-	-	c	i	u	false
-	-	c	i	v	false
-	-	c	i	z	false
-	-	c	i	ș	false
-	-	c	l	a	false
-	-	c	l	e	false
-	-	c	l	i	false
-	-	c	l	o	false
-	-	c	l	u	false
-	-	c	l	ă	false
-	-	c	n	e	false
-	-	c	n	i	false
-	-	c	n	o	false
-	-	c	n	u	false
-	-	c	o	a	false
-	-	c	o	b	false
-	-	c	o	c	false
-	-	c	o	d	false
-	-	c	o	e	false
-	-	c	o	f	false
-	-	c	o	g	false
-	-	c	o	h	false
-	-	c	o	i	false
-	-	c	o	j	false
-	-	c	o	l	false
-	-	c	o	m	false
-	-	c	o	n	false
-	-	c	o	o	false
-	-	c	o	p	false
-	-	c	o	r	false
-	-	c	o	s	false
-	-	c	o	t	false
-	-	c	o	u	false
-	-	c	o	v	false
-	-	c	o	x	false
-	-	c	o	z	false
-	-	c	o	ș	false
-	-	c	o	ț	false
-	-	c	r	a	false
-	-	c	r	e	false
-	-	c	r	i	false
-	-	c	r	o	false
-	-	c	r	u	false
-	-	c	r	â	false
-	-	c	r	ă	false
-	-	c	t	e	false
-	-	c	t	i	false
-	-	c	u	-	false
-	-	c	u	a	false
-	-	c	u	b	false
-	-	c	u	c	false
-	-	c	u	e	false
-	-	c	u	f	false
-	-	c	u	g	false
-	-	c	u	h	false
-	-	c	u	i	false
-	-	c	u	j	false
-	-	c	u	l	false
-	-	c	u	m	false
-	-	c	u	n	false
-	-	c	u	p	false
-	-	c	u	r	false
-	-	c	u	s	false
-	-	c	u	t	false
-	-	c	u	v	false
-	-	c	u	z	false
-	-	c	u	ș	false
-	-	c	u	ț	false
-	-	c	v	a	false
-	-	c	v	e	false
-	-	c	v	i	false
-	-	c	v	o	false
-	-	c	â	c	false
-	-	c	â	i	false
-	-	c	â	l	false
-	-	c	â	m	false
-	-	c	â	n	false
-	-	c	â	r	false
-	-	c	â	t	false
-	-	c	â	ș	false
-	-	c	â	ț	false
-	-	c	ă	-	false
-	-	c	ă	c	false
-	-	c	ă	d	false
-	-	c	ă	f	false
-	-	c	ă	i	false
-	-	c	ă	l	false
-	-	c	ă	m	false
-	-	c	ă	n	false
-	-	c	ă	p	false
-	-	c	ă	r	false
-	-	c	ă	s	false
-	-	c	ă	t	false
-	-	c	ă	u	false
-	-	c	ă	v	false
-	-	c	ă	z	false
-	-	c	ă	ș	false
-	-	c	ă	ț	false
-	-	d	a	-	false
-	-	d	a	b	false
-	-	d	a	c	false
-	-	d	a	d	false
-	-	d	a	f	false
-	-	d	a	g	false
-	-	d	a	i	false
-	-	d	a	j	false
-	-	d	a	k	false
-	-	d	a	l	false
-	-	d	a	m	false
-	-	d	a	n	false
-	-	d	a	p	false
-	-	d	a	r	false
-	-	d	a	s	false
-	-	d	a	t	false
-	-	d	a	u	false
-	-	d	a	ț	false
-	-	d	e	-	false
-	-	d	e	a	false
-	-	d	e	b	false
-	-	d	e	c	false
-	-	d	e	d	false
-	-	d	e	e	false
-	-	d	e	f	false
-	-	d	e	g	false
-	-	d	e	h	false
-	-	d	e	i	false
-	-	d	e	j	false
-	-	d	e	l	false
-	-	d	e	m	false
-	-	d	e	n	false
-	-	d	e	o	false
-	-	d	e	p	false
-	-	d	e	r	false
-	-	d	e	s	false
-	-	d	e	t	false
-	-	d	e	u	false
-	-	d	e	v	false
-	-	d	e	x	false
-	-	d	e	z	false
-	-	d	e	î	false
-	-	d	e	ș	false
-	-	d	e	ț	false
-	-	d	i	a	false
-	-	d	i	b	false
-	-	d	i	c	false
-	-	d	i	d	false
-	-	d	i	e	false
-	-	d	i	f	false
-	-	d	i	g	false
-	-	d	i	h	false
-	-	d	i	i	false
-	-	d	i	j	false
-	-	d	i	l	false
-	-	d	i	m	false
-	-	d	i	n	false
-	-	d	i	o	false
-	-	d	i	p	false
-	-	d	i	r	false
-	-	d	i	s	false
-	-	d	i	t	false
-	-	d	i	u	false
-	-	d	i	v	false
-	-	d	i	x	false
-	-	d	i	z	false
-	-	d	o	-	false
-	-	d	o	a	false
-	-	d	o	b	false
-	-	d	o	c	false
-	-	d	o	d	false
-	-	d	o	f	false
-	-	d	o	g	false
-	-	d	o	h	false
-	-	d	o	i	false
-	-	d	o	j	false
-	-	d	o	l	false
-	-	d	o	m	false
-	-	d	o	n	false
-	-	d	o	p	false
-	-	d	o	r	false
-	-	d	o	s	false
-	-	d	o	t	false
-	-	d	o	u	false
-	-	d	o	v	false
-	-	d	o	x	false
-	-	d	o	z	false
-	-	d	r	a	false
-	-	d	r	e	false
-	-	d	r	i	false
-	-	d	r	o	false
-	-	d	r	u	false
-	-	d	r	â	false
-	-	d	r	ă	false
-	-	d	u	-	false
-	-	d	u	a	false
-	-	d	u	b	false
-	-	d	u	c	false
-	-	d	u	d	false
-	-	d	u	e	false
-	-	d	u	g	false
-	-	d	u	h	false
-	-	d	u	i	false
-	-	d	u	l	false
-	-	d	u	m	false
-	-	d	u	n	false
-	-	d	u	o	false
-	-	d	u	p	false
-	-	d	u	r	false
-	-	d	u	s	false
-	-	d	u	t	false
-	-	d	u	u	false
-	-	d	u	z	false
-	-	d	u	ș	false
-	-	d	v	o	false
-	-	d	â	c	false
-	-	d	â	l	false
-	-	d	â	m	false
-	-	d	â	n	false
-	-	d	â	r	false
-	-	d	ă	-	false
-	-	d	ă	b	false
-	-	d	ă	d	false
-	-	d	ă	g	false
-	-	d	ă	i	false
-	-	d	ă	j	false
-	-	d	ă	l	false
-	-	d	ă	m	false
-	-	d	ă	n	false
-	-	d	ă	p	false
-	-	d	ă	r	false
-	-	d	ă	s	false
-	-	d	ă	t	false
-	-	d	ă	u	false
-	-	d	ă	ț	false
-	-	e	a	-	false
-	-	e	b	a	true
-	-	e	b	e	true
-	-	e	b	l	true
-	-	e	b	o	true
-	-	e	b	r	true
-	-	e	b	u	true
-	-	e	c	a	true
-	-	e	c	h	true
-	-	e	c	l	true
-	-	e	c	o	true
-	-	e	c	p	false
-	-	e	c	r	true
-	-	e	c	t	false
-	-	e	c	u	true
-	-	e	c	v	false
-	-	e	c	v	true
-	-	e	c	z	false
-	-	e	d	a	true
-	-	e	d	e	true
-	-	e	d	i	true
-	-	e	d	o	true
-	-	e	d	u	true
-	-	e	e	-	true
-	-	e	f	e	true
-	-	e	f	i	true
-	-	e	f	l	true
-	-	e	f	o	true
-	-	e	f	r	true
-	-	e	f	u	true
-	-	e	g	a	true
-	-	e	g	e	true
-	-	e	g	h	true
-	-	e	g	i	true
-	-	e	g	l	true
-	-	e	g	o	true
-	-	e	g	r	true
-	-	e	g	u	true
-	-	e	h	-	false
-	-	e	h	e	true
-	-	e	h	o	true
-	-	e	i	-	false
-	-	e	i	c	false
-	-	e	i	d	false
-	-	e	i	d	true
