a01	a12	a23	a34	syl
a	c	e	i	false
a	c	e	i	true
a	c	e	l	false
a	c	e	l	true
a	c	e	m	false
a	c	e	n	false
a	c	e	n	true
a	c	e	p	false
a	c	e	r	false
a	c	e	r	true
a	c	e	s	true
a	c	e	t	false
a	c	e	t	true
a	c	e	u	false
a	c	e	u	true
a	c	e	ș	true
a	c	e	ț	false
a	c	f	e	false
a	c	f	o	false
a	c	h	a	false
a	c	h	e	false
a	c	h	e	true
a	c	h	i	false
a	c	h	i	true
a	c	h	m	false
a	c	h	o	false
a	c	h	r	false
a	c	i	-	false
a	c	i	-	true
a	c	i	a	false
a	c	i	a	true
a	c	i	c	false
a	c	i	c	true
a	c	i	d	false
a	c	i	d	true
a	c	i	e	false
a	c	i	f	false
a	c	i	i	false
a	c	i	i	true
a	c	i	l	false
a	c	i	l	true
a	c	i	m	false
a	c	i	n	false
a	c	i	n	true
a	c	i	o	false
a	c	i	o	true
a	c	i	p	true
a	c	i	r	true
a	c	i	s	false
a	c	i	t	false
a	c	i	u	false
a	c	i	u	true
a	c	i	v	false
a	c	i	z	false
a	c	i	z	true
a	c	i	ș	false
a	c	i	ț	false
a	c	l	a	false
a	c	l	a	true
a	c	l	e	false
a	c	l	i	false
a	c	l	i	true
a	c	l	o	false
a	c	l	u	false
a	c	l	u	true
a	c	l	â	false
a	c	l	ă	false
a	c	m	a	false
a	c	m	e	true
a	c	m	o	true
a	c	n	a	false
a	c	n	e	false
a	c	n	e	true
a	c	n	o	false
a	c	o	-	false
a	c	o	-	true
a	c	o	a	false
a	c	o	a	true
a	c	o	b	false
a	c	o	c	false
a	c	o	d	false
a	c	o	f	false
a	c	o	g	false
a	c	o	i	false
a	c	o	i	true
a	c	o	j	false
a	c	o	l	false
a	c	o	l	true
a	c	o	m	false
a	c	o	m	true
a	c	o	n	false
a	c	o	n	true
a	c	o	p	false
a	c	o	p	true
a	c	o	r	false
a	c	o	r	true
a	c	o	s	false
a	c	o	s	true
a	c	o	t	false
a	c	o	t	true
a	c	o	u	false
a	c	o	v	false
a	c	o	z	false
a	c	o	ș	false
a	c	p	a	false
a	c	q	u	false
a	c	r	a	false
a	c	r	a	true
a	c	r	e	false
a	c	r	e	true
a	c	r	i	false
a	c	r	i	true
a	c	r	o	false
a	c	r	o	true
a	c	r	u	false
a	c	r	u	true
a	c	r	â	false
a	c	r	ă	false
a	c	r	ă	true
a	c	s	-	false
a	c	s	i	false
a	c	s	u	false
a	c	t	-	false
a	c	t	-	true
a	c	t	a	false
a	c	t	a	true
a	c	t	d	false
a	c	t	e	false
a	c	t	e	true
a	c	t	i	false
a	c	t	i	true
a	c	t	o	false
a	c	t	o	true
a	c	t	r	false
a	c	t	r	true
a	c	t	u	false
a	c	t	u	true
a	c	t	â	false
a	c	t	ă	false
a	c	u	a	false
a	c	u	a	true
a	c	u	b	false
a	c	u	c	false
a	c	u	d	false
a	c	u	e	false
a	c	u	i	false
a	c	u	i	true
a	c	u	l	false
a	c	u	l	true
a	c	u	m	false
a	c	u	m	true
a	c	u	n	false
a	c	u	o	false
a	c	u	p	false
a	c	u	p	true
a	c	u	r	false
a	c	u	r	true
a	c	u	s	false
a	c	u	s	true
a	c	u	t	false
a	c	u	t	true
a	c	u	u	false
a	c	u	v	false
a	c	u	z	false
a	c	u	z	true
a	c	u	â	false
a	c	u	ă	false
a	c	u	ș	false
a	c	u	ș	true
a	c	u	ț	false
a	c	u	ț	true
a	c	v	a	false
a	c	v	a	true
a	c	v	i	true
a	c	â	i	false
a	c	â	m	false
a	c	â	n	false
a	c	â	n	true
a	c	â	r	false
a	c	â	z	false
a	c	ă	-	false
a	c	ă	-	true
a	c	ă	d	false
a	c	ă	i	false
a	c	ă	m	false
a	c	ă	m	true
a	c	ă	n	false
a	c	ă	r	false
a	c	ă	r	true
a	c	ă	t	false
a	c	ă	t	true
a	c	ă	u	false
a	c	ă	z	false
a	c	ă	ș	false
a	c	ă	ț	false
a	c	ș	i	false
a	c	ț	a	false
a	c	ț	i	false
a	c	ț	i	true
a	d	-	-	false
a	d	-	-	true
a	d	a	-	false
a	d	a	-	true
a	d	a	b	false
a	d	a	c	false
a	d	a	c	true
a	d	a	g	false
a	d	a	g	true
a	d	a	i	false
a	d	a	i	true
a	d	a	l	false
a	d	a	m	false
a	d	a	m	true
a	d	a	n	false
a	d	a	o	true
a	d	a	p	false
a	d	a	p	true
a	d	a	r	false
a	d	a	r	true
a	d	a	s	false
a	d	a	s	true
a	d	a	t	false
a	d	a	t	true
a	d	a	u	false
a	d	a	u	true
a	d	a	v	false
a	d	a	x	true
a	d	a	z	false
a	d	a	ș	false
a	d	a	ș	true
a	d	a	ț	false
a	d	a	ț	true
a	d	d	e	true
a	d	e	-	false
a	d	e	-	true
a	d	e	a	false
a	d	e	a	true
a	d	e	b	false
a	d	e	c	false
a	d	e	c	true
a	d	e	e	false
a	d	e	f	false
a	d	e	i	false
a	d	e	i	true
a	d	e	l	false
a	d	e	l	true
a	d	e	m	false
a	d	e	m	true
a	d	e	n	false
a	d	e	n	true
a	d	e	o	false
a	d	e	p	false
a	d	e	p	true
a	d	e	r	false
a	d	e	r	true
a	d	e	s	false
a	d	e	s	true
a	d	e	t	false
a	d	e	u	false
a	d	e	u	true
a	d	e	v	false
a	d	e	v	true
a	d	e	z	false
a	d	e	z	true
a	d	e	ș	false
a	d	e	ț	false
a	d	g	e	false
a	d	h	o	true
a	d	i	-	false
a	d	i	a	false
a	d	i	a	true
a	d	i	c	false
a	d	i	c	true
a	d	i	d	false
a	d	i	d	true
a	d	i	e	false
a	d	i	e	true
a	d	i	f	false
a	d	i	g	false
a	d	i	i	false
a	d	i	i	true
a	d	i	j	false
a	d	i	l	false
a	d	i	m	false
a	d	i	m	true
a	d	i	n	false
a	d	i	n	true
a	d	i	o	false
a	d	i	o	true
a	d	i	p	false
a	d	i	p	true
a	d	i	r	false
a	d	i	s	false
a	d	i	t	false
a	d	i	t	true
a	d	i	u	false
a	d	i	v	false
a	d	i	z	false
a	d	i	ș	false
a	d	i	ț	false
a	d	i	ț	true
a	d	j	e	true
a	d	j	i	false
a	d	j	o	true
a	d	j	u	true
a	d	l	e	false
a	d	m	e	false
a	d	m	i	false
a	d	m	i	true
a	d	m	o	false
a	d	m	o	true
a	d	n	a	false
a	d	n	a	true
a	d	n	i	false
a	d	n	o	true
a	d	o	-	false
a	d	o	-	true
a	d	o	a	false
a	d	o	a	true
a	d	o	c	false
a	d	o	d	false
a	d	o	f	false
a	d	o	g	false
a	d	o	g	true
a	d	o	h	true
a	d	o	i	false
a	d	o	l	false
a	d	o	l	true
a	d	o	m	false
a	d	o	n	false
a	d	o	n	true
a	d	o	p	true
a	d	o	r	false
a	d	o	r	true
a	d	o	s	false
a	d	o	s	true
a	d	o	t	false
a	d	o	u	false
a	d	o	u	true
a	d	o	x	false
a	d	o	z	false
a	d	p	i	false
a	d	p	r	true
a	d	r	a	false
a	d	r	a	true
a	d	r	e	false
a	d	r	e	true
a	d	r	i	false
a	d	r	o	false
a	d	r	o	true
a	d	r	u	false
a	d	r	â	false
a	d	r	ă	false
a	d	s	o	true
a	d	s	t	true
a	d	t	-	false
a	d	t	u	false
a	d	u	-	false
a	d	u	-	true
a	d	u	a	false
a	d	u	c	false
a	d	u	c	true
a	d	u	e	false
a	d	u	l	false
a	d	u	l	true
a	d	u	m	true
a	d	u	n	true
a	d	u	r	false
a	d	u	s	false
a	d	u	s	true
a	d	u	u	false
a	d	u	â	false
a	d	u	ă	false
a	d	u	ș	false
a	d	u	ș	true
a	d	v	e	false
a	d	v	e	true
a	d	v	o	true
a	d	â	m	false
a	d	â	n	false
a	d	â	n	true
a	d	â	r	false
a	d	ă	-	false
a	d	ă	-	true
a	d	ă	m	false
a	d	ă	m	true
a	d	ă	p	true
a	d	ă	r	false
a	d	ă	s	true
a	d	ă	u	false
a	d	ă	u	true
a	d	ă	ș	true
a	e	a	-	false
a	e	d	-	true
a	e	d	i	false
a	e	d	r	false
a	e	d	u	false
a	e	d	u	true
a	e	f	i	false
a	e	i	-	false
a	e	l	a	false
a	e	l	e	false
a	e	l	i	false
a	e	l	u	false
a	e	p	o	false
a	e	r	-	true
a	e	r	a	false
a	e	r	a	true
a	e	r	e	false
a	e	r	e	true
a	e	r	g	false
a	e	r	i	false
a	e	r	i	true
a	e	r	l	true
a	e	r	o	false
a	e	r	o	true
a	e	r	u	true
a	e	r	â	false
a	e	r	â	true
a	e	r	ă	false
a	e	r	ă	true
a	e	s	c	false
a	e	s	t	false
a	e	t	-	false
a	e	t	a	false
a	e	t	i	false
a	e	t	n	false
a	e	t	o	false
a	e	t	u	false
a	e	u	-	false
a	e	u	l	false
a	e	u	r	false
a	e	v	a	false
a	e	v	o	false
a	e	x	c	false
a	e	x	p	false
a	e	x	t	false
a	e	z	i	true
a	e	ș	t	false
a	f	-	-	false
a	f	a	-	false
a	f	a	b	true
a	f	a	c	false
a	f	a	c	true
a	f	a	e	false
a	f	a	g	false
a	f	a	g	true
a	f	a	i	false
a	f	a	j	false
a	f	a	l	false
a	f	a	m	false
a	f	a	n	false
a	f	a	n	true
a	f	a	p	true
a	f	a	r	false
a	f	a	r	true
a	f	a	s	false
a	f	a	t	false
a	f	a	u	false
a	f	a	z	false
a	f	a	z	true
a	f	a	ș	false
a	f	a	ț	false
a	f	c	a	false
a	f	c	e	false
a	f	c	ă	false
a	f	e	-	false
a	f	e	a	false
a	f	e	b	false
a	f	e	b	true
a	f	e	c	false
a	f	e	c	true
a	f	e	g	false
a	f	e	i	false
a	f	e	l	false
a	f	e	l	true
a	f	e	m	false
a	f	e	m	true
a	f	e	n	false
a	f	e	o	false
a	f	e	r	false
a	f	e	r	true
a	f	e	s	false
a	f	e	t	false
a	f	e	t	true
a	f	e	u	false
a	f	e	z	false
a	f	e	ț	false
a	f	f	i	false
a	f	g	a	true
a	f	g	i	false
a	f	i	-	false
a	f	i	a	false
a	f	i	b	false
a	f	i	c	false
a	f	i	d	false
a	f	i	d	true
a	f	i	e	false
a	f	i	e	true
a	f	i	f	true
a	f	i	i	false
a	f	i	l	false
a	f	i	l	true
a	f	i	m	false
a	f	i	n	false
a	f	i	n	true
a	f	i	o	false
a	f	i	o	true
a	f	i	r	false
a	f	i	r	true
a	f	i	s	false
a	f	i	t	false
a	f	i	u	false
a	f	i	x	true
a	f	i	z	false
a	f	i	z	true
a	f	i	ș	false
a	f	i	ș	true
a	f	i	ț	false
a	f	l	a	false
a	f	l	a	true
a	f	l	e	false
a	f	l	e	true
a	f	l	i	false
a	f	l	i	true
a	f	l	o	true
a	f	l	u	false
a	f	l	u	true
a	f	l	â	false
a	f	l	â	true
a	f	l	ă	false
a	f	l	ă	true
a	f	n	i	false
a	f	o	a	false
a	f	o	b	false
a	f	o	c	false
a	f	o	c	true
a	f	o	d	false
a	f	o	f	false
a	f	o	g	false
a	f	o	i	false
a	f	o	l	false
a	f	o	m	false
a	f	o	n	false
a	f	o	n	true
a	f	o	p	false
a	f	o	r	false
a	f	o	r	true
a	f	o	s	false
a	f	o	t	true
a	f	r	a	false
a	f	r	a	true
a	f	r	e	false
a	f	r	e	true
a	f	r	i	false
a	f	r	i	true
a	f	r	o	false
a	f	r	o	true
a	f	r	u	false
a	f	r	u	true
a	f	t	-	false
a	f	t	a	false
a	f	t	a	true
a	f	t	e	false
a	f	t	e	true
a	f	t	i	false
a	f	t	o	false
a	f	t	o	true
a	f	t	u	false
a	f	t	ă	false
a	f	t	ă	true
a	f	u	c	false
a	f	u	i	true
a	f	u	l	false
a	f	u	m	false
a	f	u	m	true
a	f	u	n	false
a	f	u	n	true
a	f	u	r	false
a	f	u	r	true
a	f	u	s	false
a	f	u	z	false
a	f	u	z	true
a	f	â	n	false
a	f	â	n	true
a	f	ă	-	false
a	f	ă	c	false
a	f	ă	d	false
a	f	ă	m	false
a	f	ă	r	false
a	g	-	-	false
a	g	a	-	false
a	g	a	-	true
a	g	a	b	false
a	g	a	b	true
a	g	a	c	false
a	g	a	d	false
a	g	a	g	false
a	g	a	i	false
a	g	a	j	false
a	g	a	l	false
a	g	a	l	true
a	g	a	m	false
a	g	a	m	true
a	g	a	n	false
a	g	a	p	true
a	g	a	r	false
a	g	a	r	true
a	g	a	s	false
a	g	a	s	true
a	g	a	t	false
a	g	a	t	true
a	g	a	u	false
a	g	a	u	true
a	g	a	v	false
a	g	a	v	true
a	g	a	z	false
a	g	a	ș	false
a	g	a	ț	false
a	g	a	ț	true
a	g	d	a	false
a	g	d	e	false
a	g	d	i	false
a	g	e	-	false
a	g	e	a	false
a	g	e	a	true
a	g	e	c	false
a	g	e	d	false
a	g	e	i	false
a	g	e	l	false
a	g	e	m	false
a	g	e	n	false
a	g	e	n	true
a	g	e	o	false
a	g	e	r	false
a	g	e	r	true
a	g	e	s	false
a	g	e	s	true
a	g	e	t	false
a	g	e	u	false
a	g	e	z	false
a	g	e	ș	false
a	g	e	ț	false
a	g	f	a	true
a	g	f	l	false
a	g	h	e	false
a	g	h	e	true
a	g	h	i	false
a	g	h	i	true
a	g	i	-	false
a	g	i	-	true
a	g	i	a	false
a	g	i	a	true
a	g	i	c	false
a	g	i	e	false
a	g	i	e	true
a	g	i	i	false
a	g	i	i	true
a	g	i	l	false
a	g	i	l	true
a	g	i	m	false
a	g	i	n	false
a	g	i	n	true
a	g	i	o	false
a	g	i	o	true
a	g	i	r	false
a	g	i	s	false
a	g	i	t	false
a	g	i	t	true
a	g	i	u	false
a	g	i	ș	false
a	g	i	ț	false
a	g	i	ț	true
a	g	l	a	false
a	g	l	a	true
a	g	l	e	false
a	g	l	i	false
a	g	l	i	true
a	g	l	o	false
a	g	l	o	true
a	g	l	u	true
a	g	l	ă	false
a	g	m	a	false
a	g	m	a	true
a	g	m	e	false
a	g	m	i	false
a	g	m	o	false
a	g	m	u	false
a	g	m	â	false
a	g	m	ă	false
a	g	n	a	false
a	g	n	a	true
a	g	n	e	false
a	g	n	e	true
a	g	n	i	false
a	g	n	o	false
a	g	n	o	true
a	g	n	â	false
a	g	n	ă	false
a	g	o	-	false
a	g	o	a	false
a	g	o	a	true
a	g	o	c	false
a	g	o	d	false
a	g	o	f	false
a	g	o	g	false
a	g	o	g	true
a	g	o	l	false
a	g	o	m	false
a	g	o	n	false
a	g	o	n	true
a	g	o	p	false
a	g	o	r	false
a	g	o	r	true
a	g	o	s	false
a	g	o	t	false
a	g	o	u	false
a	g	o	ț	false
a	g	r	a	false
a	g	r	a	true
a	g	r	e	false
a	g	r	e	true
a	g	r	i	false
a	g	r	i	true
a	g	r	o	false
a	g	r	o	true
a	g	r	u	false
a	g	r	u	true
a	g	r	ă	false
a	g	r	ă	true
a	g	s	t	false
a	g	u	-	false
a	g	u	a	false
a	g	u	b	false
a	g	u	d	true
a	g	u	l	false
a	g	u	l	true
a	g	u	m	false
a	g	u	n	false
a	g	u	r	false
a	g	u	r	true
a	g	u	s	false
a	g	u	z	true
a	g	u	ș	false
a	g	â	n	false
a	g	â	z	false
a	g	â	ș	false
a	g	â	ț	false
a	g	ă	-	false
a	g	ă	-	true
a	g	ă	i	false
a	g	ă	i	true
a	g	ă	m	false
a	g	ă	n	false
a	g	ă	n	true
a	g	ă	r	false
a	g	ă	r	true
a	g	ă	t	false
a	g	ă	ț	true
a	h	-	-	false
a	h	-	-	true
a	h	a	-	false
a	h	a	-	true
a	h	a	d	false
a	h	a	g	false
a	h	a	i	false
a	h	a	l	false
a	h	a	m	false
a	h	a	n	false
a	h	a	r	false
a	h	a	s	true
a	h	a	t	false
a	h	d	i	false
a	h	e	-	false
a	h	e	a	false
a	h	e	e	false
a	h	e	e	true
a	h	e	i	false
a	h	e	i	true
a	h	e	l	false
a	h	e	o	false
a	h	e	r	false
a	h	e	u	true
a	h	i	-	false
a	h	i	a	false
a	h	i	c	false
a	h	i	d	false
a	h	i	e	false
a	h	i	f	false
a	h	i	g	false
a	h	i	i	false
a	h	i	l	false
a	h	i	m	false
a	h	i	n	false
a	h	i	o	false
a	h	i	p	false
a	h	i	r	false
a	h	i	s	false
a	h	i	t	false
a	h	i	u	false
a	h	i	ș	false
a	h	l	a	false
a	h	l	e	false
a	h	l	p	false
a	h	l	ă	false
a	h	m	a	false
a	h	m	e	false
a	h	m	i	false
a	h	m	u	false
a	h	m	ă	false
a	h	n	a	false
a	h	n	e	false
a	h	n	i	false
a	h	n	o	false
a	h	n	ă	false
a	h	o	-	true
a	h	o	a	false
a	h	o	g	false
a	h	o	m	false
a	h	o	n	false
a	h	o	r	false
a	h	o	t	true
a	h	o	v	false
a	h	r	e	false
a	h	r	i	false
a	h	t	-	false
a	h	t	-	true
a	h	t	a	false
a	h	t	i	false
a	h	t	i	true
a	h	t	m	false
a	h	t	u	false
a	h	t	u	true
a	h	t	ă	false
a	h	u	l	false
a	h	u	l	true
a	h	u	r	false
a	h	u	r	true
a	h	u	z	false
a	h	z	a	false
a	h	â	n	false
a	h	ă	-	false
a	h	ă	r	false
a	h	ț	a	false
a	h	ț	i	false
a	i	-	-	false
a	i	-	-	true
a	i	a	-	false
a	i	a	-	true
a	i	a	c	false
a	i	a	d	false
a	i	a	f	false
a	i	a	i	false
a	i	a	j	false
a	i	a	l	false
a	i	a	m	false
a	i	a	n	false
a	i	a	p	true
a	i	a	r	false
a	i	a	s	false
a	i	a	s	true
a	i	a	t	false
a	i	a	u	false
a	i	a	z	false
a	i	a	ș	false
a	i	a	ț	false
a	i	b	a	false
a	i	b	e	false
a	i	b	i	false
a	i	b	o	false
a	i	b	ă	false
a	i	b	ă	true
a	i	c	-	false
a	i	c	a	false
a	i	c	c	false
a	i	c	e	false
a	i	c	e	true
a	i	c	h	false
a	i	c	i	false
a	i	c	i	true
a	i	c	o	false
a	i	c	u	false
a	i	c	â	false
a	i	c	ă	false
a	i	d	-	false
a	i	d	a	false
a	i	d	e	false
a	i	d	j	false
a	i	d	o	false
a	i	d	o	true
a	i	d	u	false
a	i	d	â	false
a	i	d	ă	false
a	i	e	-	false
a	i	e	-	true
a	i	e	c	false
a	i	e	f	false
a	i	e	g	false
a	i	e	i	false
a	i	e	l	false
a	i	e	l	true
a	i	e	m	false
a	i	e	n	false
a	i	e	p	false
a	i	e	p	true
a	i	e	r	false
a	i	e	s	false
a	i	e	s	true
a	i	e	t	false
a	i	e	u	false
a	i	e	u	true
a	i	e	v	true
a	i	e	z	false
a	i	e	ș	true
a	i	e	ț	false
a	i	f	-	false
a	i	f	a	false
a	i	f	e	false
a	i	f	i	false
a	i	f	l	false
a	i	f	u	false
a	i	f	ă	false
a	i	g	a	false
a	i	g	i	false
a	i	g	o	false
a	i	g	r	false
a	i	h	a	false
a	i	h	u	false
a	i	i	-	false
a	i	i	-	true
a	i	j	a	false
a	i	j	e	false
a	i	k	i	true
a	i	l	-	false
a	i	l	a	false
a	i	l	a	true
a	i	l	e	false
a	i	l	i	false
a	i	l	l	false
a	i	l	o	false
a	i	l	o	true
a	i	l	u	false
a	i	l	â	false
a	i	l	ă	false
a	i	m	-	false
a	i	m	a	false
a	i	m	e	false
a	i	m	f	false
a	i	m	i	false
a	i	m	o	false
a	i	m	p	false
a	i	m	u	false
a	i	m	ă	false
a	i	n	-	false
a	i	n	a	false
a	i	n	d	false
a	i	n	e	false
a	i	n	f	false
a	i	n	g	false
a	i	n	i	false
a	i	n	l	false
a	i	n	o	false
a	i	n	t	false
a	i	n	u	false
a	i	n	â	false
a	i	n	ă	false
a	i	o	a	false
a	i	o	f	false
a	i	o	l	false
a	i	o	m	false
a	i	o	n	false
a	i	o	r	false
a	i	o	s	false
a	i	o	t	false
a	i	o	u	false
a	i	o	ș	false
a	i	o	ț	false
a	i	p	-	false
a	i	p	a	false
a	i	p	e	false
a	i	p	i	false
a	i	p	o	false
a	i	p	u	false
a	i	p	ă	false
a	i	r	-	false
a	i	r	a	false
a	i	r	e	false
a	i	r	i	false
a	i	r	o	false
a	i	r	u	false
a	i	r	ă	false
a	i	s	-	false
a	i	s	a	false
a	i	s	b	true
a	i	s	e	false
a	i	s	m	false
a	i	s	p	false
a	i	s	t	false
a	i	s	t	true
a	i	s	u	false
a	i	s	ă	false
a	i	t	-	false
a	i	t	a	false
a	i	t	e	false
a	i	t	i	false
a	i	t	m	false
a	i	t	u	false
a	i	t	ă	false
a	i	u	-	false
a	i	u	b	false
a	i	u	l	false
a	i	u	l	true
a	i	u	r	false
a	i	u	r	true
a	i	v	-	false
a	i	v	a	false
a	i	v	e	false
a	i	v	i	false
a	i	v	ă	false
a	i	z	-	false
a	i	z	a	false
a	i	z	e	false
a	i	z	i	false
a	i	z	u	false
a	i	z	â	false
a	i	z	ă	false
a	i	z	ă	true
a	i	î	n	false
a	i	ș	a	false
a	i	ș	e	false
a	i	ș	i	false
a	i	ș	o	true
a	i	ș	t	false
a	i	ș	t	true
a	i	ș	v	false
a	i	ș	ă	false
a	i	ț	-	false
a	i	ț	a	false
a	i	ț	e	false
a	i	ț	i	false
a	i	ț	u	false
a	i	ț	ă	false
a	j	-	-	false
a	j	-	-	true
a	j	a	-	false
a	j	a	b	false
a	j	a	h	false
a	j	a	i	false
a	j	a	m	false
a	j	a	n	false
a	j	a	r	false
a	j	a	s	false
a	j	a	t	false
a	j	a	u	false
a	j	a	ș	false
a	j	a	ț	false
a	j	b	a	false
a	j	b	e	false
a	j	b	ă	false
a	j	d	-	false
a	j	d	i	false
a	j	d	u	false
a	j	e	-	false
a	j	e	-	true
a	j	e	a	false
a	j	e	f	false
a	j	e	i	false
a	j	e	l	false
a	j	e	l	true
a	j	e	r	false
a	j	e	u	false
a	j	e	z	false
a	j	i	-	false
a	j	i	e	false
a	j	i	i	false
a	j	i	l	false
a	j	i	n	false
a	j	i	s	false
a	j	i	ș	false
a	j	m	a	false
a	j	m	e	false
a	j	m	ă	false
a	j	n	i	false
a	j	o	a	false
a	j	o	c	false
a	j	o	l	false
a	j	o	n	false
a	j	o	r	false
a	j	o	s	false
a	j	o	ș	false
a	j	u	-	false
a	j	u	d	false
a	j	u	l	false
a	j	u	l	true
a	j	u	n	true
a	j	u	r	false
a	j	u	r	true
a	j	u	s	false
a	j	u	s	true
a	j	u	t	false
a	j	u	t	true
a	j	u	u	false
a	j	u	ț	true
a	j	â	n	false
a	j	ă	-	false
a	j	ă	m	false
a	j	ă	r	false
a	k	-	-	false
a	k	e	m	false
a	k	e	r	false
a	k	e	s	false
a	k	i	-	false
a	k	i	a	false
a	k	i	e	false
a	k	i	l	false
a	k	i	s	false
a	k	i	u	false
a	k	i	w	false
a	k	k	a	true
a	k	o	t	false
a	k	u	l	false
a	k	â	n	true
a	l	-	-	false
a	l	-	-	true
a	l	a	-	false
a	l	a	-	true
a	l	a	a	false
a	l	a	b	false
a	l	a	b	true
a	l	a	c	false
a	l	a	c	true
a	l	a	d	false
a	l	a	f	false
