b21	b10	a01	a12	a23	syl
-	-	a	l	d	true
-	-	a	l	e	true
-	-	a	l	f	true
-	-	a	l	g	true
-	-	a	l	i	true
-	-	a	l	l	true
-	-	a	l	m	true
-	-	a	l	o	true
-	-	a	l	p	true
-	-	a	l	s	true
-	-	a	l	t	true
-	-	a	l	u	true
-	-	a	l	v	true
-	-	a	l	ă	true
-	-	a	l	ț	true
-	-	a	m	-	true
-	-	a	m	a	true
-	-	a	m	b	true
-	-	a	m	e	true
-	-	a	m	f	true
-	-	a	m	h	true
-	-	a	m	i	true
-	-	a	m	l	true
-	-	a	m	n	true
-	-	a	m	o	true
-	-	a	m	p	true
-	-	a	m	u	true
-	-	a	m	v	true
-	-	a	m	â	true
-	-	a	m	ă	true
-	-	a	n	-	true
-	-	a	n	a	true
-	-	a	n	c	true
-	-	a	n	d	true
-	-	a	n	e	true
-	-	a	n	f	true
-	-	a	n	g	true
-	-	a	n	h	true
-	-	a	n	i	true
-	-	a	n	l	true
-	-	a	n	o	true
-	-	a	n	r	true
-	-	a	n	s	true
-	-	a	n	t	true
-	-	a	n	u	true
-	-	a	n	v	true
-	-	a	n	x	true
-	-	a	n	ș	true
-	-	a	n	ț	true
-	-	a	o	l	true
-	-	a	o	r	true
-	-	a	p	a	true
-	-	a	p	e	true
-	-	a	p	i	true
-	-	a	p	l	true
-	-	a	p	n	true
-	-	a	p	o	true
-	-	a	p	p	true
-	-	a	p	r	true
-	-	a	p	s	true
-	-	a	p	t	true
-	-	a	p	u	true
-	-	a	p	ă	true
-	-	a	p	ș	true
-	-	a	p	ț	true
-	-	a	r	-	true
-	-	a	r	a	true
-	-	a	r	b	true
-	-	a	r	c	true
-	-	a	r	d	true
-	-	a	r	e	true
-	-	a	r	g	true
-	-	a	r	h	true
-	-	a	r	i	true
-	-	a	r	l	true
-	-	a	r	m	true
-	-	a	r	n	true
-	-	a	r	o	true
-	-	a	r	p	true
-	-	a	r	s	true
-	-	a	r	t	true
-	-	a	r	u	true
-	-	a	r	v	true
-	-	a	r	z	true
-	-	a	r	â	true
-	-	a	r	ă	true
-	-	a	r	ș	true
-	-	a	r	ț	true
-	-	a	s	-	true
-	-	a	s	a	true
-	-	a	s	c	true
-	-	a	s	e	true
-	-	a	s	f	true
-	-	a	s	i	true
-	-	a	s	m	true
-	-	a	s	o	true
-	-	a	s	p	true
-	-	a	s	s	true
-	-	a	s	t	true
-	-	a	s	u	true
-	-	a	t	a	true
-	-	a	t	e	true
-	-	a	t	i	true
-	-	a	t	l	true
-	-	a	t	m	true
-	-	a	t	o	true
-	-	a	t	r	true
-	-	a	t	u	true
-	-	a	t	â	true
-	-	a	u	-	true
-	-	a	u	c	true
-	-	a	u	d	true
-	-	a	u	g	true
-	-	a	u	i	true
-	-	a	u	l	true
-	-	a	u	r	true
-	-	a	u	s	true
-	-	a	u	t	true
-	-	a	u	v	true
-	-	a	u	x	true
-	-	a	u	z	true
-	-	a	u	ș	true
-	-	a	v	a	true
-	-	a	v	e	true
-	-	a	v	i	true
-	-	a	v	o	true
-	-	a	v	r	true
-	-	a	v	u	true
-	-	a	v	â	true
-	-	a	v	ă	true
-	-	a	x	-	true
-	-	a	x	a	true
-	-	a	x	e	true
-	-	a	x	i	true
-	-	a	x	o	true
-	-	a	x	u	true
-	-	a	x	â	true
-	-	a	x	ă	true
-	-	a	y	a	true
-	-	a	z	-	true
-	-	a	z	a	true
-	-	a	z	b	true
-	-	a	z	e	true
-	-	a	z	i	true
-	-	a	z	o	true
-	-	a	z	t	true
-	-	a	z	u	true
-	-	a	z	v	true
-	-	a	ș	-	true
-	-	a	ș	a	true
-	-	a	ș	c	true
-	-	a	ș	e	true
-	-	a	ș	i	true
-	-	a	ș	t	true
-	-	a	ț	a	true
-	-	a	ț	e	true
-	-	a	ț	i	true
-	-	a	ț	o	true
-	-	a	ț	â	true
-	-	a	ț	ă	true
-	-	b	a	-	true
-	-	b	a	b	true
-	-	b	a	c	true
-	-	b	a	d	true
-	-	b	a	f	true
-	-	b	a	g	true
-	-	b	a	h	true
-	-	b	a	i	true
-	-	b	a	j	true
-	-	b	a	l	true
-	-	b	a	m	true
-	-	b	a	n	true
-	-	b	a	o	true
-	-	b	a	p	true
-	-	b	a	r	true
-	-	b	a	s	true
-	-	b	a	t	true
-	-	b	a	u	true
-	-	b	a	v	true
-	-	b	a	x	true
-	-	b	a	z	true
-	-	b	a	ș	true
-	-	b	a	ț	true
-	-	b	e	a	true
-	-	b	e	b	true
-	-	b	e	c	true
-	-	b	e	d	true
-	-	b	e	e	true
-	-	b	e	g	true
-	-	b	e	h	true
-	-	b	e	i	true
-	-	b	e	j	true
-	-	b	e	l	true
-	-	b	e	m	true
-	-	b	e	n	true
-	-	b	e	o	true
-	-	b	e	r	true
-	-	b	e	s	true
-	-	b	e	t	true
-	-	b	e	u	true
-	-	b	e	v	true
-	-	b	e	z	true
-	-	b	e	ș	true
-	-	b	e	ț	true
-	-	b	i	a	true
-	-	b	i	b	true
-	-	b	i	c	true
-	-	b	i	d	true
-	-	b	i	e	true
-	-	b	i	f	true
-	-	b	i	g	true
-	-	b	i	h	true
-	-	b	i	j	true
-	-	b	i	k	true
-	-	b	i	l	true
-	-	b	i	m	true
-	-	b	i	n	true
-	-	b	i	o	true
-	-	b	i	p	true
-	-	b	i	r	true
-	-	b	i	s	true
-	-	b	i	t	true
-	-	b	i	u	true
-	-	b	i	v	true
-	-	b	i	z	true
-	-	b	i	ș	true
-	-	b	i	ț	true
-	-	b	l	a	true
-	-	b	l	e	true
-	-	b	l	i	true
-	-	b	l	o	true
-	-	b	l	u	true
-	-	b	l	â	true
-	-	b	l	ă	true
-	-	b	o	a	true
-	-	b	o	b	true
-	-	b	o	c	true
-	-	b	o	d	true
-	-	b	o	e	true
-	-	b	o	g	true
-	-	b	o	h	true
-	-	b	o	i	true
-	-	b	o	j	true
-	-	b	o	l	true
-	-	b	o	m	true
-	-	b	o	n	true
-	-	b	o	r	true
-	-	b	o	s	true
-	-	b	o	t	true
-	-	b	o	u	true
-	-	b	o	v	true
-	-	b	o	x	true
-	-	b	o	z	true
-	-	b	o	ș	true
-	-	b	o	ț	true
-	-	b	r	a	true
-	-	b	r	e	true
-	-	b	r	i	true
-	-	b	r	o	true
-	-	b	r	r	true
-	-	b	r	u	true
-	-	b	r	â	true
-	-	b	r	ă	true
-	-	b	u	-	true
-	-	b	u	b	true
-	-	b	u	c	true
-	-	b	u	d	true
-	-	b	u	f	true
-	-	b	u	g	true
-	-	b	u	h	true
-	-	b	u	i	true
-	-	b	u	j	true
-	-	b	u	l	true
-	-	b	u	m	true
-	-	b	u	n	true
-	-	b	u	r	true
-	-	b	u	s	true
-	-	b	u	t	true
-	-	b	u	u	true
-	-	b	u	v	true
-	-	b	u	x	true
-	-	b	u	z	true
-	-	b	u	ș	true
-	-	b	u	ț	true
-	-	b	y	r	true
-	-	b	â	c	true
-	-	b	â	h	true
-	-	b	â	i	true
-	-	b	â	j	true
-	-	b	â	l	true
-	-	b	â	n	true
-	-	b	â	r	true
-	-	b	â	t	true
-	-	b	â	z	true
-	-	b	â	ț	true
-	-	b	ă	-	true
-	-	b	ă	b	true
-	-	b	ă	c	true
-	-	b	ă	d	true
-	-	b	ă	g	true
-	-	b	ă	h	true
-	-	b	ă	i	true
-	-	b	ă	j	true
-	-	b	ă	l	true
-	-	b	ă	n	true
-	-	b	ă	r	true
-	-	b	ă	s	true
-	-	b	ă	t	true
-	-	b	ă	u	true
-	-	b	ă	ș	true
-	-	b	ă	ț	true
-	-	c	-	-	true
-	-	c	a	-	true
-	-	c	a	b	true
-	-	c	a	c	true
-	-	c	a	d	true
-	-	c	a	f	true
-	-	c	a	g	true
-	-	c	a	h	true
-	-	c	a	i	true
-	-	c	a	j	true
-	-	c	a	l	true
-	-	c	a	m	true
-	-	c	a	n	true
-	-	c	a	o	true
-	-	c	a	p	true
-	-	c	a	r	true
-	-	c	a	s	true
-	-	c	a	t	true
-	-	c	a	u	true
-	-	c	a	v	true
-	-	c	a	z	true
-	-	c	a	ș	true
-	-	c	a	ț	true
-	-	c	e	-	true
-	-	c	e	a	true
-	-	c	e	b	true
-	-	c	e	c	true
-	-	c	e	d	true
-	-	c	e	e	true
-	-	c	e	f	true
-	-	c	e	g	true
-	-	c	e	h	true
-	-	c	e	i	true
-	-	c	e	l	true
-	-	c	e	m	true
-	-	c	e	n	true
-	-	c	e	p	true
-	-	c	e	r	true
-	-	c	e	s	true
-	-	c	e	t	true
-	-	c	e	u	true
-	-	c	e	v	true
-	-	c	e	y	true
-	-	c	e	z	true
-	-	c	e	ș	true
-	-	c	e	ț	true
-	-	c	h	a	true
-	-	c	h	e	true
-	-	c	h	i	true
-	-	c	h	u	true
-	-	c	i	a	true
-	-	c	i	b	true
-	-	c	i	c	true
-	-	c	i	d	true
-	-	c	i	f	true
-	-	c	i	g	true
-	-	c	i	h	true
-	-	c	i	l	true
-	-	c	i	m	true
-	-	c	i	n	true
-	-	c	i	o	true
-	-	c	i	p	true
-	-	c	i	r	true
-	-	c	i	s	true
-	-	c	i	t	true
-	-	c	i	u	true
-	-	c	i	v	true
-	-	c	i	z	true
-	-	c	i	ș	true
-	-	c	l	a	true
-	-	c	l	e	true
-	-	c	l	i	true
-	-	c	l	o	true
-	-	c	l	u	true
-	-	c	l	ă	true
-	-	c	n	e	true
-	-	c	n	i	true
-	-	c	n	o	true
-	-	c	n	u	true
-	-	c	o	a	true
-	-	c	o	b	true
-	-	c	o	c	true
-	-	c	o	d	true
-	-	c	o	e	true
-	-	c	o	f	true
-	-	c	o	g	true
-	-	c	o	h	true
-	-	c	o	i	true
-	-	c	o	j	true
-	-	c	o	l	true
-	-	c	o	m	true
-	-	c	o	n	true
-	-	c	o	o	true
-	-	c	o	p	true
-	-	c	o	r	true
-	-	c	o	s	true
-	-	c	o	t	true
-	-	c	o	u	true
-	-	c	o	v	true
-	-	c	o	x	true
-	-	c	o	z	true
-	-	c	o	ș	true
-	-	c	o	ț	true
-	-	c	r	a	true
-	-	c	r	e	true
-	-	c	r	i	true
-	-	c	r	o	true
-	-	c	r	u	true
-	-	c	r	â	true
-	-	c	r	ă	true
-	-	c	t	e	true
-	-	c	t	i	true
-	-	c	u	-	true
-	-	c	u	a	true
-	-	c	u	b	true
-	-	c	u	c	true
-	-	c	u	e	true
-	-	c	u	f	true
-	-	c	u	g	true
-	-	c	u	h	true
-	-	c	u	i	true
-	-	c	u	j	true
-	-	c	u	l	true
-	-	c	u	m	true
-	-	c	u	n	true
-	-	c	u	p	true
-	-	c	u	r	true
-	-	c	u	s	true
-	-	c	u	t	true
-	-	c	u	v	true
-	-	c	u	z	true
-	-	c	u	ș	true
-	-	c	u	ț	true
-	-	c	v	a	true
-	-	c	v	e	true
-	-	c	v	i	true
-	-	c	v	o	true
-	-	c	â	c	true
-	-	c	â	i	true
-	-	c	â	l	true
-	-	c	â	m	true
-	-	c	â	n	true
-	-	c	â	r	true
-	-	c	â	t	true
-	-	c	â	ș	true
-	-	c	â	ț	true
-	-	c	ă	-	true
-	-	c	ă	c	true
-	-	c	ă	d	true
-	-	c	ă	f	true
-	-	c	ă	i	true
-	-	c	ă	l	true
-	-	c	ă	m	true
-	-	c	ă	n	true
-	-	c	ă	p	true
-	-	c	ă	r	true
-	-	c	ă	s	true
-	-	c	ă	t	true
-	-	c	ă	u	true
-	-	c	ă	v	true
-	-	c	ă	z	true
-	-	c	ă	ș	true
-	-	c	ă	ț	true
-	-	d	a	-	true
-	-	d	a	b	true
-	-	d	a	c	true
-	-	d	a	d	true
-	-	d	a	f	true
-	-	d	a	g	true
-	-	d	a	i	true
-	-	d	a	j	true
-	-	d	a	k	true
-	-	d	a	l	true
-	-	d	a	m	true
-	-	d	a	n	true
-	-	d	a	p	true
-	-	d	a	r	true
-	-	d	a	s	true
-	-	d	a	t	true
-	-	d	a	u	true
-	-	d	a	ț	true
-	-	d	e	-	true
-	-	d	e	a	true
-	-	d	e	b	true
-	-	d	e	c	true
-	-	d	e	d	true
-	-	d	e	e	true
-	-	d	e	f	true
-	-	d	e	g	true
-	-	d	e	h	true
-	-	d	e	i	true
-	-	d	e	j	true
-	-	d	e	l	true
-	-	d	e	m	true
-	-	d	e	n	true
-	-	d	e	o	true
-	-	d	e	p	true
-	-	d	e	r	true
-	-	d	e	s	true
-	-	d	e	t	true
-	-	d	e	u	true
-	-	d	e	v	true
-	-	d	e	x	true
-	-	d	e	z	true
-	-	d	e	î	true
-	-	d	e	ș	true
-	-	d	e	ț	true
-	-	d	i	a	true
-	-	d	i	b	true
-	-	d	i	c	true
-	-	d	i	d	true
-	-	d	i	e	true
-	-	d	i	f	true
-	-	d	i	g	true
-	-	d	i	h	true
-	-	d	i	i	true
-	-	d	i	j	true
-	-	d	i	l	true
-	-	d	i	m	true
-	-	d	i	n	true
-	-	d	i	o	true
-	-	d	i	p	true
-	-	d	i	r	true
-	-	d	i	s	true
-	-	d	i	t	true
-	-	d	i	u	true
-	-	d	i	v	true
-	-	d	i	x	true
-	-	d	i	z	true
-	-	d	o	-	true
-	-	d	o	a	true
-	-	d	o	b	true
-	-	d	o	c	true
-	-	d	o	d	true
-	-	d	o	f	true
-	-	d	o	g	true
-	-	d	o	h	true
-	-	d	o	i	true
-	-	d	o	j	true
-	-	d	o	l	true
-	-	d	o	m	true
-	-	d	o	n	true
-	-	d	o	p	true
-	-	d	o	r	true
-	-	d	o	s	true
-	-	d	o	t	true
-	-	d	o	u	true
-	-	d	o	v	true
-	-	d	o	x	true
-	-	d	o	z	true
-	-	d	r	a	true
-	-	d	r	e	true
-	-	d	r	i	true
-	-	d	r	o	true
-	-	d	r	u	true
-	-	d	r	â	true
-	-	d	r	ă	true
-	-	d	u	-	true
-	-	d	u	a	true
-	-	d	u	b	true
-	-	d	u	c	true
-	-	d	u	d	true
-	-	d	u	e	true
-	-	d	u	g	true
-	-	d	u	h	true
-	-	d	u	i	true
-	-	d	u	l	true
-	-	d	u	m	true
-	-	d	u	n	true
-	-	d	u	o	true
-	-	d	u	p	true
-	-	d	u	r	true
-	-	d	u	s	true
-	-	d	u	t	true
-	-	d	u	u	true
-	-	d	u	z	true
-	-	d	u	ș	true
-	-	d	v	o	true
-	-	d	â	c	true
-	-	d	â	l	true
-	-	d	â	m	true
-	-	d	â	n	true
-	-	d	â	r	true
-	-	d	ă	-	true
-	-	d	ă	b	true
-	-	d	ă	d	true
-	-	d	ă	g	true
-	-	d	ă	i	true
-	-	d	ă	j	true
-	-	d	ă	l	true
-	-	d	ă	m	true
-	-	d	ă	n	true
-	-	d	ă	p	true
-	-	d	ă	r	true
-	-	d	ă	s	true
-	-	d	ă	t	true
-	-	d	ă	u	true
-	-	d	ă	ț	true
-	-	e	-	-	true
-	-	e	a	-	true
-	-	e	b	a	true
-	-	e	b	e	true
-	-	e	b	l	true
-	-	e	b	o	true
-	-	e	b	r	true
-	-	e	b	u	true
-	-	e	c	a	true
-	-	e	c	h	true
-	-	e	c	l	true
-	-	e	c	o	true
-	-	e	c	p	true
-	-	e	c	r	true
-	-	e	c	t	true
-	-	e	c	u	true
-	-	e	c	v	true
-	-	e	c	z	true
-	-	e	d	a	true
-	-	e	d	e	true
-	-	e	d	i	true
-	-	e	d	o	true
-	-	e	d	u	true
-	-	e	e	-	true
-	-	e	f	e	true
-	-	e	f	i	true
-	-	e	f	l	true
-	-	e	f	o	true
-	-	e	f	r	true
-	-	e	f	u	true
-	-	e	g	a	true
-	-	e	g	e	true
-	-	e	g	h	true
-	-	e	g	i	true
-	-	e	g	l	true
-	-	e	g	o	true
-	-	e	g	r	true
-	-	e	g	u	true
-	-	e	h	-	true
-	-	e	h	e	true
-	-	e	h	o	true
-	-	e	i	-	true
-	-	e	i	c	true
-	-	e	i	d	true
-	-	e	i	f	true
-	-	e	i	n	true
-	-	e	j	a	true
-	-	e	j	e	true
-	-	e	l	-	true
-	-	e	l	a	true
-	-	e	l	c	true
-	-	e	l	e	true
-	-	e	l	f	true
-	-	e	l	i	true
-	-	e	l	o	true
-	-	e	l	u	true
-	-	e	l	v	true
-	-	e	l	z	true
-	-	e	m	a	true
-	-	e	m	b	true
-	-	e	m	e	true
-	-	e	m	f	true
-	-	e	m	i	true
-	-	e	m	o	true
-	-	e	m	p	true
-	-	e	m	u	true
-	-	e	n	a	true
-	-	e	n	c	true
-	-	e	n	d	true
-	-	e	n	e	true
-	-	e	n	f	true
-	-	e	n	g	true
-	-	e	n	i	true
-	-	e	n	j	true
-	-	e	n	o	true
-	-	e	n	s	true
-	-	e	n	t	true
-	-	e	n	u	true
-	-	e	n	z	true
-	-	e	o	a	true
-	-	e	o	b	true
-	-	e	o	c	true
-	-	e	o	l	true
-	-	e	o	n	true
-	-	e	o	z	true
-	-	e	p	a	true
-	-	e	p	e	true
-	-	e	p	i	true
-	-	e	p	o	true
-	-	e	p	r	true
-	-	e	p	s	true
-	-	e	p	u	true
-	-	e	r	a	true
-	-	e	r	b	true
-	-	e	r	d	true
-	-	e	r	e	true
-	-	e	r	g	true
-	-	e	r	i	true
-	-	e	r	m	true
-	-	e	r	o	true
-	-	e	r	p	true
-	-	e	r	u	true
-	-	e	r	z	true
-	-	e	r	ă	true
-	-	e	s	a	true
-	-	e	s	c	true
-	-	e	s	e	true
-	-	e	s	h	true
-	-	e	s	k	true
-	-	e	s	o	true
-	-	e	s	p	true
-	-	e	s	t	true
-	-	e	t	a	true
-	-	e	t	c	true
-	-	e	t	e	true
-	-	e	t	i	true
-	-	e	t	m	true
-	-	e	t	n	true
-	-	e	t	o	true
-	-	e	t	r	true
-	-	e	t	u	true
-	-	e	t	ă	true
-	-	e	u	-	true
-	-	e	u	c	true
-	-	e	u	d	true
-	-	e	u	f	true
-	-	e	u	g	true
-	-	e	u	h	true
-	-	e	u	m	true
-	-	e	u	n	true
-	-	e	u	p	true
-	-	e	u	r	true
-	-	e	u	s	true
-	-	e	u	t	true
-	-	e	v	-	true
-	-	e	v	a	true
-	-	e	v	e	true
-	-	e	v	g	true
-	-	e	v	i	true
-	-	e	v	l	true
-	-	e	v	o	true
-	-	e	v	r	true
-	-	e	v	u	true
-	-	e	x	a	true
-	-	e	x	c	true
-	-	e	x	e	true
-	-	e	x	f	true
-	-	e	x	h	true
-	-	e	x	i	true
-	-	e	x	m	true
-	-	e	x	o	true
-	-	e	x	p	true
-	-	e	x	s	true
-	-	e	x	t	true
-	-	e	x	u	true
-	-	e	x	î	true
-	-	e	z	e	true
-	-	e	z	i	true
-	-	e	z	o	true
-	-	e	ș	a	true
-	-	e	ș	e	true
-	-	e	ș	i	true
-	-	e	ș	t	true
-	-	e	ș	u	true
-	-	f	a	-	true
-	-	f	a	b	true
-	-	f	a	c	true
-	-	f	a	d	true
-	-	f	a	e	true
-	-	f	a	g	true
-	-	f	a	i	true
-	-	f	a	l	true
-	-	f	a	m	true
-	-	f	a	n	true
-	-	f	a	p	true
-	-	f	a	r	true
-	-	f	a	s	true
-	-	f	a	t	true
-	-	f	a	u	true
-	-	f	a	v	true
-	-	f	a	x	true
-	-	f	a	z	true
-	-	f	a	ș	true
-	-	f	a	ț	true
-	-	f	e	b	true
-	-	f	e	c	true
-	-	f	e	d	true
-	-	f	e	e	true
-	-	f	e	l	true
-	-	f	e	m	true
-	-	f	e	n	true
-	-	f	e	r	true
-	-	f	e	s	true
-	-	f	e	t	true
-	-	f	e	u	true
-	-	f	e	z	true
-	-	f	e	ș	true
-	-	f	e	ț	true
-	-	f	i	a	true
-	-	f	i	b	true
-	-	f	i	c	true
-	-	f	i	d	true
-	-	f	i	e	true
-	-	f	i	g	true
-	-	f	i	i	true
-	-	f	i	j	true
-	-	f	i	l	true
-	-	f	i	m	true
-	-	f	i	n	true
-	-	f	i	o	true
-	-	f	i	r	true
-	-	f	i	s	true
-	-	f	i	t	true
-	-	f	i	u	true
-	-	f	i	x	true
-	-	f	i	z	true
-	-	f	i	ș	true
-	-	f	i	ț	true
-	-	f	l	a	true
-	-	f	l	e	true
-	-	f	l	i	true
-	-	f	l	o	true
-	-	f	l	u	true
-	-	f	l	ă	true
-	-	f	o	a	true
-	-	f	o	b	true
-	-	f	o	c	true
-	-	f	o	d	true
-	-	f	o	f	true
-	-	f	o	i	true
-	-	f	o	j	true
-	-	f	o	l	true
-	-	f	o	m	true
-	-	f	o	n	true
-	-	f	o	r	true
-	-	f	o	s	true
-	-	f	o	t	true
-	-	f	o	u	true
-	-	f	o	v	true
-	-	f	o	x	true
-	-	f	o	ș	true
-	-	f	o	ț	true
-	-	f	r	a	true
-	-	f	r	e	true
-	-	f	r	i	true
-	-	f	r	o	true
-	-	f	r	u	true
-	-	f	r	â	true
-	-	f	r	ă	true
-	-	f	t	a	true
-	-	f	t	i	true
-	-	f	t	o	true
-	-	f	u	-	true
-	-	f	u	c	true
-	-	f	u	d	true
-	-	f	u	e	true
-	-	f	u	f	true
-	-	f	u	g	true
-	-	f	u	i	true
-	-	f	u	l	true
-	-	f	u	m	true
-	-	f	u	n	true
-	-	f	u	r	true
-	-	f	u	s	true
-	-	f	u	t	true
-	-	f	u	x	true
-	-	f	u	z	true
-	-	f	u	ș	true
-	-	f	u	ț	true
-	-	f	â	l	true
-	-	f	â	n	true
-	-	f	â	r	true
-	-	f	â	s	true
-	-	f	â	ș	true
-	-	f	â	ț	true
-	-	f	ă	-	true
-	-	f	ă	c	true
-	-	f	ă	g	true
-	-	f	ă	i	true
-	-	f	ă	l	true
-	-	f	ă	p	true
-	-	f	ă	r	true
-	-	f	ă	t	true
-	-	f	ă	u	true
-	-	f	ă	z	true
-	-	f	ă	ț	true
-	-	g	a	-	true
-	-	g	a	b	true
-	-	g	a	c	true
-	-	g	a	d	true
-	-	g	a	e	true
-	-	g	a	f	true
-	-	g	a	g	true
-	-	g	a	i	true
-	-	g	a	j	true
-	-	g	a	l	true
-	-	g	a	m	true
-	-	g	a	n	true
-	-	g	a	o	true
-	-	g	a	p	true
-	-	g	a	r	true
-	-	g	a	s	true
-	-	g	a	t	true
-	-	g	a	u	true
-	-	g	a	v	true
-	-	g	a	z	true
-	-	g	a	ș	true
-	-	g	e	a	true
-	-	g	e	b	true
-	-	g	e	c	true
-	-	g	e	f	true
-	-	g	e	l	true
-	-	g	e	m	true
-	-	g	e	n	true
-	-	g	e	o	true
-	-	g	e	p	true
-	-	g	e	r	true
-	-	g	e	s	true
-	-	g	e	t	true
-	-	g	e	v	true
-	-	g	e	ț	true
-	-	g	h	a	true
-	-	g	h	e	true
-	-	g	h	i	true
-	-	g	i	a	true
-	-	g	i	b	true
-	-	g	i	g	true
-	-	g	i	l	true
-	-	g	i	m	true
-	-	g	i	n	true
-	-	g	i	o	true
-	-	g	i	p	true
-	-	g	i	r	true
-	-	g	i	s	true
-	-	g	i	u	true
-	-	g	l	a	true
-	-	g	l	e	true
-	-	g	l	i	true
-	-	g	l	o	true
-	-	g	l	u	true
-	-	g	l	ă	true
-	-	g	n	a	true
-	-	g	n	o	true
-	-	g	n	u	true
-	-	g	o	a	true
-	-	g	o	b	true
-	-	g	o	d	true
-	-	g	o	e	true
-	-	g	o	f	true
-	-	g	o	g	true
-	-	g	o	i	true
-	-	g	o	l	true
-	-	g	o	m	true
-	-	g	o	n	true
-	-	g	o	p	true
-	-	g	o	r	true
-	-	g	o	s	true
-	-	g	o	t	true
-	-	g	o	z	true
-	-	g	o	ș	true
-	-	g	o	ț	true
-	-	g	r	a	true
-	-	g	r	e	true
-	-	g	r	i	true
-	-	g	r	o	true
-	-	g	r	u	true
-	-	g	r	â	true
-	-	g	r	ă	true
-	-	g	u	a	true
-	-	g	u	b	true
-	-	g	u	d	true
-	-	g	u	e	true
-	-	g	u	g	true
-	-	g	u	i	true
-	-	g	u	j	true
-	-	g	u	l	true
-	-	g	u	m	true
-	-	g	u	n	true
-	-	g	u	p	true
-	-	g	u	r	true
-	-	g	u	s	true
-	-	g	u	t	true
-	-	g	u	v	true
-	-	g	u	z	true
-	-	g	u	ș	true
-	-	g	â	d	true
-	-	g	â	f	true
-	-	g	â	g	true
-	-	g	â	j	true
-	-	g	â	l	true
-	-	g	â	n	true
-	-	g	â	r	true
-	-	g	â	s	true
-	-	g	â	t	true
-	-	g	â	z	true
-	-	g	â	ș	true
-	-	g	ă	b	true
-	-	g	ă	g	true
-	-	g	ă	i	true
-	-	g	ă	l	true
-	-	g	ă	m	true
-	-	g	ă	o	true
-	-	g	ă	r	true
-	-	g	ă	s	true
-	-	g	ă	t	true
-	-	g	ă	u	true
-	-	g	ă	v	true
-	-	g	ă	z	true
-	-	g	ă	ș	true
-	-	h	a	-	true
-	-	h	a	b	true
-	-	h	a	c	true
-	-	h	a	d	true
-	-	h	a	f	true
-	-	h	a	g	true
-	-	h	a	h	true
-	-	h	a	i	true
-	-	h	a	l	true
-	-	h	a	m	true
-	-	h	a	n	true
-	-	h	a	o	true
-	-	h	a	p	true
-	-	h	a	r	true
-	-	h	a	s	true
-	-	h	a	t	true
-	-	h	a	u	true
-	-	h	a	v	true
-	-	h	a	y	true
-	-	h	a	z	true
-	-	h	a	ș	true
-	-	h	a	ț	true
-	-	h	e	-	true
-	-	h	e	a	true
-	-	h	e	b	true
-	-	h	e	c	true
-	-	h	e	d	true
-	-	h	e	g	true
-	-	h	e	h	true
-	-	h	e	i	true
-	-	h	e	l	true
