b32	b21	b10	a01	syl
-	-	i	r	true
-	-	i	s	false
-	-	i	s	true
-	-	i	t	true
-	-	i	u	false
-	-	i	u	true
-	-	i	v	true
-	-	i	z	false
-	-	i	z	true
-	-	i	ș	false
-	-	i	ș	true
-	-	i	ț	true
-	-	j	a	false
-	-	j	d	false
-	-	j	e	false
-	-	j	g	false
-	-	j	i	false
-	-	j	n	false
-	-	j	o	false
-	-	j	u	false
-	-	j	ă	false
-	-	k	a	false
-	-	k	e	false
-	-	k	h	false
-	-	k	i	false
-	-	k	l	false
-	-	k	o	false
-	-	k	r	false
-	-	k	u	false
-	-	l	a	false
-	-	l	e	false
-	-	l	i	false
-	-	l	o	false
-	-	l	u	false
-	-	l	â	false
-	-	l	ă	false
-	-	m	a	false
-	-	m	d	false
-	-	m	e	false
-	-	m	i	false
-	-	m	l	false
-	-	m	n	false
-	-	m	o	false
-	-	m	r	false
-	-	m	u	false
-	-	m	â	false
-	-	m	ă	false
-	-	n	a	false
-	-	n	e	false
-	-	n	i	false
-	-	n	o	false
-	-	n	u	false
-	-	n	ă	false
-	-	o	a	false
-	-	o	b	false
-	-	o	b	true
-	-	o	c	false
-	-	o	c	true
-	-	o	d	false
-	-	o	d	true
-	-	o	f	false
-	-	o	f	true
-	-	o	g	true
-	-	o	h	false
-	-	o	h	true
-	-	o	i	false
-	-	o	i	true
-	-	o	j	true
-	-	o	l	false
-	-	o	l	true
-	-	o	m	false
-	-	o	m	true
-	-	o	n	false
-	-	o	n	true
-	-	o	o	true
-	-	o	p	false
-	-	o	p	true
-	-	o	r	false
-	-	o	r	true
-	-	o	s	false
-	-	o	s	true
-	-	o	t	false
-	-	o	t	true
-	-	o	u	false
-	-	o	u	true
-	-	o	v	false
-	-	o	v	true
-	-	o	x	true
-	-	o	z	true
-	-	o	ș	false
-	-	o	ș	true
-	-	o	ț	true
-	-	p	a	false
-	-	p	e	false
-	-	p	f	false
-	-	p	h	false
-	-	p	i	false
-	-	p	l	false
-	-	p	n	false
-	-	p	o	false
-	-	p	r	false
-	-	p	s	false
-	-	p	t	false
-	-	p	u	false
-	-	p	â	false
-	-	p	ă	false
-	-	q	u	false
-	-	r	a	false
-	-	r	e	false
-	-	r	h	false
-	-	r	i	false
-	-	r	o	false
-	-	r	u	false
-	-	r	â	false
-	-	r	ă	false
-	-	s	a	false
-	-	s	b	false
-	-	s	c	false
-	-	s	e	false
-	-	s	f	false
-	-	s	g	false
-	-	s	h	false
-	-	s	i	false
-	-	s	k	false
-	-	s	l	false
-	-	s	m	false
-	-	s	n	false
-	-	s	o	false
-	-	s	p	false
-	-	s	s	false
-	-	s	t	false
-	-	s	u	false
-	-	s	v	false
-	-	s	w	false
-	-	s	â	false
-	-	s	ă	false
-	-	t	a	false
-	-	t	b	false
-	-	t	e	false
-	-	t	h	false
-	-	t	i	false
-	-	t	m	false
-	-	t	o	false
-	-	t	r	false
-	-	t	u	false
-	-	t	v	false
-	-	t	â	false
-	-	t	ă	false
-	-	t	ț	false
-	-	u	b	true
-	-	u	c	true
-	-	u	d	false
-	-	u	d	true
-	-	u	f	false
-	-	u	f	true
-	-	u	g	false
-	-	u	g	true
-	-	u	h	true
-	-	u	i	false
-	-	u	i	true
-	-	u	j	false
-	-	u	j	true
-	-	u	l	false
-	-	u	l	true
-	-	u	m	false
-	-	u	m	true
-	-	u	n	false
-	-	u	n	true
-	-	u	p	true
-	-	u	r	false
-	-	u	r	true
-	-	u	s	false
-	-	u	s	true
-	-	u	t	false
-	-	u	t	true
-	-	u	v	true
-	-	u	x	true
-	-	u	z	false
-	-	u	z	true
-	-	u	ș	false
-	-	u	ș	true
-	-	v	a	false
-	-	v	e	false
-	-	v	i	false
-	-	v	l	false
-	-	v	o	false
-	-	v	r	false
-	-	v	t	false
-	-	v	u	false
-	-	v	â	false
-	-	v	ă	false
-	-	w	a	false
-	-	w	e	false
-	-	w	i	false
-	-	w	o	false
-	-	w	r	false
-	-	w	u	false
-	-	x	a	false
-	-	x	e	false
-	-	x	i	false
-	-	x	o	false
-	-	y	a	false
-	-	y	e	false
-	-	y	i	false
-	-	y	o	false
-	-	y	p	true
-	-	y	t	false
-	-	y	t	true
-	-	y	u	false
-	-	z	a	false
-	-	z	b	false
-	-	z	d	false
-	-	z	e	false
-	-	z	g	false
-	-	z	i	false
-	-	z	l	false
-	-	z	m	false
-	-	z	n	false
-	-	z	o	false
-	-	z	u	false
-	-	z	v	false
-	-	z	â	false
-	-	z	ă	false
-	-	î	h	true
-	-	î	i	true
-	-	î	l	false
-	-	î	m	false
-	-	î	n	false
-	-	î	n	true
-	-	î	r	true
-	-	î	ș	false
-	-	î	ț	false
-	-	ă	i	false
-	-	ă	i	true
-	-	ă	l	false
-	-	ă	l	true
-	-	ă	s	false
-	-	ă	z	false
-	-	ă	ș	false
-	-	ș	a	false
-	-	ș	c	false
-	-	ș	e	false
-	-	ș	f	false
-	-	ș	i	false
-	-	ș	l	false
-	-	ș	m	false
-	-	ș	n	false
-	-	ș	o	false
-	-	ș	p	false
-	-	ș	r	false
-	-	ș	t	false
-	-	ș	u	false
-	-	ș	v	false
-	-	ș	â	false
-	-	ș	ă	false
-	-	ș	ș	false
-	-	ț	a	false
-	-	ț	e	false
-	-	ț	i	false
-	-	ț	o	false
-	-	ț	s	false
-	-	ț	u	false
-	-	ț	â	false
-	-	ț	ă	false
-	-	﻿	a	false
-	a	a	l	true
-	a	b	a	false
-	a	b	c	false
-	a	b	c	true
-	a	b	d	true
-	a	b	e	false
-	a	b	h	true
-	a	b	i	false
-	a	b	j	true
-	a	b	l	false
-	a	b	l	true
-	a	b	n	true
-	a	b	o	false
-	a	b	o	true
-	a	b	r	false
-	a	b	r	true
-	a	b	s	false
-	a	b	s	true
-	a	b	u	false
-	a	b	z	true
-	a	b	ă	false
-	a	b	ț	true
-	a	c	a	false
-	a	c	c	true
-	a	c	d	true
-	a	c	e	false
-	a	c	h	false
-	a	c	i	false
-	a	c	l	false
-	a	c	m	true
-	a	c	n	true
-	a	c	o	false
-	a	c	r	false
-	a	c	t	false
-	a	c	t	true
-	a	c	u	false
-	a	c	v	true
-	a	c	ă	false
-	a	c	ț	true
-	a	d	a	false
-	a	d	d	true
-	a	d	e	false
-	a	d	h	true
-	a	d	i	false
-	a	d	i	true
-	a	d	j	true
-	a	d	m	true
-	a	d	n	true
-	a	d	o	false
-	a	d	p	true
-	a	d	r	false
-	a	d	s	true
-	a	d	u	false
-	a	d	u	true
-	a	d	v	true
-	a	d	â	false
-	a	d	ă	false
-	a	e	d	false
-	a	e	d	true
-	a	e	r	false
-	a	e	r	true
-	a	e	z	false
-	a	e	z	true
-	a	f	a	false
-	a	f	e	false
-	a	f	g	true
-	a	f	i	false
-	a	f	l	false
-	a	f	o	false
-	a	f	r	false
-	a	f	t	true
-	a	f	u	false
-	a	f	â	false
-	a	g	a	false
-	a	g	e	false
-	a	g	f	true
-	a	g	h	false
-	a	g	i	false
-	a	g	l	false
-	a	g	m	true
-	a	g	n	false
-	a	g	n	true
-	a	g	o	false
-	a	g	r	false
-	a	g	u	false
-	a	g	ă	false
-	a	h	a	false
-	a	h	e	false
-	a	h	o	false
-	a	h	t	false
-	a	h	t	true
-	a	h	u	false
-	a	i	a	false
-	a	i	b	true
-	a	i	c	false
-	a	i	c	true
-	a	i	d	true
-	a	i	e	false
-	a	i	i	false
-	a	i	k	true
-	a	i	l	true
-	a	i	s	false
-	a	i	u	false
-	a	i	ș	false
-	a	i	ș	true
-	a	j	u	false
-	a	k	k	true
-	a	k	â	false
-	a	l	a	false
-	a	l	b	false
-	a	l	b	true
-	a	l	c	true
-	a	l	d	true
-	a	l	e	false
-	a	l	f	true
-	a	l	g	true
-	a	l	i	false
-	a	l	l	true
-	a	l	m	true
-	a	l	o	false
-	a	l	p	true
-	a	l	s	true
-	a	l	t	false
-	a	l	t	true
-	a	l	u	false
-	a	l	v	true
-	a	l	ă	false
-	a	l	ț	false
-	a	l	ț	true
-	a	m	a	false
-	a	m	b	true
-	a	m	e	false
-	a	m	f	true
-	a	m	h	true
-	a	m	i	false
-	a	m	l	true
-	a	m	n	false
-	a	m	n	true
-	a	m	o	false
-	a	m	p	true
-	a	m	u	false
-	a	m	v	true
-	a	m	â	false
-	a	m	ă	false
-	a	n	a	false
-	a	n	a	true
-	a	n	c	true
-	a	n	d	true
-	a	n	e	false
-	a	n	e	true
-	a	n	f	true
-	a	n	g	false
-	a	n	g	true
-	a	n	h	true
-	a	n	i	false
-	a	n	i	true
-	a	n	l	true
-	a	n	o	false
-	a	n	o	true
-	a	n	r	true
-	a	n	s	true
-	a	n	t	false
-	a	n	t	true
-	a	n	u	false
-	a	n	u	true
-	a	n	v	true
-	a	n	x	true
-	a	n	ș	true
-	a	n	ț	true
-	a	o	l	true
-	a	o	r	false
-	a	o	r	true
-	a	p	a	false
-	a	p	e	false
-	a	p	i	false
-	a	p	l	false
-	a	p	n	false
-	a	p	n	true
-	a	p	o	false
-	a	p	p	true
-	a	p	r	false
-	a	p	s	true
-	a	p	t	false
-	a	p	t	true
-	a	p	u	false
-	a	p	ă	false
-	a	p	ș	true
-	a	p	ț	false
-	a	p	ț	true
-	a	r	a	false
-	a	r	b	true
-	a	r	c	false
-	a	r	c	true
-	a	r	d	false
-	a	r	d	true
-	a	r	e	false
-	a	r	g	true
-	a	r	h	true
-	a	r	i	false
-	a	r	l	true
-	a	r	m	false
-	a	r	m	true
-	a	r	n	true
-	a	r	o	false
-	a	r	p	true
-	a	r	s	false
-	a	r	s	true
-	a	r	t	false
-	a	r	t	true
-	a	r	u	false
-	a	r	v	true
-	a	r	z	false
-	a	r	z	true
-	a	r	â	false
-	a	r	ă	false
-	a	r	ș	false
-	a	r	ș	true
-	a	r	ț	true
-	a	s	a	false
-	a	s	c	false
-	a	s	c	true
-	a	s	e	false
-	a	s	f	true
-	a	s	i	false
-	a	s	m	true
-	a	s	o	false
-	a	s	p	false
-	a	s	p	true
-	a	s	s	true
-	a	s	t	false
-	a	s	t	true
-	a	s	u	false
-	a	t	a	false
-	a	t	e	false
-	a	t	i	false
-	a	t	l	false
-	a	t	m	true
-	a	t	o	false
-	a	t	r	false
-	a	t	u	false
-	a	t	â	false
-	a	u	c	false
-	a	u	d	true
-	a	u	g	false
-	a	u	g	true
-	a	u	i	true
-	a	u	l	false
-	a	u	l	true
-	a	u	r	false
-	a	u	r	true
-	a	u	s	false
-	a	u	t	false
-	a	u	t	true
-	a	u	v	true
-	a	u	x	true
-	a	u	z	false
-	a	u	z	true
-	a	u	ș	true
-	a	v	a	false
-	a	v	e	false
-	a	v	i	false
-	a	v	o	false
-	a	v	r	false
-	a	v	u	false
-	a	v	â	false
-	a	v	ă	false
-	a	x	a	false
-	a	x	e	false
-	a	x	i	false
-	a	x	o	false
-	a	x	u	false
-	a	x	â	false
-	a	x	ă	false
-	a	y	a	false
-	a	z	a	false
-	a	z	b	true
-	a	z	e	false
-	a	z	i	false
-	a	z	o	false
-	a	z	t	true
-	a	z	u	false
-	a	z	v	true
-	a	ș	a	false
-	a	ș	c	false
-	a	ș	c	true
-	a	ș	e	false
-	a	ș	i	false
-	a	ș	t	true
-	a	ț	a	false
-	a	ț	e	false
-	a	ț	i	false
-	a	ț	o	false
-	a	ț	â	false
-	a	ț	ă	false
-	b	a	b	false
-	b	a	b	true
-	b	a	c	false
-	b	a	c	true
-	b	a	d	false
-	b	a	d	true
-	b	a	f	false
-	b	a	g	false
-	b	a	g	true
-	b	a	h	false
-	b	a	h	true
-	b	a	i	false
-	b	a	i	true
-	b	a	j	true
-	b	a	l	false
-	b	a	l	true
-	b	a	m	false
-	b	a	m	true
-	b	a	n	false
-	b	a	n	true
-	b	a	o	true
-	b	a	p	false
-	b	a	r	false
-	b	a	r	true
-	b	a	s	false
-	b	a	s	true
-	b	a	t	false
-	b	a	t	true
-	b	a	u	false
-	b	a	u	true
-	b	a	v	true
-	b	a	x	false
-	b	a	x	true
-	b	a	z	true
-	b	a	ș	false
-	b	a	ș	true
-	b	a	ț	false
-	b	e	a	false
-	b	e	a	true
-	b	e	b	true
-	b	e	c	false
-	b	e	c	true
-	b	e	d	true
-	b	e	e	true
-	b	e	g	true
-	b	e	h	true
-	b	e	i	false
-	b	e	i	true
-	b	e	j	false
-	b	e	l	false
-	b	e	l	true
-	b	e	m	false
-	b	e	m	true
-	b	e	n	false
-	b	e	n	true
-	b	e	o	true
-	b	e	r	false
-	b	e	r	true
-	b	e	s	false
-	b	e	s	true
-	b	e	t	true
-	b	e	u	false
-	b	e	u	true
-	b	e	v	true
-	b	e	z	false
-	b	e	z	true
-	b	e	ș	false
-	b	e	ș	true
-	b	e	ț	false
-	b	e	ț	true
-	b	i	a	false
-	b	i	a	true
-	b	i	b	true
-	b	i	c	false
-	b	i	c	true
-	b	i	d	true
-	b	i	e	false
-	b	i	e	true
-	b	i	f	false
-	b	i	f	true
-	b	i	g	false
-	b	i	g	true
-	b	i	h	true
-	b	i	j	true
-	b	i	k	true
-	b	i	l	false
-	b	i	l	true
-	b	i	m	false
-	b	i	m	true
-	b	i	n	false
-	b	i	n	true
-	b	i	o	false
-	b	i	o	true
-	b	i	p	true
-	b	i	r	false
-	b	i	r	true
-	b	i	s	false
-	b	i	s	true
-	b	i	t	false
-	b	i	t	true
-	b	i	u	false
-	b	i	u	true
-	b	i	v	false
-	b	i	v	true
-	b	i	z	true
-	b	i	ș	false
-	b	i	ț	false
-	b	i	ț	true
-	b	l	a	false
-	b	l	e	false
-	b	l	i	false
-	b	l	o	false
-	b	l	u	false
-	b	l	â	false
-	b	l	ă	false
-	b	o	a	false
-	b	o	a	true
-	b	o	b	false
-	b	o	b	true
-	b	o	c	false
-	b	o	c	true
-	b	o	d	true
-	b	o	e	true
-	b	o	g	false
-	b	o	g	true
-	b	o	h	true
-	b	o	i	false
-	b	o	i	true
-	b	o	j	false
-	b	o	j	true
-	b	o	l	false
-	b	o	l	true
-	b	o	m	false
-	b	o	n	false
-	b	o	n	true
-	b	o	r	false
-	b	o	r	true
-	b	o	s	false
-	b	o	s	true
-	b	o	t	false
-	b	o	t	true
-	b	o	u	false
-	b	o	u	true
-	b	o	v	true
-	b	o	x	false
-	b	o	x	true
-	b	o	z	false
-	b	o	z	true
-	b	o	ș	false
-	b	o	ș	true
-	b	o	ț	false
-	b	o	ț	true
-	b	r	a	false
-	b	r	e	false
-	b	r	i	false
-	b	r	o	false
-	b	r	r	false
-	b	r	u	false
-	b	r	â	false
-	b	r	ă	false
-	b	u	b	true
-	b	u	c	false
-	b	u	c	true
-	b	u	d	true
-	b	u	f	false
-	b	u	f	true
-	b	u	g	true
-	b	u	h	false
-	b	u	h	true
-	b	u	i	false
-	b	u	i	true
-	b	u	j	false
-	b	u	j	true
-	b	u	l	false
-	b	u	l	true
-	b	u	m	false
-	b	u	m	true
-	b	u	n	false
-	b	u	n	true
-	b	u	r	false
-	b	u	r	true
-	b	u	s	false
-	b	u	s	true
-	b	u	t	false
-	b	u	t	true
-	b	u	u	true
-	b	u	v	true
-	b	u	x	true
-	b	u	z	false
-	b	u	z	true
-	b	u	ș	false
-	b	u	ș	true
-	b	u	ț	false
-	b	u	ț	true
-	b	y	r	false
-	b	â	c	false
-	b	â	c	true
-	b	â	h	true
-	b	â	i	false
-	b	â	j	false
-	b	â	l	false
-	b	â	l	true
-	b	â	n	false
-	b	â	r	false
-	b	â	r	true
-	b	â	t	false
-	b	â	t	true
-	b	â	z	false
-	b	â	z	true
-	b	â	ț	false
-	b	â	ț	true
-	b	ă	b	true
-	b	ă	c	true
-	b	ă	d	true
-	b	ă	g	true
-	b	ă	h	false
-	b	ă	i	false
-	b	ă	i	true
-	b	ă	j	true
-	b	ă	l	false
-	b	ă	l	true
-	b	ă	n	false
-	b	ă	n	true
-	b	ă	r	false
-	b	ă	r	true
-	b	ă	s	false
-	b	ă	t	true
-	b	ă	u	true
-	b	ă	ș	false
-	b	ă	ș	true
-	b	ă	ț	false
-	b	ă	ț	true
-	c	a	b	false
-	c	a	b	true
-	c	a	c	false
-	c	a	c	true
-	c	a	d	false
-	c	a	d	true
-	c	a	f	false
-	c	a	f	true
-	c	a	g	true
-	c	a	h	true
-	c	a	i	false
-	c	a	i	true
-	c	a	j	true
-	c	a	l	false
-	c	a	l	true
-	c	a	m	false
-	c	a	m	true
-	c	a	n	false
-	c	a	n	true
-	c	a	o	true
-	c	a	p	false
-	c	a	p	true
-	c	a	r	false
-	c	a	r	true
-	c	a	s	false
-	c	a	s	true
-	c	a	t	false
-	c	a	t	true
-	c	a	u	false
-	c	a	u	true
-	c	a	v	false
-	c	a	v	true
-	c	a	z	false
-	c	a	z	true
-	c	a	ș	false
-	c	a	ș	true
-	c	a	ț	true
-	c	e	a	false
-	c	e	b	true
-	c	e	c	false
-	c	e	c	true
-	c	e	d	true
-	c	e	e	true
-	c	e	f	true
-	c	e	g	false
-	c	e	g	true
-	c	e	h	false
-	c	e	h	true
-	c	e	i	false
-	c	e	i	true
-	c	e	l	false
-	c	e	l	true
-	c	e	m	false
-	c	e	m	true
-	c	e	n	false
-	c	e	n	true
-	c	e	p	false
-	c	e	p	true
-	c	e	r	false
-	c	e	r	true
-	c	e	s	false
-	c	e	s	true
-	c	e	t	false
-	c	e	t	true
-	c	e	u	false
-	c	e	v	true
-	c	e	y	false
-	c	e	z	true
-	c	e	ș	false
-	c	e	ț	false
-	c	e	ț	true
-	c	h	a	false
-	c	h	e	false
-	c	h	i	false
-	c	h	u	false
-	c	i	a	false
-	c	i	a	true
-	c	i	b	true
-	c	i	c	true
-	c	i	d	true
-	c	i	f	true
-	c	i	g	true
-	c	i	h	true
-	c	i	l	false
-	c	i	l	true
-	c	i	m	false
-	c	i	m	true
-	c	i	n	false
-	c	i	n	true
-	c	i	o	false
-	c	i	o	true
-	c	i	p	false
-	c	i	p	true
-	c	i	r	false
-	c	i	r	true
-	c	i	s	false
-	c	i	s	true
-	c	i	t	false
-	c	i	t	true
-	c	i	u	false
-	c	i	u	true
-	c	i	v	true
-	c	i	z	false
-	c	i	z	true
-	c	i	ș	false
-	c	i	ș	true
-	c	l	a	false
-	c	l	e	false
-	c	l	i	false
-	c	l	o	false
-	c	l	u	false
-	c	l	ă	false
-	c	n	e	false
-	c	n	i	false
-	c	n	o	false
-	c	n	u	false
-	c	o	a	false
-	c	o	a	true
-	c	o	b	false
-	c	o	b	true
-	c	o	c	false
-	c	o	c	true
-	c	o	d	false
-	c	o	d	true
-	c	o	e	true
-	c	o	f	true
-	c	o	g	false
-	c	o	g	true
-	c	o	h	true
-	c	o	i	false
-	c	o	i	true
-	c	o	j	false
-	c	o	j	true
-	c	o	l	false
-	c	o	l	true
-	c	o	m	false
-	c	o	m	true
-	c	o	n	false
-	c	o	n	true
-	c	o	o	true
-	c	o	p	false
-	c	o	p	true
-	c	o	r	false
-	c	o	r	true
-	c	o	s	false
-	c	o	s	true
-	c	o	t	false
-	c	o	t	true
-	c	o	u	false
-	c	o	v	true
-	c	o	x	false
-	c	o	x	true
-	c	o	z	false
-	c	o	z	true
-	c	o	ș	false
-	c	o	ș	true
-	c	o	ț	false
-	c	o	ț	true
-	c	r	a	false
-	c	r	e	false
-	c	r	i	false
-	c	r	o	false
-	c	r	u	false
-	c	r	â	false
-	c	r	ă	false
-	c	t	e	false
-	c	t	i	false
-	c	u	a	false
-	c	u	a	true
-	c	u	b	false
-	c	u	b	true
-	c	u	c	false
-	c	u	c	true
-	c	u	e	false
-	c	u	f	true
-	c	u	g	true
-	c	u	h	false
-	c	u	i	false
-	c	u	i	true
-	c	u	j	false
-	c	u	l	false
-	c	u	l	true
-	c	u	m	false
-	c	u	m	true
-	c	u	n	false
-	c	u	n	true
-	c	u	p	false
-	c	u	p	true
-	c	u	r	false
-	c	u	r	true
-	c	u	s	false
-	c	u	s	true
-	c	u	t	false
-	c	u	t	true
-	c	u	v	true
-	c	u	z	true
-	c	u	ș	false
-	c	u	ș	true
-	c	u	ț	true
-	c	v	a	false
-	c	v	e	false
-	c	v	i	false
-	c	v	o	false
-	c	â	c	true
-	c	â	i	false
-	c	â	i	true
-	c	â	l	false
-	c	â	m	false
-	c	â	n	false
-	c	â	n	true
-	c	â	r	false
-	c	â	r	true
-	c	â	t	false
-	c	â	t	true
-	c	â	ș	false
-	c	â	ș	true
-	c	â	ț	false
-	c	â	ț	true
-	c	ă	c	false
-	c	ă	c	true
-	c	ă	d	true
-	c	ă	f	false
-	c	ă	i	false
-	c	ă	i	true
-	c	ă	l	false
-	c	ă	l	true
-	c	ă	m	true
-	c	ă	n	false
-	c	ă	n	true
-	c	ă	p	false
-	c	ă	p	true
-	c	ă	r	false
-	c	ă	r	true
-	c	ă	s	false
-	c	ă	s	true
-	c	ă	t	true
-	c	ă	u	true
-	c	ă	v	true
-	c	ă	z	false
-	c	ă	z	true
-	c	ă	ș	false
-	c	ă	ș	true
-	c	ă	ț	true
-	d	a	b	true
-	d	a	c	false
-	d	a	c	true
-	d	a	d	true
-	d	a	f	false
-	d	a	f	true
-	d	a	g	true
-	d	a	i	false
-	d	a	i	true
-	d	a	j	false
-	d	a	k	true
-	d	a	l	false
-	d	a	l	true
-	d	a	m	false
-	d	a	m	true
-	d	a	n	false
-	d	a	n	true
-	d	a	p	true
-	d	a	r	false
-	d	a	r	true
-	d	a	s	false
-	d	a	s	true
-	d	a	t	false
-	d	a	t	true
-	d	a	u	false
-	d	a	ț	false
-	d	e	a	false
-	d	e	a	true
-	d	e	b	true
-	d	e	c	false
-	d	e	c	true
-	d	e	d	true
-	d	e	e	true
-	d	e	f	true
-	d	e	g	true
-	d	e	h	true
-	d	e	i	true
-	d	e	j	true
-	d	e	l	false
-	d	e	l	true
-	d	e	m	false
-	d	e	m	true
-	d	e	n	false
-	d	e	n	true
-	d	e	o	false
-	d	e	o	true
-	d	e	p	false
-	d	e	p	true
-	d	e	r	false
-	d	e	r	true
-	d	e	s	false
-	d	e	s	true
-	d	e	t	true
-	d	e	u	false
-	d	e	u	true
-	d	e	v	true
-	d	e	x	false
-	d	e	z	false
-	d	e	z	true
-	d	e	î	true
-	d	e	ș	false
-	d	e	ș	true
-	d	e	ț	true
-	d	i	a	false
-	d	i	a	true
-	d	i	b	true
-	d	i	c	false
-	d	i	c	true
-	d	i	d	true
-	d	i	e	false
-	d	i	e	true
-	d	i	f	false
-	d	i	f	true
-	d	i	g	false
-	d	i	g	true
-	d	i	h	true
-	d	i	i	false
-	d	i	i	true
-	d	i	j	false
-	d	i	l	false
-	d	i	l	true
-	d	i	m	false
-	d	i	m	true
-	d	i	n	false
-	d	i	n	true
-	d	i	o	true
-	d	i	p	false
-	d	i	p	true
-	d	i	r	false
-	d	i	r	true
-	d	i	s	false
-	d	i	s	true
-	d	i	t	true
-	d	i	u	true
-	d	i	v	true
-	d	i	x	false
-	d	i	x	true
-	d	i	z	false
-	d	i	z	true
-	d	o	a	false
-	d	o	b	false
-	d	o	b	true
-	d	o	c	false
-	d	o	c	true
-	d	o	d	true
-	d	o	f	false
-	d	o	g	false
-	d	o	g	true
-	d	o	h	true
-	d	o	i	false
-	d	o	i	true
-	d	o	j	true
-	d	o	l	false
-	d	o	l	true
-	d	o	m	false
-	d	o	m	true
-	d	o	n	false
-	d	o	n	true
-	d	o	p	false
-	d	o	p	true
-	d	o	r	false
-	d	o	r	true
-	d	o	s	false
-	d	o	s	true
-	d	o	t	true
-	d	o	u	true
-	d	o	v	true
-	d	o	x	true
-	d	o	z	true
-	d	r	a	false
-	d	r	e	false
-	d	r	i	false
-	d	r	o	false
-	d	r	u	false
